name,followers,popularity,uri,link,genres
Mark Ronson,849349,79,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,"dance pop,pop"
Bruno Mars,27072330,89,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,"dance pop,pop"
OMI,552534,69,spotify:artist:5MouCg6ta7zAxsfMEbc1uh,https://api.spotify.com/v1/artists/5MouCg6ta7zAxsfMEbc1uh,dance pop
Felix Jaehn,1040438,82,spotify:artist:4bL2B6hmLlMWnUEZnorEtG,https://api.spotify.com/v1/artists/4bL2B6hmLlMWnUEZnorEtG,"dance pop,edm,electro house,german dance,pop,tropical house"
Wiz Khalifa,9412211,88,spotify:artist:137W8MRPWKqSmrBGDBFSop,https://api.spotify.com/v1/artists/137W8MRPWKqSmrBGDBFSop,"hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap"
Charlie Puth,11554345,84,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7,"dance pop,pop,post-teen pop,viral pop"
Hozier,4205845,82,spotify:artist:2FXC3k01G6Gw61bmprjgqS,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS,"irish singer-songwriter,modern rock,pop"
Adele,23665704,85,spotify:artist:4dpARuHxo51G3z768sgnrY,https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,"british soul,pop,pop soul,uk pop"
Major Lazer,6078466,83,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,"dance pop,edm,electro house,moombahton,pop,pop rap"
MØ,1279000,75,spotify:artist:0bdfiayQAKewqEvaU6rXCv,https://api.spotify.com/v1/artists/0bdfiayQAKewqEvaU6rXCv,"dance pop,danish pop,electropop,indie pop,indie poptimism,pop"
DJ Snake,7066209,83,spotify:artist:540vIaP2JwjQb9dm3aArA4,https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4,"dance pop,edm,electro house,electronic trap,pop,pop rap"
Ellie Goulding,8523299,84,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,https://api.spotify.com/v1/artists/0X2BH1fck6amBIoJhDVmmJ,"dance pop,indietronica,metropopolis,pop,post-teen pop,tropical house,uk pop"
WALK THE MOON,1672270,74,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,https://api.spotify.com/v1/artists/6DIS6PRrLS3wbnZsf7vYic,"indie pop,indie poptimism,modern alternative rock,modern rock,pop rock,rock"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Kanye West,12584585,92,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,"chicago rap,rap"
