name,followers,popularity,uri,link,genres
Katy Perry,16447906,88,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,"dance pop,pop,post-teen pop"
Robin Thicke,1630157,69,spotify:artist:0ZrpamOxcZybMHGg1AYtHP,https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP,"dance pop,hip pop,neo soul,pop,r&b,urban contemporary"
T.I.,3469635,80,spotify:artist:4OBJLual30L7gRl5UkeRcT,https://api.spotify.com/v1/artists/4OBJLual30L7gRl5UkeRcT,"atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap"
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
Passenger,2630262,77,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,https://api.spotify.com/v1/artists/0gadJ2b9A4SKsB1RFkBb66,"folk-pop,neo mellow,pop,pop rock"
Avicii,18311743,86,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,https://api.spotify.com/v1/artists/1vCWHaC5f2uS3yhpwWbIA6,"big room,dance pop,edm,pop"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Nate Ruess,190427,69,spotify:artist:1qUjOF5fzrpoNycD36b2jZ,https://api.spotify.com/v1/artists/1qUjOF5fzrpoNycD36b2jZ,modern rock
Daft Punk,6780183,83,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house"
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
Nile Rodgers,66311,71,spotify:artist:3yDIp0kaq9EFKe07X1X2rz,https://api.spotify.com/v1/artists/3yDIp0kaq9EFKe07X1X2rz,disco
OneRepublic,10791790,86,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ,"dance pop,neo mellow,piano rock,pop,pop rock"
Macklemore & Ryan Lewis,2528549,81,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC,"dance pop,pop,pop rap,seattle hip hop"
Ray Dalton,18127,67,spotify:artist:4e0nWw2r4BoQSKPQ2zpU13,https://api.spotify.com/v1/artists/4e0nWw2r4BoQSKPQ2zpU13,
James Arthur,6719013,86,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM,"pop,talent show,uk pop"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Mikky Ekko,119600,68,spotify:artist:1buzCmyYZE4kcdLRudsb8V,https://api.spotify.com/v1/artists/1buzCmyYZE4kcdLRudsb8V,nashville indie
Vance Joy,2186121,78,spotify:artist:10exVja0key0uqUkk6LJRT,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT,"folk-pop,modern rock,pop,pop rock"
Jason Derulo,8317718,91,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,https://api.spotify.com/v1/artists/07YZf4WDAMNwqr4jfgOZ8y,"dance pop,pop,pop rap,post-teen pop"
2 Chainz,5812881,83,spotify:artist:17lzZA2AlOHwCwFALHttmp,https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap"
Macklemore & Ryan Lewis,2528549,81,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC,"dance pop,pop,pop rap,seattle hip hop"
Mary Lambert,100829,59,spotify:artist:5Z2NUZiY3FA00HKu5WTMhA,https://api.spotify.com/v1/artists/5Z2NUZiY3FA00HKu5WTMhA,pop
Bastille,4491574,81,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,https://api.spotify.com/v1/artists/7EQ0qTo7fWT7DPxmxtSYEc,"metropopolis,modern rock,pop,pop rock"
Macklemore & Ryan Lewis,2528549,81,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC,"dance pop,pop,pop rap,seattle hip hop"
Wanz,2069,67,spotify:artist:56xTxG4nQMAs1GW9kvn0uA,https://api.spotify.com/v1/artists/56xTxG4nQMAs1GW9kvn0uA,
Bruno Mars,27072330,89,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,"dance pop,pop"
Labrinth,1328719,85,spotify:artist:2feDdbD5araYcm6JhFHHw7,https://api.spotify.com/v1/artists/2feDdbD5araYcm6JhFHHw7,pop
Emeli Sandé,1937578,70,spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy,https://api.spotify.com/v1/artists/7sfgqEdoeBTjd8lQsPT3Cy,"dance pop,neo soul,pop,r&b,uk pop"
MKTO,831584,74,spotify:artist:2l35CQqtYRh3d8ZIiBep4v,https://api.spotify.com/v1/artists/2l35CQqtYRh3d8ZIiBep4v,"dance pop,pop,pop rap,pop rock,post-teen pop"
Imagine Dragons,30320226,89,spotify:artist:53XhwfbYqKCa1cC15pYq2q,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q,"modern rock,pop,rock"
The Lumineers,3951201,80,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,https://api.spotify.com/v1/artists/16oZKvXb6WkQlVAjwo2Wbg,"folk-pop,modern rock,stomp and holler"
Miley Cyrus,12857610,88,spotify:artist:5YGY8feqx7naU7z4HrwZM6,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,"dance pop,pop,pop rap,post-teen pop"
Redfoo,375431,63,spotify:artist:3mH3OBKopDDVgnJcT5PrPk,https://api.spotify.com/v1/artists/3mH3OBKopDDVgnJcT5PrPk,deep flow
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Birds Of Tokyo,173598,59,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,https://api.spotify.com/v1/artists/25ou7Y6W7L1fcMoCZMbf86,"australian alternative rock,australian hip hop,australian indie,australian pop,australian rock,perth indie"
