name,followers,popularity,uri,link,genres
Queens of the Stone Age,2424097,74,spotify:artist:4pejUc4iciQfgdX6OKulQn,https://api.spotify.com/v1/artists/4pejUc4iciQfgdX6OKulQn,"alternative metal,alternative rock,blues rock,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
The Waifs,76133,48,spotify:artist:5uKeKhwXi2w5cXdtoSaqjz,https://api.spotify.com/v1/artists/5uKeKhwXi2w5cXdtoSaqjz,"australian alternative rock,australian indie,australian rock,indie folk"
1200 Techniques,7005,30,spotify:artist:68dvanztYfzQtO0lqhljWS,https://api.spotify.com/v1/artists/68dvanztYfzQtO0lqhljWS,"australian alternative rock,australian hip hop,australian underground hip hop"
The Vines,243893,53,spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD,https://api.spotify.com/v1/artists/7vkiEK5D7Gf0z4M1Va0CXD,"alternative rock,dance-punk,garage rock,modern rock,punk blues,rock"
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Nirvana,11396259,83,spotify:artist:6olE6TJLqED3rqDCT0FyPh,https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh,"alternative rock,grunge,permanent wave,rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
System Of A Down,6551013,81,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1,"alternative metal,nu metal,rap metal"
The Vines,243893,53,spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD,https://api.spotify.com/v1/artists/7vkiEK5D7Gf0z4M1Va0CXD,"alternative rock,dance-punk,garage rock,modern rock,punk blues,rock"
Audioslave,2947757,73,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,"alternative metal,alternative rock,modern rock,nu metal,permanent wave,post-grunge,rock,supergroup"
The Vines,243893,53,spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD,https://api.spotify.com/v1/artists/7vkiEK5D7Gf0z4M1Va0CXD,"alternative rock,dance-punk,garage rock,modern rock,punk blues,rock"
Ben Lee,44124,51,spotify:artist:06y1hH4hu3rcTUXHJevPCf,https://api.spotify.com/v1/artists/06y1hH4hu3rcTUXHJevPCf,"australian alternative rock,australian pop,australian rock,pop rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Weezer,2115590,76,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,pop punk,pop rock,rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
Motor Ace,9422,31,spotify:artist:1m0nEaW7JgNczyYZGUYLcu,https://api.spotify.com/v1/artists/1m0nEaW7JgNczyYZGUYLcu,australian alternative rock
The Vines,243893,53,spotify:artist:7vkiEK5D7Gf0z4M1Va0CXD,https://api.spotify.com/v1/artists/7vkiEK5D7Gf0z4M1Va0CXD,"alternative rock,dance-punk,garage rock,modern rock,punk blues,rock"
Bodyjar,24751,44,spotify:artist:2LyXoG111QdqfI0HLYQgvS,https://api.spotify.com/v1/artists/2LyXoG111QdqfI0HLYQgvS,"australian alternative rock,skate punk"
George,7891,34,spotify:artist:5btCRpy3MmqEeGcm6PlOrA,https://api.spotify.com/v1/artists/5btCRpy3MmqEeGcm6PlOrA,
The Hives,551943,63,spotify:artist:4DToQR3aKrHQSSRzSz8Nzt,https://api.spotify.com/v1/artists/4DToQR3aKrHQSSRzSz8Nzt,"alternative rock,dance-punk,garage rock,garage rock revival,modern rock,new rave,rock,swedish garage rock,swedish hard rock,swedish indie rock"
Shihad,28610,44,spotify:artist:3HmMT81W29LjSKNjl1Iy1s,https://api.spotify.com/v1/artists/3HmMT81W29LjSKNjl1Iy1s,"australian alternative rock,kiwi rock,nz metal"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Waikiki,631,14,spotify:artist:7HSUxATnvLixRKlhbYf1Xb,https://api.spotify.com/v1/artists/7HSUxATnvLixRKlhbYf1Xb,australian alternative rock
System Of A Down,6551013,81,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1,"alternative metal,nu metal,rap metal"
The Drugs,171,6,spotify:artist:6e6vN9x2CDRbcUW3YsMuCB,https://api.spotify.com/v1/artists/6e6vN9x2CDRbcUW3YsMuCB,australian alternative rock
Coldplay,27427378,89,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,"permanent wave,pop"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
28 Days,26498,42,spotify:artist:0NXVGrFkPu0Cohh3BJV5Wx,https://api.spotify.com/v1/artists/0NXVGrFkPu0Cohh3BJV5Wx,"australian alternative rock,australian hip hop,australian rock"
The Streets,340397,62,spotify:artist:4GvOygVQquMaPm8oAc0vXi,https://api.spotify.com/v1/artists/4GvOygVQquMaPm8oAc0vXi,"birmingham hip hop,grime,modern rock,uk garage"
George,7891,34,spotify:artist:5btCRpy3MmqEeGcm6PlOrA,https://api.spotify.com/v1/artists/5btCRpy3MmqEeGcm6PlOrA,
Queens of the Stone Age,2424097,74,spotify:artist:4pejUc4iciQfgdX6OKulQn,https://api.spotify.com/v1/artists/4pejUc4iciQfgdX6OKulQn,"alternative metal,alternative rock,blues rock,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock"
Darren Hanlon,5755,27,spotify:artist:0e1rRNkYxmrlDewTwmpA6K,https://api.spotify.com/v1/artists/0e1rRNkYxmrlDewTwmpA6K,"australian alternative rock,australian indie,australian singer-songwriter"
N.E.R.D,608514,63,spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,https://api.spotify.com/v1/artists/5wPoxI5si3eJsYYwyXV4Wi,"hip hop,virginia hip hop"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Queens of the Stone Age,2424097,74,spotify:artist:4pejUc4iciQfgdX6OKulQn,https://api.spotify.com/v1/artists/4pejUc4iciQfgdX6OKulQn,"alternative metal,alternative rock,blues rock,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock"
Jurassic 5,317839,59,spotify:artist:6wFId9Jhuf9AKVzWboOj2B,https://api.spotify.com/v1/artists/6wFId9Jhuf9AKVzWboOj2B,"alternative hip hop,hardcore hip hop,hip hop,rap,turntablism"
Jamiroquai,1600031,71,spotify:artist:6J7biCazzYhU3gM9j1wfid,https://api.spotify.com/v1/artists/6J7biCazzYhU3gM9j1wfid,dance pop
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Basement Jaxx,397179,60,spotify:artist:4YrKBkKSVeqDamzBPWVnSJ,https://api.spotify.com/v1/artists/4YrKBkKSVeqDamzBPWVnSJ,"alternative dance,big beat,disco house,electronica,new rave,vocal house"
The Androids,392,4,spotify:artist:3gSQMc7SuKiKJRXXOfg1KZ,https://api.spotify.com/v1/artists/3gSQMc7SuKiKJRXXOfg1KZ,
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Queens of the Stone Age,2424097,74,spotify:artist:4pejUc4iciQfgdX6OKulQn,https://api.spotify.com/v1/artists/4pejUc4iciQfgdX6OKulQn,"alternative metal,alternative rock,blues rock,modern rock,nu metal,palm desert scene,rock,stoner metal,stoner rock"
Jamiroquai,1600031,71,spotify:artist:6J7biCazzYhU3gM9j1wfid,https://api.spotify.com/v1/artists/6J7biCazzYhU3gM9j1wfid,dance pop
Beverley Knight,53893,51,spotify:artist:30AzZL0valZQ62OIQiFWvk,https://api.spotify.com/v1/artists/30AzZL0valZQ62OIQiFWvk,"british soul,neo soul"
Gordon Gano,942,29,spotify:artist:2vaRNo2C9WlMNgKN2LJOL4,https://api.spotify.com/v1/artists/2vaRNo2C9WlMNgKN2LJOL4,
PJ Harvey,661945,63,spotify:artist:12VaqyEhgwDRuFfEqbnrpz,https://api.spotify.com/v1/artists/12VaqyEhgwDRuFfEqbnrpz,"alternative rock,art pop,art rock,chamber psych,indie rock,lilith,melancholia,permanent wave,piano rock,rock,singer-songwriter"
Frank Ferrer,166,10,spotify:artist:2KotZFEhAwAsYDDfdp84Dg,https://api.spotify.com/v1/artists/2KotZFEhAwAsYDDfdp84Dg,
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
Elvis Presley,4688355,81,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE,"rock-and-roll,rockabilly"
Junkie XL,73518,66,spotify:artist:5svDnd8joFhbpbA3Ar0CfN,https://api.spotify.com/v1/artists/5svDnd8joFhbpbA3Ar0CfN,"big beat,soundtrack"
Moby,1310607,73,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,https://api.spotify.com/v1/artists/3OsRAKCvk37zwYcnzRf5XF,"downtempo,electronica"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Something For Kate,59275,47,spotify:artist:47yawJswuSfSvizYhItoOP,https://api.spotify.com/v1/artists/47yawJswuSfSvizYhItoOP,"australian alternative rock,australian indie,australian rock"
Gomez,90139,49,spotify:artist:4zPGlyitRvJo7iz6OKlETa,https://api.spotify.com/v1/artists/4zPGlyitRvJo7iz6OKlETa,"britpop,pop rock"
Area-7,6359,33,spotify:artist:01HH0MeCU5B1FXwt2EyZlh,https://api.spotify.com/v1/artists/01HH0MeCU5B1FXwt2EyZlh,australian ska
Augie March,21443,44,spotify:artist:0vntgse6gPZfthoW8kTTlR,https://api.spotify.com/v1/artists/0vntgse6gPZfthoW8kTTlR,"australian alternative rock,australian indie,australian rock,melbourne indie"
Waikiki,631,14,spotify:artist:7HSUxATnvLixRKlhbYf1Xb,https://api.spotify.com/v1/artists/7HSUxATnvLixRKlhbYf1Xb,australian alternative rock
Black Rebel Motorcycle Club,427272,59,spotify:artist:1tpXaFf2F55E7kVJON4j4G,https://api.spotify.com/v1/artists/1tpXaFf2F55E7kVJON4j4G,"alternative rock,blues rock,dance-punk,garage rock,garage rock revival,indie rock,modern alternative rock,modern blues rock,modern rock,permanent wave,rock"
Coldplay,27427378,89,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,"permanent wave,pop"
Frenzal Rhomb,38194,45,spotify:artist:4cxBQR2C44tnfQ74lpFN7N,https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N,"australian alternative rock,melodic hardcore,punk,skate punk"
Basement Jaxx,397179,60,spotify:artist:4YrKBkKSVeqDamzBPWVnSJ,https://api.spotify.com/v1/artists/4YrKBkKSVeqDamzBPWVnSJ,"alternative dance,big beat,disco house,electronica,new rave,vocal house"
Audioslave,2947757,73,spotify:artist:2ziB7fzrXBoh1HUPS6sVFn,https://api.spotify.com/v1/artists/2ziB7fzrXBoh1HUPS6sVFn,"alternative metal,alternative rock,modern rock,nu metal,permanent wave,post-grunge,rock,supergroup"
Weezer,2115590,76,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,pop punk,pop rock,rock"
Sonic Animation,1573,10,spotify:artist:7C38YmTDVkrMNNtC1A34A6,https://api.spotify.com/v1/artists/7C38YmTDVkrMNNtC1A34A6,
Ms. Dynamite,57228,56,spotify:artist:42qLC3FgtazA9AvaIoiP62,https://api.spotify.com/v1/artists/42qLC3FgtazA9AvaIoiP62,uk garage
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
The Streets,340397,62,spotify:artist:4GvOygVQquMaPm8oAc0vXi,https://api.spotify.com/v1/artists/4GvOygVQquMaPm8oAc0vXi,"birmingham hip hop,grime,modern rock,uk garage"
