name,followers,popularity,uri,link,genres
U.S.A. For Africa,16038,55,spotify:artist:7sF6m3PpW6G6m6J2gzzmzM,https://api.spotify.com/v1/artists/7sF6m3PpW6G6m6J2gzzmzM,musical advocacy
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Mental As Anything,91763,53,spotify:artist:6PFydyUHMKD2jm5NXzRPiK,https://api.spotify.com/v1/artists/6PFydyUHMKD2jm5NXzRPiK,"australian alternative rock,australian rock"
Foreigner,1747829,73,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,"album rock,classic rock,hard rock,mellow gold,rock,soft rock"
Models,29316,43,spotify:artist:2k0zkxxRvJKwiHQq5QfjYn,https://api.spotify.com/v1/artists/2k0zkxxRvJKwiHQq5QfjYn,"australian alternative rock,australian rock"
Dire Straits,3935842,79,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,https://api.spotify.com/v1/artists/0WwSkZ7LtFUFjGjMZBMt6T,"album rock,blues rock,classic rock,mellow gold,rock,soft rock"
UB40,1555333,73,spotify:artist:69MEO1AADKg1IZrq2XLzo5,https://api.spotify.com/v1/artists/69MEO1AADKg1IZrq2XLzo5,"reggae,reggae fusion,uk reggae"
Chrissie Hynde,17257,54,spotify:artist:2ozLlEZTdSV3pjHgWwZMsi,https://api.spotify.com/v1/artists/2ozLlEZTdSV3pjHgWwZMsi,
Jim Diamond,7295,46,spotify:artist:4MC3knlcFjcW7nt2hdn4Dk,https://api.spotify.com/v1/artists/4MC3knlcFjcW7nt2hdn4Dk,scottish new wave
Eurythmics,1113082,72,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,https://api.spotify.com/v1/artists/0NKDgy9j66h3DLnN8qu1bB,"art rock,dance pop,dance rock,europop,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop,synthpop"
Annie Lennox,898930,75,spotify:artist:5MspMQqdVbdwP6ax3GXqum,https://api.spotify.com/v1/artists/5MspMQqdVbdwP6ax3GXqum,"europop,folk,mellow gold,new wave pop,pop rock,soft rock"
Dave Stewart,15343,72,spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,https://api.spotify.com/v1/artists/7gcCQIlkkfbul5Mt0jBQkg,"new wave pop,rock keyboard"
David Bowie,6032982,82,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,"album rock,art rock,classic rock,dance rock,glam rock,permanent wave,rock"
Mick Jagger,231279,57,spotify:artist:3d2pb1dHTm8b61zAGVUVvO,https://api.spotify.com/v1/artists/3d2pb1dHTm8b61zAGVUVvO,classic rock
a-ha,1306794,74,spotify:artist:2jzc5TC5TVFLXQlBNiIUzE,https://api.spotify.com/v1/artists/2jzc5TC5TVFLXQlBNiIUzE,"dance rock,new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop"
Dead Or Alive,238629,62,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,https://api.spotify.com/v1/artists/5WWSL6rElJeUk3Uc1S2RyD,"dance rock,hi-nrg,new romantic,new wave,new wave pop,synthpop"
Tears For Fears,1739488,74,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,https://api.spotify.com/v1/artists/4bthk9UfsYUYdcFyqxmSUU,"dance rock,new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop"
