name,followers,popularity,uri,link,genres
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Killing Heidi,50572,44,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,https://api.spotify.com/v1/artists/6eQ3AHw7yEVoX87xDS1ZiP,"australian alternative rock,australian pop,australian rock"
The Tenants,205,6,spotify:artist:27dGRlNTgLJpY7I0QDZ9Vf,https://api.spotify.com/v1/artists/27dGRlNTgLJpY7I0QDZ9Vf,
Fatboy Slim,872147,68,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,https://api.spotify.com/v1/artists/4Y7tXHSEejGu1vQ9bwDdXW,"big beat,disco house"
Placebo,1306442,70,spotify:artist:6RZUqkomCmb8zCRqc9eznB,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB,"alternative rock,britpop,modern rock,permanent wave,rock"
Bloodhound Gang,646396,66,spotify:artist:6nDLku5uL3ou60kvCGZorh,https://api.spotify.com/v1/artists/6nDLku5uL3ou60kvCGZorh,"alternative metal,comic,funk metal,funk rock,nu metal,pop punk,punk,rap rock"
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
Limp Bizkit,3521684,76,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,https://api.spotify.com/v1/artists/165ZgPlLkK7bf5bDoFc6Sb,"alternative metal,funk metal,nu metal,rap metal,wrestling"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
blink-182,6094546,81,spotify:artist:6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,"pop punk,punk,socal pop punk"
Killing Heidi,50572,44,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,https://api.spotify.com/v1/artists/6eQ3AHw7yEVoX87xDS1ZiP,"australian alternative rock,australian pop,australian rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Korn,4114917,77,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,https://api.spotify.com/v1/artists/3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal,funk metal,nu metal,rap metal,rock"
Korn,4114917,77,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,https://api.spotify.com/v1/artists/3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal,funk metal,nu metal,rap metal,rock"
Sonicanimation,355,17,spotify:artist:1rWqFuPRehCqjbd30QGxHG,https://api.spotify.com/v1/artists/1rWqFuPRehCqjbd30QGxHG,
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
Alex Lloyd,21078,42,spotify:artist:1aVud1rCHS8xrpDjI7zEUy,https://api.spotify.com/v1/artists/1aVud1rCHS8xrpDjI7zEUy,"australian alternative rock,australian rock"
Madison Avenue,12462,54,spotify:artist:6otgz5gkB40UnWFwTy0VDh,https://api.spotify.com/v1/artists/6otgz5gkB40UnWFwTy0VDh,"disco house,vocal house"
Fatboy Slim,872147,68,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,https://api.spotify.com/v1/artists/4Y7tXHSEejGu1vQ9bwDdXW,"big beat,disco house"
Macy Gray,468180,65,spotify:artist:4ylR3zwA0zaapAu94fktwa,https://api.spotify.com/v1/artists/4ylR3zwA0zaapAu94fktwa,"neo soul,pop rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Frenzal Rhomb,38194,45,spotify:artist:4cxBQR2C44tnfQ74lpFN7N,https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N,"australian alternative rock,melodic hardcore,punk,skate punk"
The Chemical Brothers,1460789,67,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo,"alternative dance,big beat,breakbeat,electronica,new rave,rave"
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
blink-182,6094546,81,spotify:artist:6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,"pop punk,punk,socal pop punk"
The Tea Party,70693,45,spotify:artist:6O5Xi2xT3bICu1ZLXqLYRE,https://api.spotify.com/v1/artists/6O5Xi2xT3bICu1ZLXqLYRE,"canadian indie,canadian rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Frenzal Rhomb,38194,45,spotify:artist:4cxBQR2C44tnfQ74lpFN7N,https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N,"australian alternative rock,melodic hardcore,punk,skate punk"
Bodyjar,24751,44,spotify:artist:2LyXoG111QdqfI0HLYQgvS,https://api.spotify.com/v1/artists/2LyXoG111QdqfI0HLYQgvS,"australian alternative rock,skate punk"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Custard,14995,36,spotify:artist:09NEIWHdaWneBWsjYdDnwz,https://api.spotify.com/v1/artists/09NEIWHdaWneBWsjYdDnwz,"australian alternative rock,australian rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
