name,followers,popularity,uri,link,genres
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
kai,19569,64,spotify:artist:6xHUXzrfhFgnIv86EBR3Ml,https://api.spotify.com/v1/artists/6xHUXzrfhFgnIv86EBR3Ml,
Amy Shark,280384,65,spotify:artist:2DORQjKJVYZMx9uu82UGtT,https://api.spotify.com/v1/artists/2DORQjKJVYZMx9uu82UGtT,australian pop
Tash Sultana,1175315,71,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,https://api.spotify.com/v1/artists/6zVFRTB0Y1whWyH7ZNmywf,australian reggae fusion
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Montaigne,51774,55,spotify:artist:1ZcnsSFqWusWlRK01vKE6b,https://api.spotify.com/v1/artists/1ZcnsSFqWusWlRK01vKE6b,"australian hip hop,australian indie,australian pop"
Tom Thum,14264,53,spotify:artist:41Sy5j6hSOXJ6Pl1yR296B,https://api.spotify.com/v1/artists/41Sy5j6hSOXJ6Pl1yR296B,beatboxing
Childish Gambino,7002258,81,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,https://api.spotify.com/v1/artists/73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop,hip hop,pop rap,rap"
DMA'S,180295,64,spotify:artist:1iUTUix5kea176M0uJTsh4,https://api.spotify.com/v1/artists/1iUTUix5kea176M0uJTsh4,"australian hip hop,australian indie,modern rock"
Illy,148257,61,spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,https://api.spotify.com/v1/artists/6NFyaN9PMCDZ3LKxGwHAXt,"australian hip hop,australian indie,australian pop,australian trap"
Vera Blue,139834,66,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,https://api.spotify.com/v1/artists/5ujrA1eZLDHR7yQ6FZa2qA,"australian hip hop,australian indie,australian pop"
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Tove Lo,2552356,79,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,https://api.spotify.com/v1/artists/4NHQUGzhtTLFvgF5SZesLK,"dance pop,electropop,metropopolis,pop,pop rap,post-teen pop,swedish electropop,swedish pop,swedish synthpop"
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
Elliphant,119556,57,spotify:artist:134GdR5tUtxJrf8cpsfpyY,https://api.spotify.com/v1/artists/134GdR5tUtxJrf8cpsfpyY,"electropop,swedish indie pop"
The Weeknd,25003330,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b,canadian pop,pop"
Daft Punk,6780183,83,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house"
PNAU,140514,65,spotify:artist:6n28c9qs9hNGriNa72b26u,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,"alternative dance,aussietronica,australian dance,australian electropop,australian hip hop,australian indie,dance-punk,edm,new rave"
Kira Divine,282,56,spotify:artist:4AFUtRGh4gJb1mWNTtN0Ha,https://api.spotify.com/v1/artists/4AFUtRGh4gJb1mWNTtN0Ha,
Milky Chance,1399175,76,spotify:artist:1hzfo8twXdOegF3xireCYs,https://api.spotify.com/v1/artists/1hzfo8twXdOegF3xireCYs,german pop
Mura Masa,546344,70,spotify:artist:5Q81rlcTFh3k6DQJXPdsot,https://api.spotify.com/v1/artists/5Q81rlcTFh3k6DQJXPdsot,"channel islands indie,edm,vapor soul"
A$AP Rocky,8020003,86,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap"
Violent Soho,140569,56,spotify:artist:2N2EFVDEbp2JB8ulEUVIxp,https://api.spotify.com/v1/artists/2N2EFVDEbp2JB8ulEUVIxp,"australian alternative rock,australian garage punk,australian indie,brisbane indie,modern rock"
Miike Snow,560966,63,spotify:artist:4l1cKWYW591xnwEGxpUg3J,https://api.spotify.com/v1/artists/4l1cKWYW591xnwEGxpUg3J,"alternative dance,dance-punk,electropop,indie pop,indie rock,indietronica,modern rock,new rave,shimmer pop,swedish electropop,swedish indie pop,swedish synthpop"
A.B. Original,23218,40,spotify:artist:6Lgfto5TiWLnHMpERQXlB9,https://api.spotify.com/v1/artists/6Lgfto5TiWLnHMpERQXlB9,"australian hip hop,australian indigenous,australian underground hip hop"
Dan Sultan,22798,46,spotify:artist:35l8C1gkJPCOqrVPiCiICR,https://api.spotify.com/v1/artists/35l8C1gkJPCOqrVPiCiICR,"australian alternative rock,australian indie,australian indigenous,australian singer-songwriter"
Big Scary,46986,43,spotify:artist:4mLYW48jy9Pwv6KpT74Evf,https://api.spotify.com/v1/artists/4mLYW48jy9Pwv6KpT74Evf,"australian indie,indietronica"
Chance the Rapper,5021049,87,spotify:artist:1anyVhU62p31KFi8MEzkbf,https://api.spotify.com/v1/artists/1anyVhU62p31KFi8MEzkbf,"chicago rap,conscious hip hop,hip hop,pop rap,rap"
Knox Fortune,18164,56,spotify:artist:49O0SPoCoTiK2Nn2tOaHyU,https://api.spotify.com/v1/artists/49O0SPoCoTiK2Nn2tOaHyU,chicago indie
Catfish and the Bottlemen,845184,69,spotify:artist:2xaAOVImG2O6lURwqperlD,https://api.spotify.com/v1/artists/2xaAOVImG2O6lURwqperlD,"modern alternative rock,modern rock,rock,stomp pop,welsh rock"
