name,followers,popularity,uri,link,genres
The Offspring,3789625,78,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,"alternative metal,permanent wave,pop punk,punk,rock,skate punk,socal pop punk"
Ben Lee,44124,51,spotify:artist:06y1hH4hu3rcTUXHJevPCf,https://api.spotify.com/v1/artists/06y1hH4hu3rcTUXHJevPCf,"australian alternative rock,australian pop,australian rock,pop rock"
Custard,14995,36,spotify:artist:09NEIWHdaWneBWsjYdDnwz,https://api.spotify.com/v1/artists/09NEIWHdaWneBWsjYdDnwz,"australian alternative rock,australian rock"
Hole,562415,62,spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,https://api.spotify.com/v1/artists/5SHQUMAmEK5KmuSb0aDvsn,"alternative rock,grunge,lilith,pop rock,rock"
Korn,4114917,77,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,https://api.spotify.com/v1/artists/3RNrq3jvMZxD9ZyoOZbQOD,"alternative metal,funk metal,nu metal,rap metal,rock"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
You Am I,41343,47,spotify:artist:7GvCdRq4iHNQDsGlPWOycw,https://api.spotify.com/v1/artists/7GvCdRq4iHNQDsGlPWOycw,"australian alternative rock,australian indie,australian rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Ben Folds Five,194733,52,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,https://api.spotify.com/v1/artists/44gRHbEm4Uqa0ykW0rDTNk,"alternative rock,indie pop,permanent wave,piano rock,pop rock"
They Might Be Giants,249883,63,spotify:artist:6zB02lwP6L6ZH32nggQiJT,https://api.spotify.com/v1/artists/6zB02lwP6L6ZH32nggQiJT,"comic,geek rock,permanent wave,zolo"
blink-182,6094546,81,spotify:artist:6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,"pop punk,punk,socal pop punk"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Josh Abrahams,482,40,spotify:artist:2C18qcP3k1dkMJpByV6rZX,https://api.spotify.com/v1/artists/2C18qcP3k1dkMJpByV6rZX,
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Wyclef Jean,226636,73,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,https://api.spotify.com/v1/artists/7aBzpmFXB4WWpPl2F7RjBe,rap kreyol
Refugee All Stars,1026,48,spotify:artist:0KLVlDcMeFn8H7sapLZsSV,https://api.spotify.com/v1/artists/0KLVlDcMeFn8H7sapLZsSV,
Chef (The voice of Chef is Isaac Hayes),253,0,spotify:artist:48KC57bGZmmowOhL8SYLDI,https://api.spotify.com/v1/artists/48KC57bGZmmowOhL8SYLDI,
Marcy Playground,249959,58,spotify:artist:7AQzXO3NPNQsI7oNu5rC3r,https://api.spotify.com/v1/artists/7AQzXO3NPNQsI7oNu5rC3r,"alternative rock,pop rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Massive Attack,1524204,69,spotify:artist:6FXMGgJwohJLUSr5nVlf9X,https://api.spotify.com/v1/artists/6FXMGgJwohJLUSr5nVlf9X,"downtempo,electronica,trip hop"
Custard,14995,36,spotify:artist:09NEIWHdaWneBWsjYdDnwz,https://api.spotify.com/v1/artists/09NEIWHdaWneBWsjYdDnwz,"australian alternative rock,australian rock"
Beastie Boys,1743620,73,spotify:artist:03r4iKL2g2442PT9n2UKsx,https://api.spotify.com/v1/artists/03r4iKL2g2442PT9n2UKsx,"alternative rock,east coast hip hop,hip hop,old school hip hop,rap"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Jeff Buckley,691439,66,spotify:artist:3nnQpaTvKb5jCQabZefACI,https://api.spotify.com/v1/artists/3nnQpaTvKb5jCQabZefACI,"melancholia,permanent wave,rock,singer-songwriter"
Cake,785503,67,spotify:artist:6A43Djmhbe9100UwnI7epV,https://api.spotify.com/v1/artists/6A43Djmhbe9100UwnI7epV,"alternative rock,modern rock,pop rock,rock,sacramento indie"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Barenaked Ladies,496938,65,spotify:artist:0dEvJpkqhrcn64d3oI8v79,https://api.spotify.com/v1/artists/0dEvJpkqhrcn64d3oI8v79,"alternative rock,canadian pop,canadian rock,comic,neo mellow,pop rock"
Harvey Danger,70508,52,spotify:artist:7fu6ebyL3JGXJgo5zsOo4k,https://api.spotify.com/v1/artists/7fu6ebyL3JGXJgo5zsOo4k,"alternative rock,pop rock"
TISM,8798,38,spotify:artist:1gqScLJ95gthFQ3TavIKSk,https://api.spotify.com/v1/artists/1gqScLJ95gthFQ3TavIKSk,"australian alternative rock,australian rock"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
The Mighty Mighty Bosstones,233170,57,spotify:artist:5uYXMC13cIUulobh204QuK,https://api.spotify.com/v1/artists/5uYXMC13cIUulobh204QuK,"boston punk,boston rock,punk,ska,ska punk,skate punk"
Adam Sandler,90244,48,spotify:artist:2LB9H0px4qWbCHg9Axzhga,https://api.spotify.com/v1/artists/2LB9H0px4qWbCHg9Axzhga,"comedy,comic"
Ben Folds Five,194733,52,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,https://api.spotify.com/v1/artists/44gRHbEm4Uqa0ykW0rDTNk,"alternative rock,indie pop,permanent wave,piano rock,pop rock"
Placebo,1306442,70,spotify:artist:6RZUqkomCmb8zCRqc9eznB,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB,"alternative rock,britpop,modern rock,permanent wave,rock"
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
Marilyn Manson,2924609,77,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj,https://api.spotify.com/v1/artists/2VYQTNDsvvKN9wmU5W7xpj,"alternative metal,industrial,industrial metal,industrial rock,nu metal,wrestling"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
Catatonia,42794,46,spotify:artist:4Bgfzia8wyaGaTn42egzTv,https://api.spotify.com/v1/artists/4Bgfzia8wyaGaTn42egzTv,"britpop,candy pop,new wave pop,welsh indie,welsh rock"
Hole,562415,62,spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,https://api.spotify.com/v1/artists/5SHQUMAmEK5KmuSb0aDvsn,"alternative rock,grunge,lilith,pop rock,rock"
Run–D.M.C.,827971,66,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,https://api.spotify.com/v1/artists/3CQIn7N5CuRDP8wEI7FiDA,"east coast hip hop,hardcore hip hop,hip hop,hip house,old school hip hop,queens hip hop,rap"
Jason Nevins,2202,58,spotify:artist:5w0ka9nPOmEH6CcZrutyP2,https://api.spotify.com/v1/artists/5w0ka9nPOmEH6CcZrutyP2,
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
Green Day,11223600,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,"permanent wave,pop punk,punk"
Everclear,599646,63,spotify:artist:694QW15WkebjcrWgQHzRYF,https://api.spotify.com/v1/artists/694QW15WkebjcrWgQHzRYF,"alternative metal,alternative rock,permanent wave,pop punk,pop rock,post-grunge,rock"
Frenzal Rhomb,38194,45,spotify:artist:4cxBQR2C44tnfQ74lpFN7N,https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N,"australian alternative rock,melodic hardcore,punk,skate punk"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
Pauline Pantsdown,487,14,spotify:artist:1JAZUvzwY3L4SjbPrUPPJE,https://api.spotify.com/v1/artists/1JAZUvzwY3L4SjbPrUPPJE,parody
Propellerheads,97484,48,spotify:artist:3Z7thZHrtFvqp8OpPffPKp,https://api.spotify.com/v1/artists/3Z7thZHrtFvqp8OpPffPKp,"big beat,breakbeat,electronica,funky breaks,trip hop"
Shirley Bassey,169051,57,spotify:artist:090VebphoycdEyH165iMqc,https://api.spotify.com/v1/artists/090VebphoycdEyH165iMqc,"adult standards,classic uk pop,easy listening,lounge,vocal jazz"
Ani DiFranco,170640,54,spotify:artist:0AiTwNtYX8m4uhfU7rJ8RD,https://api.spotify.com/v1/artists/0AiTwNtYX8m4uhfU7rJ8RD,"anti-folk,buffalo ny indie,ectofolk,folk,lilith,pop rock,singer-songwriter,women's music"
The Mavis'S,4580,28,spotify:artist:6WshiDext64oLUmu6LSHAl,https://api.spotify.com/v1/artists/6WshiDext64oLUmu6LSHAl,australian alternative rock
