name,followers,popularity,uri,link,genres
Macklemore & Ryan Lewis,2528549,81,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC,"dance pop,pop,pop rap,seattle hip hop"
Wanz,2069,67,spotify:artist:56xTxG4nQMAs1GW9kvn0uA,https://api.spotify.com/v1/artists/56xTxG4nQMAs1GW9kvn0uA,
Of Monsters and Men,3009597,74,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz,"folk-pop,indie pop,metropopolis,modern rock,pop rock,stomp and holler"
alt-J,2660335,75,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://api.spotify.com/v1/artists/3XHO7cRUPCLOr6jwp8vsx5,indie rock
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Mumford & Sons,5829870,79,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,https://api.spotify.com/v1/artists/3gd8FJtBJtkRxdfbTu19U2,"modern folk rock,modern rock,stomp and holler,uk americana"
Major Lazer,6078466,83,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,"dance pop,edm,electro house,moombahton,pop,pop rap"
Amber Coffman,11724,58,spotify:artist:4vpGVGgxSDcCTmqYbsOnsn,https://api.spotify.com/v1/artists/4vpGVGgxSDcCTmqYbsOnsn,art pop
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
Frank Ocean,6524633,86,spotify:artist:2h93pZq0e7k5yf4dywlkpM,https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
The Rubens,162567,62,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,"australian hip hop,australian indie,australian pop"
Calvin Harris,20730525,89,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Florence Welch,20426,61,spotify:artist:0IROOdQ2fQUcoaEPqt1Isg,https://api.spotify.com/v1/artists/0IROOdQ2fQUcoaEPqt1Isg,uk pop
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Jezzabell Doran,1040,49,spotify:artist:20RKwJZc7LXujAbOJuwDEZ,https://api.spotify.com/v1/artists/20RKwJZc7LXujAbOJuwDEZ,
The Black Keys,3312319,75,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,https://api.spotify.com/v1/artists/7mnBLXK823vNxN3UWB7Gfz,"alternative rock,blues rock,garage rock,modern alternative rock,modern blues rock,modern rock,punk blues,rock"
Icona Pop,652862,72,spotify:artist:1VBflYyxBhnDc9uVib98rw,https://api.spotify.com/v1/artists/1VBflYyxBhnDc9uVib98rw,"candy pop,dance pop,electropop,metropopolis,pop,swedish electropop,swedish synthpop"
Charli XCX,2131405,77,spotify:artist:25uiPmTg16RbhZWAqwLBy5,https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5,"art pop,candy pop,dance pop,electropop,escape room,metropopolis,pop,post-teen pop,uk pop"
Macklemore & Ryan Lewis,2528549,81,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,https://api.spotify.com/v1/artists/5BcAKTbp20cv7tC5VqPFoC,"dance pop,pop,pop rap,seattle hip hop"
Mary Lambert,100829,59,spotify:artist:5Z2NUZiY3FA00HKu5WTMhA,https://api.spotify.com/v1/artists/5Z2NUZiY3FA00HKu5WTMhA,pop
Rudimental,1211901,76,spotify:artist:4WN5naL3ofxrVBgFpguzKo,https://api.spotify.com/v1/artists/4WN5naL3ofxrVBgFpguzKo,"dance pop,edm,liquid funk,pop,tropical house,uk dance,uk funky"
John Newman,617621,72,spotify:artist:34v5MVKeQnIo0CWYMbbrPf,https://api.spotify.com/v1/artists/34v5MVKeQnIo0CWYMbbrPf,pop
Alex Clare,635584,61,spotify:artist:5Tf4EH8tDvznnjULcFxkIl,https://api.spotify.com/v1/artists/5Tf4EH8tDvznnjULcFxkIl,modern alternative rock
Flight Facilities,356846,63,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM,https://api.spotify.com/v1/artists/1lc8mnyGrCLtPhCoWjRxjM,"alternative dance,aussietronica,australian dance,australian indie,indie soul,nu disco"
Christine Hoberg,1503,48,spotify:artist:6xxQT8bpQtHjl9U7iGC35J,https://api.spotify.com/v1/artists/6xxQT8bpQtHjl9U7iGC35J,experimental vocal
Hermitude,234698,63,spotify:artist:3fmMaLC5jjf2N4EC2kTx0u,https://api.spotify.com/v1/artists/3fmMaLC5jjf2N4EC2kTx0u,"australian dance,australian hip hop,downtempo,edm,escape room"
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
