name,followers,popularity,uri,link,genres
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
David Guetta,21587757,88,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,"dance pop,edm,pop,tropical house"
Akon,2479604,83,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,dance pop
Taylor Swift,33003451,96,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,"dance pop,pop,post-teen pop"
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
Flo Rida,7769256,82,spotify:artist:0jnsk9HBra6NMjO2oANoPY,https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY,"dance pop,miami hip hop,pop,pop rap"
Kesha,5862187,81,spotify:artist:6LqNN22kT3074XbTVUrhzX,https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX,"dance pop,electropop,pop,post-teen pop"
Guy Sebastian,330076,69,spotify:artist:5PjekOABtfU2Kwo0AHVmci,https://api.spotify.com/v1/artists/5PjekOABtfU2Kwo0AHVmci,"australian pop,australian talent show"
Beyoncé,24709980,89,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,"dance pop,pop,r&b"
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
Kesha,5862187,81,spotify:artist:6LqNN22kT3074XbTVUrhzX,https://api.spotify.com/v1/artists/6LqNN22kT3074XbTVUrhzX,"dance pop,electropop,pop,post-teen pop"
Kate Miller-Heidke,51911,48,spotify:artist:6sfUgwUTFjy1SNF2uWOcPp,https://api.spotify.com/v1/artists/6sfUgwUTFjy1SNF2uWOcPp,"australian pop,australian singer-songwriter,lilith,piano rock"
Lady Gaga,14098516,91,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,"dance pop,pop"
Lady Gaga,14098516,91,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,"dance pop,pop"
The Fray,3070142,75,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,https://api.spotify.com/v1/artists/0zOcE3mg9nS6l3yxt1Y0bK,"modern rock,neo mellow,piano rock,pop,pop rock"
Beyoncé,24709980,89,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,"dance pop,pop,r&b"
A.R. Rahman,8383658,76,spotify:artist:1mYsTxnqsietFxj1OgoGbG,https://api.spotify.com/v1/artists/1mYsTxnqsietFxj1OgoGbG,"desi pop,filmi,modern bollywood,sufi"
The Pussycat Dolls,3820265,74,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,"dance pop,girl group,pop,pop rap,post-teen pop,urban contemporary"
Nicole Scherzinger,1602121,66,spotify:artist:40xbWSB4JPdOkRyuTDy1oP,https://api.spotify.com/v1/artists/40xbWSB4JPdOkRyuTDy1oP,"dance pop,europop,post-teen pop,urban contemporary"
Miley Cyrus,12857610,88,spotify:artist:5YGY8feqx7naU7z4HrwZM6,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,"dance pop,pop,pop rap,post-teen pop"
Taylor Swift,33003451,96,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,"dance pop,pop,post-teen pop"
Cascada,362708,70,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,https://api.spotify.com/v1/artists/0N0d3kjwdY2h7UVuTdJGfp,"bubblegum dance,dance pop,eurodance,europop,german techno,melbourne bounce international,pop,pop rap"
The All-American Rejects,1931789,72,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,https://api.spotify.com/v1/artists/3vAaWhdBR38Q02ohXqaNHT,"modern rock,neo mellow,pop,pop punk,pop rock"
Lily Allen,1592285,73,spotify:artist:13saZpZnCDWOI9D4IJhp1f,https://api.spotify.com/v1/artists/13saZpZnCDWOI9D4IJhp1f,"dance pop,pop"
Pitbull,7965619,86,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,"dance pop,latin,miami hip hop,pop,pop rap"
Lily Allen,1592285,73,spotify:artist:13saZpZnCDWOI9D4IJhp1f,https://api.spotify.com/v1/artists/13saZpZnCDWOI9D4IJhp1f,"dance pop,pop"
Beyoncé,24709980,89,spotify:artist:6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,"dance pop,pop,r&b"
The Script,6173898,79,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,https://api.spotify.com/v1/artists/3AQRLZ9PuTAozP28Skbq8V,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,viral pop"
Cobra Starship,406391,62,spotify:artist:2aYJ5LAta2ScCdfLhKgZOY,https://api.spotify.com/v1/artists/2aYJ5LAta2ScCdfLhKgZOY,"dance pop,neon pop punk,pop punk,post-teen pop"
Leighton Meester,93975,56,spotify:artist:481VlDdXZAIRxnHyywNbXn,https://api.spotify.com/v1/artists/481VlDdXZAIRxnHyywNbXn,"dance pop,post-teen pop"
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Ian Carey Project,3968,49,spotify:artist:5PbZIYWcDuRgEbMs7abSTH,https://api.spotify.com/v1/artists/5PbZIYWcDuRgEbMs7abSTH,pop house
David Guetta,21587757,88,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai,"dance pop,edm,pop,tropical house"
