name,followers,popularity,uri,link,genres
LeAnn Rimes,802443,65,spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,https://api.spotify.com/v1/artists/2d3VHzlOEwXvmBdS4pzOPL,"country,country dawn,dance pop,pop rock"
Shaggy,1415439,77,spotify:artist:5EvFsr3kj42KNv97ZEnqij,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,"dance pop,reggae fusion"
Rik Rok,4030,66,spotify:artist:67wCYxOq4A1ohAs7jWYaOJ,https://api.spotify.com/v1/artists/67wCYxOq4A1ohAs7jWYaOJ,reggae fusion
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Shaggy,1415439,77,spotify:artist:5EvFsr3kj42KNv97ZEnqij,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,"dance pop,reggae fusion"
Rayvon,3580,62,spotify:artist:4hB4SmzreXMTGWYj7KQ7QN,https://api.spotify.com/v1/artists/4hB4SmzreXMTGWYj7KQ7QN,"barbadian pop,reggae fusion"
Lifehouse,1513403,69,spotify:artist:5PokPZn11xzZXyXSfnvIM3,https://api.spotify.com/v1/artists/5PokPZn11xzZXyXSfnvIM3,"alternative metal,neo mellow,pop rock,post-grunge"
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Dido,1053738,73,spotify:artist:2mpeljBig2IXLXRAFO9AAs,https://api.spotify.com/v1/artists/2mpeljBig2IXLXRAFO9AAs,"dance pop,new wave pop,pop rock"
Nelly Furtado,2186948,76,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,"canadian latin,canadian pop,dance pop,pop,pop rap"
Alien Ant Farm,581713,64,spotify:artist:6TZdvF1kFzwnQLgHQynzsO,https://api.spotify.com/v1/artists/6TZdvF1kFzwnQLgHQynzsO,"alternative metal,funk metal,nu metal,pop punk,post-grunge,rap rock"
Bob The Builder,9883,38,spotify:artist:52VfGq3cCGwYsc5UGObOb0,https://api.spotify.com/v1/artists/52VfGq3cCGwYsc5UGObOb0,"british children's music,cartoon"
Atomic Kitten,268275,63,spotify:artist:6JMHws5haIO6V35YNYDnDw,https://api.spotify.com/v1/artists/6JMHws5haIO6V35YNYDnDw,"bubblegum dance,candy pop,dance pop,europop,girl group"
Mýa,848739,67,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,https://api.spotify.com/v1/artists/6lHL3ubAMgSasKjNqKb8HF,"dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,southern hip hop,urban contemporary"
Crazy Town,310706,62,spotify:artist:4iSKnRZAxkmqNok6tv10Se,https://api.spotify.com/v1/artists/4iSKnRZAxkmqNok6tv10Se,"alternative metal,funk metal,nu metal,rap rock"
Christina Aguilera,5510189,82,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,"dance pop,pop,pop rap,post-teen pop"
Lil' Kim,1000068,70,spotify:artist:5tth2a3v0sWwV1C7bApBdX,https://api.spotify.com/v1/artists/5tth2a3v0sWwV1C7bApBdX,"dance pop,east coast hip hop,hip hop,hip pop,pop,pop rap,r&b,rap,southern hip hop,trap queen,urban contemporary"
Mýa,848739,67,spotify:artist:6lHL3ubAMgSasKjNqKb8HF,https://api.spotify.com/v1/artists/6lHL3ubAMgSasKjNqKb8HF,"dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,southern hip hop,urban contemporary"
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Afroman,276074,64,spotify:artist:4Icvbp9RDt5aY2TWDOVDsr,https://api.spotify.com/v1/artists/4Icvbp9RDt5aY2TWDOVDsr,"comedy rap,gangster rap,hip hop,rap"
Scandal'us,732,15,spotify:artist:5IpsllxDHVNmiBbIcKOBJZ,https://api.spotify.com/v1/artists/5IpsllxDHVNmiBbIcKOBJZ,
S Club 7,399578,63,spotify:artist:1kM5rgJvkiDMOoKX56H6pX,https://api.spotify.com/v1/artists/1kM5rgJvkiDMOoKX56H6pX,"bubblegum dance,dance pop,europop"
OutKast,1464421,78,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop,dirty south rap,hip hop,rap,southern hip hop"
Nickelback,4660398,80,spotify:artist:6deZN1bslXzeGvOLaLMOIF,https://api.spotify.com/v1/artists/6deZN1bslXzeGvOLaLMOIF,"alternative metal,canadian rock,nu metal,post-grunge"
