name,followers,popularity,uri,link,genres
The Cranberries,2203009,76,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,https://api.spotify.com/v1/artists/7t0rwkOPGlDPEhaOcVtOt9,"irish rock,pop rock"
Nine Inch Nails,1604980,70,spotify:artist:0X380XXQSNBYuleKzav5UO,https://api.spotify.com/v1/artists/0X380XXQSNBYuleKzav5UO,"alternative metal,alternative rock,cyberpunk,electronic rock,industrial,industrial metal,industrial rock,nu metal,rock"
The Offspring,3789625,78,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,"alternative metal,permanent wave,pop punk,punk,rock,skate punk,socal pop punk"
The Offspring,3789625,78,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,"alternative metal,permanent wave,pop punk,punk,rock,skate punk,socal pop punk"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Veruca Salt,141241,50,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,https://api.spotify.com/v1/artists/2QwJQuBekTA4qF7N7uLHDP,"alternative pop,alternative rock,grunge,lilith,riot grrrl"
Nirvana,11396259,83,spotify:artist:6olE6TJLqED3rqDCT0FyPh,https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh,"alternative rock,grunge,permanent wave,rock"
Max Sharam,456,16,spotify:artist:6Y6mjWAskanWICMUlvKvv3,https://api.spotify.com/v1/artists/6Y6mjWAskanWICMUlvKvv3,australian alternative rock
Tom Jones,488099,67,spotify:artist:1T0wRBO0CK0vK8ouUMqEl5,https://api.spotify.com/v1/artists/1T0wRBO0CK0vK8ouUMqEl5,"adult standards,british invasion,mellow gold"
Severed Heads,13402,32,spotify:artist:2eNJIWt0LUATAgrC6fALrH,https://api.spotify.com/v1/artists/2eNJIWt0LUATAgrC6fALrH,"ebm,experimental,industrial,industrial rock,minimal wave,neue deutsche welle,uk post-punk"
Robert Racic,4,10,spotify:artist:4gTneYjaz4ePRvaPhXBYxz,https://api.spotify.com/v1/artists/4gTneYjaz4ePRvaPhXBYxz,
Nick Cave & The Bad Seeds,932345,69,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,https://api.spotify.com/v1/artists/4UXJsSlnKd7ltsrHebV79Q,"art rock,permanent wave,rock"
James,354338,63,spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh,https://api.spotify.com/v1/artists/0qLNsNKm8bQcMoRFkR8Hmh,"britpop,dance rock,madchester,new wave,new wave pop,permanent wave,pop rock,rock"
Bomb The Bass,23197,40,spotify:artist:1G3Eh23f2hwhEnAMw7HsZ6,https://api.spotify.com/v1/artists/1G3Eh23f2hwhEnAMw7HsZ6,"big beat,hip house,old school uk hip hop,trip hop"
Justin Warfield,2005,37,spotify:artist:7FsYhkJR8zX4NeEqifNqDA,https://api.spotify.com/v1/artists/7FsYhkJR8zX4NeEqifNqDA,trip hop
The Cruel Sea,39816,47,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,https://api.spotify.com/v1/artists/5m5cTNJ2RxfxKpGULocV9T,"australian alternative rock,australian rock"
Sheryl Crow,692289,70,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,"folk,lilith,mellow gold,neo mellow,new wave pop,permanent wave,pop rock,rock"
Beastie Boys,1743620,73,spotify:artist:03r4iKL2g2442PT9n2UKsx,https://api.spotify.com/v1/artists/03r4iKL2g2442PT9n2UKsx,"alternative rock,east coast hip hop,hip hop,old school hip hop,rap"
Stone Temple Pilots,2219204,72,spotify:artist:2UazAtjfzqBF0Nho2awK4z,https://api.spotify.com/v1/artists/2UazAtjfzqBF0Nho2awK4z,"alternative metal,alternative rock,grunge,hard rock,nu metal,pop rock,post-grunge,rock"
Green Day,11223600,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,"permanent wave,pop punk,punk"
Underground Lovers,4213,26,spotify:artist:2vJJ54Fm8loT4abayMYgRi,https://api.spotify.com/v1/artists/2vJJ54Fm8loT4abayMYgRi,australian alternative rock
Nick Barker,1146,18,spotify:artist:4VZy32PZdwxcefnsvE5PBM,https://api.spotify.com/v1/artists/4VZy32PZdwxcefnsvE5PBM,australian alternative rock
