name,followers,popularity,uri,link,genres
Denis Leary,19410,38,spotify:artist:1dHjpeh9OKBf1Jfg8dmO1T,https://api.spotify.com/v1/artists/1dHjpeh9OKBf1Jfg8dmO1T,"comedy,comic"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
The Cranberries,2203009,76,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,https://api.spotify.com/v1/artists/7t0rwkOPGlDPEhaOcVtOt9,"irish rock,pop rock"
Blind Melon,758834,65,spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd,https://api.spotify.com/v1/artists/5sD1ZLf2dGQ9gQ3YJl1eAd,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
The Breeders,264669,57,spotify:artist:1xgFexIwrf2QjbU0buCNnp,https://api.spotify.com/v1/artists/1xgFexIwrf2QjbU0buCNnp,"alternative pop,alternative rock,boston rock,dance rock,dayton indie,indie rock,lilith,lo-fi,post-punk,rock"
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
The Cruel Sea,39816,47,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,https://api.spotify.com/v1/artists/5m5cTNJ2RxfxKpGULocV9T,"australian alternative rock,australian rock"
Atomic Swing,5979,34,spotify:artist:7BJ4OeS4NgyI4M87ZijwBI,https://api.spotify.com/v1/artists/7BJ4OeS4NgyI4M87ZijwBI,classic swedish pop
R.E.M.,2660388,77,spotify:artist:4KWTAlx2RvbpseOGMEmROg,https://api.spotify.com/v1/artists/4KWTAlx2RvbpseOGMEmROg,"alternative rock,classic rock,permanent wave,pop rock,rock"
Stone Temple Pilots,2219204,72,spotify:artist:2UazAtjfzqBF0Nho2awK4z,https://api.spotify.com/v1/artists/2UazAtjfzqBF0Nho2awK4z,"alternative metal,alternative rock,grunge,hard rock,nu metal,pop rock,post-grunge,rock"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Iggy Pop,1053236,68,spotify:artist:33EUXrFKGjpUSGacqEHhU4,https://api.spotify.com/v1/artists/33EUXrFKGjpUSGacqEHhU4,"alternative rock,classic rock,dance rock,glam rock,new wave,permanent wave,post-punk,protopunk,punk,rock"
Urge Overkill,39223,52,spotify:artist:5LEUigTSXpwrtERRcSW1N4,https://api.spotify.com/v1/artists/5LEUigTSXpwrtERRcSW1N4,"alternative pop,alternative rock"
Cypress Hill,1249028,71,spotify:artist:4P0dddbxPil35MNN9G2MEX,https://api.spotify.com/v1/artists/4P0dddbxPil35MNN9G2MEX,"chicano rap,gangster rap,hardcore hip hop,hip hop,rap,rap rock,west coast rap"
Pet Shop Boys,1068369,71,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,https://api.spotify.com/v1/artists/2ycnb8Er79LoH2AsR5ldjh,"art pop,dance pop,dance rock,europop,new romantic,new wave,new wave pop,permanent wave,synthpop"
Neneh Cherry,109816,58,spotify:artist:3JxCEqL9zjKnDJgUhRuRJD,https://api.spotify.com/v1/artists/3JxCEqL9zjKnDJgUhRuRJD,"new wave pop,urban contemporary"
Nirvana,11396259,83,spotify:artist:6olE6TJLqED3rqDCT0FyPh,https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh,"alternative rock,grunge,permanent wave,rock"
The Cruel Sea,39816,47,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,https://api.spotify.com/v1/artists/5m5cTNJ2RxfxKpGULocV9T,"australian alternative rock,australian rock"
