name,followers,popularity,uri,link,genres
Ocean Alley,271279,67,spotify:artist:18lpwfiys4GtdHWNUu9qQr,https://api.spotify.com/v1/artists/18lpwfiys4GtdHWNUu9qQr,"australian hip hop,australian reggae fusion"
FISHER,469650,72,spotify:artist:1VJ0briNOlXRtJUAzoUJdt,https://api.spotify.com/v1/artists/1VJ0briNOlXRtJUAzoUJdt,"australian house,house"
Travis Scott,13089224,96,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,rap
Childish Gambino,7002258,81,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,https://api.spotify.com/v1/artists/73sIBHcqh3Z3NyqHKZ7FOL,"atl hip hop,hip hop,pop rap,rap"
Amy Shark,280384,65,spotify:artist:2DORQjKJVYZMx9uu82UGtT,https://api.spotify.com/v1/artists/2DORQjKJVYZMx9uu82UGtT,australian pop
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
Mallrat,132471,63,spotify:artist:4OSArit7O2Jaj4mgf3YN7A,https://api.spotify.com/v1/artists/4OSArit7O2Jaj4mgf3YN7A,"aussietronica,australian indie,australian pop,brisbane indie"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Ruby Fields,46902,50,spotify:artist:1nwPEi1UZdJtCxBqATpsq3,https://api.spotify.com/v1/artists/1nwPEi1UZdJtCxBqATpsq3,"australian garage punk,australian hip hop,australian indie"
Ocean Alley,271279,67,spotify:artist:18lpwfiys4GtdHWNUu9qQr,https://api.spotify.com/v1/artists/18lpwfiys4GtdHWNUu9qQr,"australian hip hop,australian reggae fusion"
Skegss,147737,61,spotify:artist:3SGLeWc7J5Ve0CinAOrb3a,https://api.spotify.com/v1/artists/3SGLeWc7J5Ve0CinAOrb3a,"australian garage punk,australian hip hop,australian indie,indie surf"
The Wombats,816791,69,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,https://api.spotify.com/v1/artists/0Ya43ZKWHTKkAbkoJJkwIB,"indie pop,liverpool indie,modern alternative rock,modern rock,rock"
A$AP Rocky,8020003,86,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop,hip hop,pop rap,rap,southern hip hop,trap"
Skepta,823438,78,spotify:artist:2p1fiYHYiXz9qi0JJyxBzN,https://api.spotify.com/v1/artists/2p1fiYHYiXz9qi0JJyxBzN,"birmingham grime,grime,instrumental grime,rap"
Wafia,80669,65,spotify:artist:0FL2d6iFFNAV3yBUbXjZ1U,https://api.spotify.com/v1/artists/0FL2d6iFFNAV3yBUbXjZ1U,"australian hip hop,australian indie,australian pop"
Hayden James,188255,67,spotify:artist:4csQIMQm6vI2A2SCVDuM2z,https://api.spotify.com/v1/artists/4csQIMQm6vI2A2SCVDuM2z,"aussietronica,edm,gauze pop,house,indie soul,tropical house"
Boy Matthews,2046,63,spotify:artist:2jn9JOmdrR9BdiR1LTvYG4,https://api.spotify.com/v1/artists/2jn9JOmdrR9BdiR1LTvYG4,uk dance
Ocean Alley,271279,67,spotify:artist:18lpwfiys4GtdHWNUu9qQr,https://api.spotify.com/v1/artists/18lpwfiys4GtdHWNUu9qQr,"australian hip hop,australian reggae fusion"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Hockey Dad,110899,58,spotify:artist:1GJ1uwDfaA8GVVpVc2I2d2,https://api.spotify.com/v1/artists/1GJ1uwDfaA8GVVpVc2I2d2,"australian garage punk,australian hip hop,australian indie,indie surf"
Broods,440738,62,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,https://api.spotify.com/v1/artists/5r5Va4lVQ1zjEfbJSrmCsS,"art pop,auckland indie,electropop,etherpop,indie electropop,indie pop,indie poptimism,indietronica,metropopolis,nz pop,pop,shimmer pop,tropical house,vapor soul"
KIAN,24770,53,spotify:artist:1TulCA2zO3YxAjQ7ZsvtDq,https://api.spotify.com/v1/artists/1TulCA2zO3YxAjQ7ZsvtDq,"australian hip hop,australian pop"
The Rubens,162567,62,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,"australian hip hop,australian indie,australian pop"
Sarah,222,7,spotify:artist:33Gx2JOUU4jrmRhjxwaOxb,https://api.spotify.com/v1/artists/33Gx2JOUU4jrmRhjxwaOxb,
RÜFÜS DU SOL,666355,73,spotify:artist:5Pb27ujIyYb33zBqVysBkj,https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,"australian electropop,indietronica,tropical house"
RÜFÜS DU SOL,666355,73,spotify:artist:5Pb27ujIyYb33zBqVysBkj,https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,"australian electropop,indietronica,tropical house"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Thundamentals,106747,58,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,https://api.spotify.com/v1/artists/7ymhGfvQPQLHU20RovzLMJ,"australian hip hop,australian indie,australian pop"
Vera Blue,139834,66,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,https://api.spotify.com/v1/artists/5ujrA1eZLDHR7yQ6FZa2qA,"australian hip hop,australian indie,australian pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Swae Lee,936126,86,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX,"melodic rap,pop rap,rap,trap"
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
SZA,3766070,84,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP,"pop,pop rap,rap"
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
Cub Sport,105277,59,spotify:artist:6vqMDhoigg5btfdPsPTVFt,https://api.spotify.com/v1/artists/6vqMDhoigg5btfdPsPTVFt,"australian hip hop,australian indie,australian indie rock,australian pop,brisbane indie"
Alison Wonderland,384513,63,spotify:artist:11gWrKZMBsGQWmobv3oNfW,https://api.spotify.com/v1/artists/11gWrKZMBsGQWmobv3oNfW,"aussietronica,edm,electra,electronic trap,escape room,indietronica"
The Rubens,162567,62,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,"australian hip hop,australian indie,australian pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
King Princess,903513,71,spotify:artist:6beUvFUlKliUYJdLOXNj9C,https://api.spotify.com/v1/artists/6beUvFUlKliUYJdLOXNj9C,"dance pop,electropop,indie pop,nyc pop,pop"
Mac Miller,4935268,87,spotify:artist:4LLpKhyESsyAXpc4laK94U,https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U,"hip hop,pittsburgh rap,pop rap,rap"
Amy Shark,280384,65,spotify:artist:2DORQjKJVYZMx9uu82UGtT,https://api.spotify.com/v1/artists/2DORQjKJVYZMx9uu82UGtT,australian pop
Ziggy Alberts,248695,69,spotify:artist:6tuPdaFPIytg3l2f51L7Hw,https://api.spotify.com/v1/artists/6tuPdaFPIytg3l2f51L7Hw,"australian pop,australian singer-songwriter,folk-pop,indie anthem-folk"
G Flip,104060,60,spotify:artist:4SdIXLzfabqU61iK7SnKAU,https://api.spotify.com/v1/artists/4SdIXLzfabqU61iK7SnKAU,"australian alternative pop,australian hip hop,australian indie,australian pop"
Ball Park Music,105929,55,spotify:artist:1ououJVWgWsHWMYDLvT7sH,https://api.spotify.com/v1/artists/1ououJVWgWsHWMYDLvT7sH,"australian garage punk,australian indie,australian pop,brisbane indie"
Drake,50161321,100,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
DMA'S,180295,64,spotify:artist:1iUTUix5kea176M0uJTsh4,https://api.spotify.com/v1/artists/1iUTUix5kea176M0uJTsh4,"australian hip hop,australian indie,modern rock"
Ziggy Alberts,248695,69,spotify:artist:6tuPdaFPIytg3l2f51L7Hw,https://api.spotify.com/v1/artists/6tuPdaFPIytg3l2f51L7Hw,"australian pop,australian singer-songwriter,folk-pop,indie anthem-folk"
Drake,50161321,100,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Adrian Eagle,11702,47,spotify:artist:3GC3e3b4g7rHeLdLUsxJZV,https://api.spotify.com/v1/artists/3GC3e3b4g7rHeLdLUsxJZV,australian hip hop
Bring Me The Horizon,3200720,80,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,https://api.spotify.com/v1/artists/1Ffb6ejR6Fe5IamqA5oRUF,"melodic metalcore,metalcore,uk metalcore"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
DZ Deathrays,54418,47,spotify:artist:0qGPycvPHafmEPTOm4M7Tu,https://api.spotify.com/v1/artists/0qGPycvPHafmEPTOm4M7Tu,"australian garage punk,australian hip hop,australian indie,brisbane indie,dance-punk,modern rock"
San Cisco,222212,60,spotify:artist:0Ou0138wEd8XWebhc4j7O0,https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0,"australian hip hop,australian indie,australian pop,fremantle indie,indie pop,metropopolis,perth indie"
Angie McMahon,69156,56,spotify:artist:574ERIqzZ5yZU9JhIf3Ysf,https://api.spotify.com/v1/artists/574ERIqzZ5yZU9JhIf3Ysf,"australian indie,australian pop"
RÜFÜS DU SOL,666355,73,spotify:artist:5Pb27ujIyYb33zBqVysBkj,https://api.spotify.com/v1/artists/5Pb27ujIyYb33zBqVysBkj,"australian electropop,indietronica,tropical house"
Baker Boy,37584,52,spotify:artist:6Qpa8xhGsGitz4WBf4BkpK,https://api.spotify.com/v1/artists/6Qpa8xhGsGitz4WBf4BkpK,"australian hip hop,australian indigenous,australian pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
