name,followers,popularity,uri,link,genres
Sweet,264106,64,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,https://api.spotify.com/v1/artists/3JaAGmSTpJK35DqWrDUzBz,"album rock,blues rock,classic rock,classic uk pop,glam rock,hard rock,rock"
Pilot,26275,49,spotify:artist:6PwcexHTG0qJWQQwp05Bpm,https://api.spotify.com/v1/artists/6PwcexHTG0qJWQQwp05Bpm,"bubblegum pop,classic uk pop,glam rock,soft rock"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Skyhooks,115256,45,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,https://api.spotify.com/v1/artists/1vdU5KvV0nDAjPRfpRKjRL,"australian alternative rock,australian rock,glam rock"
Captain & Tennille,237652,59,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,https://api.spotify.com/v1/artists/7BEfMxbaqx6dOpbtlEqScm,"adult standards,brill building pop,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock,yacht rock"
Carpenters,1530135,71,spotify:artist:1eEfMU2AhEo7XnKgL7c304,https://api.spotify.com/v1/artists/1eEfMU2AhEo7XnKgL7c304,"adult standards,mellow gold,soft rock"
Freddy Fender,95076,52,spotify:artist:0SNdq9iJyup4XY6JbNHbt6,https://api.spotify.com/v1/artists/0SNdq9iJyup4XY6JbNHbt6,"new mexico music,swamp pop"
Hush,964,23,spotify:artist:7o0zXmlrHW4OT3AZCUHMaW,https://api.spotify.com/v1/artists/7o0zXmlrHW4OT3AZCUHMaW,
George Baker Selection,29688,55,spotify:artist:2MGJBRRGEj9m6MxJIq7fLn,https://api.spotify.com/v1/artists/2MGJBRRGEj9m6MxJIq7fLn,"classic uk pop,nederpop"
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
William Shakespeare,6325,35,spotify:artist:0xZ9fVp0OnYjYPeX9Z3c8x,https://api.spotify.com/v1/artists/0xZ9fVp0OnYjYPeX9Z3c8x,"german literature,reading"
Status Quo,468222,65,spotify:artist:4gIdjgLlvgEOz7MexDZzpM,https://api.spotify.com/v1/artists/4gIdjgLlvgEOz7MexDZzpM,"album rock,blues rock,british blues,classic rock,classic uk pop,glam rock,hard rock,rock"
Johnny Wakelin,1734,32,spotify:artist:7s8sBDHfKZL7gFBtdObnTm,https://api.spotify.com/v1/artists/7s8sBDHfKZL7gFBtdObnTm,classic uk pop
Roger Whittaker,61137,54,spotify:artist:6pgfx4K1p1kT0RewXjmLfk,https://api.spotify.com/v1/artists/6pgfx4K1p1kT0RewXjmLfk,"classic schlager,easy listening,schlager"
Daryl Braithwaite,105425,60,spotify:artist:4t52ndk0OkAxtb4vMDLPhe,https://api.spotify.com/v1/artists/4t52ndk0OkAxtb4vMDLPhe,"australian pop,australian rock"
Skyhooks,115256,45,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,https://api.spotify.com/v1/artists/1vdU5KvV0nDAjPRfpRKjRL,"australian alternative rock,australian rock,glam rock"
Billy Swan,10340,46,spotify:artist:6nNkKMkPl1qBCEW3Al9eVV,https://api.spotify.com/v1/artists/6nNkKMkPl1qBCEW3Al9eVV,swamp pop
The Three Degrees,105166,51,spotify:artist:2zpFG5cvw00QmrYTUsjApa,https://api.spotify.com/v1/artists/2zpFG5cvw00QmrYTUsjApa,"classic girl group,disco,motown,philly soul,quiet storm"
Skyhooks,115256,45,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,https://api.spotify.com/v1/artists/1vdU5KvV0nDAjPRfpRKjRL,"australian alternative rock,australian rock,glam rock"
Status Quo,468222,65,spotify:artist:4gIdjgLlvgEOz7MexDZzpM,https://api.spotify.com/v1/artists/4gIdjgLlvgEOz7MexDZzpM,"album rock,blues rock,british blues,classic rock,classic uk pop,glam rock,hard rock,rock"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Gloria Gaynor,531992,67,spotify:artist:6V6WCgi7waF55bJmylC4H5,https://api.spotify.com/v1/artists/6V6WCgi7waF55bJmylC4H5,"disco,europop"
Sweet,264106,64,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,https://api.spotify.com/v1/artists/3JaAGmSTpJK35DqWrDUzBz,"album rock,blues rock,classic rock,classic uk pop,glam rock,hard rock,rock"
Suzi Quatro,214002,58,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,https://api.spotify.com/v1/artists/15jHZ1EZwmm2QDjKctvqJQ,"classic uk pop,glam rock"
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
Barry Manilow,851923,67,spotify:artist:3alW3LYQS8K29z8C8NSLIX,https://api.spotify.com/v1/artists/3alW3LYQS8K29z8C8NSLIX,"adult standards,bubblegum pop,disco,lounge,mellow gold,quiet storm,soft rock,yacht rock"
Bachman-Turner Overdrive,558877,62,spotify:artist:5q4AzEtCoYJyXjMMoEkSU5,https://api.spotify.com/v1/artists/5q4AzEtCoYJyXjMMoEkSU5,"album rock,art rock,blues rock,classic canadian rock,classic rock,country rock,folk rock,hard rock,mellow gold,rock,soft rock"
John Paul Young,14250,53,spotify:artist:2wMcQIxzH2LYHJZNxo9FcN,https://api.spotify.com/v1/artists/2wMcQIxzH2LYHJZNxo9FcN,"australian dance,australian rock,classic uk pop"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
10cc,415159,65,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,https://api.spotify.com/v1/artists/6i6WlGzQtXtz7GcC5H5st5,"album rock,art rock,classic rock,classic uk pop,dance rock,folk rock,glam rock,mellow gold,rock,soft rock,symphonic rock,yacht rock"
Alice Cooper,2211258,69,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,https://api.spotify.com/v1/artists/3EhbVgyfGd7HkpsagwL9GS,"album rock,blues rock,classic rock,glam metal,glam rock,hard rock,metal,protopunk,rock"
Frankie Valli,139748,66,spotify:artist:3CDKmzJu6uwEGnPLLZffpD,https://api.spotify.com/v1/artists/3CDKmzJu6uwEGnPLLZffpD,"adult standards,brill building pop,bubblegum pop,folk rock,lounge,mellow gold,soft rock"
Sweet,264106,64,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,https://api.spotify.com/v1/artists/3JaAGmSTpJK35DqWrDUzBz,"album rock,blues rock,classic rock,classic uk pop,glam rock,hard rock,rock"
Minnie Riperton,211200,59,spotify:artist:2i1IdHG5w0wiSmJGoqAGlj,https://api.spotify.com/v1/artists/2i1IdHG5w0wiSmJGoqAGlj,"classic soul,disco,funk,jazz funk,motown,neo soul,quiet storm,soul"
Ray Stevens,46955,48,spotify:artist:7MpUvihmfilIxyN20kXwQj,https://api.spotify.com/v1/artists/7MpUvihmfilIxyN20kXwQj,"bubblegum pop,comic,novelty"
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
The Seekers,102115,53,spotify:artist:7dedWAqd0IKTdCiqiadUrV,https://api.spotify.com/v1/artists/7dedWAqd0IKTdCiqiadUrV,"adult standards,brill building pop,british invasion,bubblegum pop,folk,folk rock,mellow gold,merseybeat,rock-and-roll,traditional folk"
Jigsaw,6005,38,spotify:artist:29NJ6VbDPYhqdXXANEwHc7,https://api.spotify.com/v1/artists/29NJ6VbDPYhqdXXANEwHc7,classic uk pop
Peter Shelley,436,21,spotify:artist:1Rqm4lxi4IhNatGFqKSXlW,https://api.spotify.com/v1/artists/1Rqm4lxi4IhNatGFqKSXlW,
John Paul Young,14250,53,spotify:artist:2wMcQIxzH2LYHJZNxo9FcN,https://api.spotify.com/v1/artists/2wMcQIxzH2LYHJZNxo9FcN,"australian dance,australian rock,classic uk pop"
Marty Rhone,778,16,spotify:artist:2No2vspr2KORUEcZKH4xUi,https://api.spotify.com/v1/artists/2No2vspr2KORUEcZKH4xUi,
David Essex,46024,43,spotify:artist:46n0cAhBmsRJZiX6GSFmbf,https://api.spotify.com/v1/artists/46n0cAhBmsRJZiX6GSFmbf,"bubblegum pop,classic uk pop,glam rock"
Bill & Boyd,153,13,spotify:artist:7bzzp2TDqSg6rXfOv501Eb,https://api.spotify.com/v1/artists/7bzzp2TDqSg6rXfOv501Eb,
Richard Clapton,56584,45,spotify:artist:3M5nxyS3mmuFqHP2N4x5ZH,https://api.spotify.com/v1/artists/3M5nxyS3mmuFqHP2N4x5ZH,"australian alternative rock,australian rock"
Glen Campbell,258434,65,spotify:artist:59hLmB5DrdihCYtNeFeW1U,https://api.spotify.com/v1/artists/59hLmB5DrdihCYtNeFeW1U,"adult standards,arkansas country,brill building pop,classic country pop,folk,folk rock,lounge,mellow gold,nashville sound,soft rock"
Harry Chapin,202051,56,spotify:artist:42q4Ivs7tAiCZ5C7eG5q4c,https://api.spotify.com/v1/artists/42q4Ivs7tAiCZ5C7eG5q4c,"country rock,folk,folk rock,mellow gold,singer-songwriter,soft rock,traditional folk"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Carl Douglas,19536,56,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,https://api.spotify.com/v1/artists/5Pqx4mXYDGIDcg8E5FYjZ8,disco
Leo Sayer,286719,62,spotify:artist:04LIHk1SobiQwt2tlupoAV,https://api.spotify.com/v1/artists/04LIHk1SobiQwt2tlupoAV,"adult standards,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock"
Maureen McGovern,33384,37,spotify:artist:3bnf5pPVQFWv762IiavilV,https://api.spotify.com/v1/artists/3bnf5pPVQFWv762IiavilV,bubblegum pop
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Tony Christie,31122,49,spotify:artist:7KK6M2jPylHa6gLbMBI6V0,https://api.spotify.com/v1/artists/7KK6M2jPylHa6gLbMBI6V0,classic uk pop
First Class,895,31,spotify:artist:4ndt8TW7IvdI3SPh0LBMHO,https://api.spotify.com/v1/artists/4ndt8TW7IvdI3SPh0LBMHO,
