name,followers,popularity,uri,link,genres
Fergie,4036552,74,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,https://api.spotify.com/v1/artists/3r17AfJCCUqC9Lf0OAc73G,"dance pop,pop,post-teen pop,urban contemporary"
Avril Lavigne,6334260,80,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,"canadian pop,candy pop,dance pop,pop,post-teen pop"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
JAY-Z,5663811,87,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://api.spotify.com/v1/artists/3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop,hip hop,pop rap,rap"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Hinder,1220392,65,spotify:artist:6BMhCQJYHxxKAeqYS1p5rY,https://api.spotify.com/v1/artists/6BMhCQJYHxxKAeqYS1p5rY,"alternative metal,nu metal,pop rock,post-grunge"
Timbaland,1761329,78,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ,"dance pop,hip hop,hip pop,pop,pop rap,urban contemporary"
OneRepublic,10791790,86,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,https://api.spotify.com/v1/artists/5Pwc4xIPtQLFEnJriah9YJ,"dance pop,neo mellow,piano rock,pop,pop rock"
MIKA,1045197,71,spotify:artist:5MmVJVhhYKQ86izuGHzJYA,https://api.spotify.com/v1/artists/5MmVJVhhYKQ86izuGHzJYA,"dance pop,europop,pop"
Christina Aguilera,5510189,82,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,"dance pop,pop,pop rap,post-teen pop"
Gwen Stefani,4197071,77,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,https://api.spotify.com/v1/artists/4yiQZ8tQPux8cPriYMWUFP,"dance pop,europop,hip pop,pop,pop rock,post-teen pop,urban contemporary"
Akon,2479604,83,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,dance pop
Sean Kingston,1888308,74,spotify:artist:6S0dmVVn4udvppDhZIWxCr,https://api.spotify.com/v1/artists/6S0dmVVn4udvppDhZIWxCr,"dance pop,miami hip hop,pop,post-teen pop,urban contemporary"
Timbaland,1761329,78,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ,"dance pop,hip hop,hip pop,pop,pop rap,urban contemporary"
Keri Hilson,1333004,69,spotify:artist:63wjoROpeh5f11Qm93UiJ1,https://api.spotify.com/v1/artists/63wjoROpeh5f11Qm93UiJ1,"dance pop,hip pop,pop,pop r&b,post-teen pop,r&b,urban contemporary"
D.O.E.,697,63,spotify:artist:4TLCPR1sMYoNU1jA7O4uww,https://api.spotify.com/v1/artists/4TLCPR1sMYoNU1jA7O4uww,
Good Charlotte,1853536,71,spotify:artist:5aYyPjAsLj7UzANzdupwnS,https://api.spotify.com/v1/artists/5aYyPjAsLj7UzANzdupwnS,"alternative metal,pop punk"
Fergie,4036552,74,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,https://api.spotify.com/v1/artists/3r17AfJCCUqC9Lf0OAc73G,"dance pop,pop,post-teen pop,urban contemporary"
Ludacris,1930039,80,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,https://api.spotify.com/v1/artists/3ipn9JLAPI5GUEo4y4jcoi,"atl hip hop,dance pop,dirty south rap,hip hop,pop rap,rap,southern hip hop,trap"
Fall Out Boy,8257163,84,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,https://api.spotify.com/v1/artists/4UXqAaa6dQYAk18Lv7PEgX,"emo,modern rock,pop punk"
Delta Goodrem,167398,58,spotify:artist:2g6fa86fL6oLcoDqanBbuR,https://api.spotify.com/v1/artists/2g6fa86fL6oLcoDqanBbuR,"australian pop,australian talent show,dance pop,europop"
Fall Out Boy,8257163,84,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,https://api.spotify.com/v1/artists/4UXqAaa6dQYAk18Lv7PEgX,"emo,modern rock,pop punk"
Alex Gaudino,88384,62,spotify:artist:7vb7VLDqpLTlAy1ctTMR5d,https://api.spotify.com/v1/artists/7vb7VLDqpLTlAy1ctTMR5d,"disco house,edm,electro house,vocal house"
Crystal Waters,63370,64,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,https://api.spotify.com/v1/artists/2sd9Q3r0Jhqpe3w9WVuG43,"disco house,diva house,hip house,vocal house"
The Fray,3070142,75,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,https://api.spotify.com/v1/artists/0zOcE3mg9nS6l3yxt1Y0bK,"modern rock,neo mellow,piano rock,pop,pop rock"
Kanye West,12584585,92,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,https://api.spotify.com/v1/artists/5K4W6rqBFWDnAN6FQUkS6x,"chicago rap,rap"
Thirsty Merc,61296,54,spotify:artist:0tTLmQvo0tn8vYlpJpA2no,https://api.spotify.com/v1/artists/0tTLmQvo0tn8vYlpJpA2no,"australian pop,australian rock,pop rock"
Plain White T's,882210,71,spotify:artist:1g1yxsNVPhMUl9GrMjEb2o,https://api.spotify.com/v1/artists/1g1yxsNVPhMUl9GrMjEb2o,"neo mellow,pop,pop punk,pop rock"
