name,followers,popularity,uri,link,genres
Bernard Fanning,114971,54,spotify:artist:0afemm9P2Bb2LL99xHY32n,https://api.spotify.com/v1/artists/0afemm9P2Bb2LL99xHY32n,"australian alternative rock,australian rock"
Ben Lee,44124,51,spotify:artist:06y1hH4hu3rcTUXHJevPCf,https://api.spotify.com/v1/artists/06y1hH4hu3rcTUXHJevPCf,"australian alternative rock,australian pop,australian rock,pop rock"
Gorillaz,6011490,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop,art pop"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Gorillaz,6011490,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop,art pop"
Wolfmother,705324,65,spotify:artist:3yEnArbNHyTCwMRvD9SBy4,https://api.spotify.com/v1/artists/3yEnArbNHyTCwMRvD9SBy4,"alternative rock,australian psych,garage rock,modern alternative rock,modern blues rock,modern rock,rock"
The White Stripes,2247412,74,spotify:artist:4F84IBURUo98rz4r61KF70,https://api.spotify.com/v1/artists/4F84IBURUo98rz4r61KF70,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
End Of Fashion,9677,35,spotify:artist:5eZMLzpKYU5n4qAt5z4T13,https://api.spotify.com/v1/artists/5eZMLzpKYU5n4qAt5z4T13,"australian alternative rock,perth indie"
Wolfmother,705324,65,spotify:artist:3yEnArbNHyTCwMRvD9SBy4,https://api.spotify.com/v1/artists/3yEnArbNHyTCwMRvD9SBy4,"alternative rock,australian psych,garage rock,modern alternative rock,modern blues rock,modern rock,rock"
Franz Ferdinand,1894265,69,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,https://api.spotify.com/v1/artists/0XNa1vTidXlvJ2gHSsRi4A,"alternative rock,dance-punk,indie rock,modern rock,new rave,rock,scottish rock"
