name,followers,popularity,uri,link,genres
The Rubens,162567,62,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,"australian hip hop,australian indie,australian pop"
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
Major Lazer,6078466,83,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,"dance pop,edm,electro house,moombahton,pop,pop rap"
MØ,1279000,75,spotify:artist:0bdfiayQAKewqEvaU6rXCv,https://api.spotify.com/v1/artists/0bdfiayQAKewqEvaU6rXCv,"dance pop,danish pop,electropop,indie pop,indie poptimism,pop"
DJ Snake,7066209,83,spotify:artist:540vIaP2JwjQb9dm3aArA4,https://api.spotify.com/v1/artists/540vIaP2JwjQb9dm3aArA4,"dance pop,edm,electro house,electronic trap,pop,pop rap"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
Marcus Marr,36215,50,spotify:artist:6l5dAUNRhHnRSPPmRJSKQr,https://api.spotify.com/v1/artists/6l5dAUNRhHnRSPPmRJSKQr,uk alternative pop
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
Jarryd James,105344,53,spotify:artist:23IZADrJHPStZ6aMxJVq3s,https://api.spotify.com/v1/artists/23IZADrJHPStZ6aMxJVq3s,"australian alternative pop,australian r&b"
Hermitude,234698,63,spotify:artist:3fmMaLC5jjf2N4EC2kTx0u,https://api.spotify.com/v1/artists/3fmMaLC5jjf2N4EC2kTx0u,"australian dance,australian hip hop,downtempo,edm,escape room"
Mataya,905,56,spotify:artist:6JW55AQgf9M9SZgzZou2NQ,https://api.spotify.com/v1/artists/6JW55AQgf9M9SZgzZou2NQ,
TAPZ,4597,53,spotify:artist:7p54hwKypG19lucXWyQdGG,https://api.spotify.com/v1/artists/7p54hwKypG19lucXWyQdGG,escape room
The Weeknd,25003330,96,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b,canadian pop,pop"
