name,followers,popularity,uri,link,genres
Daddy Cool,82194,50,spotify:artist:5ht2HGrvbN9eDWJarHsou6,https://api.spotify.com/v1/artists/5ht2HGrvbN9eDWJarHsou6,australian rock
George Harrison,1644500,71,spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,https://api.spotify.com/v1/artists/7FIoB5PHdrMZVC3q2HE5MS,"album rock,beatlesque,classic rock,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
The Mixtures,510,22,spotify:artist:3uPSzsWGSzQZfihkPkAvfN,https://api.spotify.com/v1/artists/3uPSzsWGSzQZfihkPkAvfN,
Drummond,131,7,spotify:artist:5BXtjft527FfVIZHpBRXns,https://api.spotify.com/v1/artists/5BXtjft527FfVIZHpBRXns,
Susan Raye,1083,29,spotify:artist:09efpf4ONuA3Ezctd8lXza,https://api.spotify.com/v1/artists/09efpf4ONuA3Ezctd8lXza,"bakersfield sound,country gospel"
Helen Reddy,159584,57,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,https://api.spotify.com/v1/artists/0Sq7oGrYEe0BDmb13wgjOO,"adult standards,brill building pop,bubblegum pop,classic uk pop,folk,mellow gold,soft rock"
Tony Orlando & Dawn,73554,50,spotify:artist:72NXpYBIaTfEeAAsxXLs0P,https://api.spotify.com/v1/artists/72NXpYBIaTfEeAAsxXLs0P,"adult standards,brill building pop,bubblegum pop,classic uk pop,soft rock"
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
Lynn Anderson,79609,51,spotify:artist:502FY8XQYRxClWgolQ3Hf2,https://api.spotify.com/v1/artists/502FY8XQYRxClWgolQ3Hf2,"classic country pop,nashville sound"
Zoot,1223,19,spotify:artist:6nv55DhqbeO8YUWFCfFAys,https://api.spotify.com/v1/artists/6nv55DhqbeO8YUWFCfFAys,australian rock
The Hollies,720057,66,spotify:artist:6waa8mKu91GjzD4NlONlNJ,https://api.spotify.com/v1/artists/6waa8mKu91GjzD4NlONlNJ,"album rock,art rock,brill building pop,british invasion,bubblegum pop,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,merseybeat,psychedelic rock,rock,rock-and-roll,soft rock"
Dave Mills,67,6,spotify:artist:5ozYVtPIVpq3ZMM5Z1BrYm,https://api.spotify.com/v1/artists/5ozYVtPIVpq3ZMM5Z1BrYm,
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
David Cassidy,65015,45,spotify:artist:0isDnZYMWbwDz7hzw0XRjt,https://api.spotify.com/v1/artists/0isDnZYMWbwDz7hzw0XRjt,"bubblegum pop,soft rock"
