name,followers,popularity,uri,link,genres
Augie March,21443,44,spotify:artist:0vntgse6gPZfthoW8kTTlR,https://api.spotify.com/v1/artists/0vntgse6gPZfthoW8kTTlR,"australian alternative rock,australian indie,australian rock,melbourne indie"
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
The Killers,5604128,82,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,"modern rock,permanent wave,rock"
Scissor Sisters,382854,65,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,"dance pop,electropop,europop,pop rock"
Gnarls Barkley,373280,69,spotify:artist:5SbkVQYYzlw1kte75QIabH,https://api.spotify.com/v1/artists/5SbkVQYYzlw1kte75QIabH,"atl hip hop,neo soul"
Snow Patrol,2085345,74,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,https://api.spotify.com/v1/artists/3rIZMv9rysU7JkLzEaC5Jp,"irish rock,modern rock,neo mellow,permanent wave,pop rock,rock"
Gotye,2214163,71,spotify:artist:2AsusXITU8P25dlRNhcAbG,https://api.spotify.com/v1/artists/2AsusXITU8P25dlRNhcAbG,australian pop
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
The Grates,16447,32,spotify:artist:0aWSylARSZCDo7vTDgvKbb,https://api.spotify.com/v1/artists/0aWSylARSZCDo7vTDgvKbb,"australian alternative rock,australian indie,australian indie rock"
Little Birdy,31134,38,spotify:artist:3h18aXqdmm2F13t6LIbTpq,https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq,"australian alternative rock,australian indie,australian rock,perth indie"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
My Chemical Romance,5305194,80,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,https://api.spotify.com/v1/artists/7FBcuc1gsnv6Y1nwFtNRCb,"emo,modern rock,pop punk"
OK Go,414763,59,spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,https://api.spotify.com/v1/artists/3hozsZ9hqNq7CoBGYNlFTz,"alternative rock,chicago indie,dance-punk,indie pop,indie rock,modern alternative rock,modern rock,permanent wave,pop rock,rock"
