name,followers,popularity,uri,link,genres
Wet Wet Wet,287879,62,spotify:artist:2u0gw0uCWBMiqV7h0N8kai,https://api.spotify.com/v1/artists/2u0gw0uCWBMiqV7h0N8kai,"boy band,dance rock,europop,new romantic,new wave pop,soft rock,sophisti-pop"
All-4-One,427965,62,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG,https://api.spotify.com/v1/artists/1B8ySGDAiXTCvnJNH4HSCG,"boy band,dance pop,new jack swing,r&b,urban contemporary"
Bon Jovi,8370312,82,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,"glam metal,rock"
East 17,68586,52,spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY,https://api.spotify.com/v1/artists/6lOC7lwSO1ql4Gc2Y3QObY,"boy band,dance pop,eurodance,europop,hip house"
Ace of Base,418412,67,spotify:artist:5ksRONqssB7BR161NTtJAm,https://api.spotify.com/v1/artists/5ksRONqssB7BR161NTtJAm,"bubblegum dance,dance pop,eurodance,europop,hip house,pop rock"
Céline Dion,4169010,79,spotify:artist:4S9EykWXhStSc15wEx8QFK,https://api.spotify.com/v1/artists/4S9EykWXhStSc15wEx8QFK,"canadian pop,dance pop"
Boyz II Men,1908287,71,spotify:artist:6O74knDqdv3XaWtkII7Xjp,https://api.spotify.com/v1/artists/6O74knDqdv3XaWtkII7Xjp,"boy band,new jack swing,pop,quiet storm,r&b,urban contemporary"
Bryan Adams,1807032,79,spotify:artist:3Z02hBLubJxuFJfhacLSDc,https://api.spotify.com/v1/artists/3Z02hBLubJxuFJfhacLSDc,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,pop rock,rock,soft rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Bryan Adams,1807032,79,spotify:artist:3Z02hBLubJxuFJfhacLSDc,https://api.spotify.com/v1/artists/3Z02hBLubJxuFJfhacLSDc,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,pop rock,rock,soft rock"
Sting,1939184,75,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,https://api.spotify.com/v1/artists/0Ty63ceoRnnJKVEYP0VQpk,"permanent wave,soft rock,sophisti-pop"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Crystal Waters,63370,64,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,https://api.spotify.com/v1/artists/2sd9Q3r0Jhqpe3w9WVuG43,"disco house,diva house,hip house,vocal house"
Twenty 4 Seven,34669,45,spotify:artist:39QjUR6m5slbxO36zayaMq,https://api.spotify.com/v1/artists/39QjUR6m5slbxO36zayaMq,"bubblegum dance,eurodance,europop,hip house"
Cut 'N' Move,1678,39,spotify:artist:2OQkm6IvTu9MeHkGQQ4cSK,https://api.spotify.com/v1/artists/2OQkm6IvTu9MeHkGQQ4cSK,"bubblegum dance,classic danish pop"
Crash Test Dummies,183578,58,spotify:artist:1YEGETLT2p8k97LIo3deHL,https://api.spotify.com/v1/artists/1YEGETLT2p8k97LIo3deHL,"canadian rock,pop rock"
Salt-N-Pepa,482171,64,spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ,https://api.spotify.com/v1/artists/7wqtxqI3eo7Gn1P7SpP6cQ,"dance pop,girl group,hip hop,hip house,hip pop,old school hip hop,pop,queens hip hop,rap"
Mariah Carey,5968746,82,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,"dance pop,pop,r&b,urban contemporary"
The Grid,6954,42,spotify:artist:1fN3lF5RILxJeG9H8EhEDo,https://api.spotify.com/v1/artists/1fN3lF5RILxJeG9H8EhEDo,"big beat,hardcore techno,hip house"
Jam & Spoon,17715,48,spotify:artist:2MIKLLJyOv1o5u49KRbfH7,https://api.spotify.com/v1/artists/2MIKLLJyOv1o5u49KRbfH7,"bubble trance,eurodance,frankfurt electronic,german techno,german trance,hip house,trance"
Big Mountain,82226,61,spotify:artist:0Jeckitay8SbvKwqAzWuYH,https://api.spotify.com/v1/artists/0Jeckitay8SbvKwqAzWuYH,reggae
Tom Lord-Alge,725,60,spotify:artist:32ckuKo8LrZhQMyCehYKkt,https://api.spotify.com/v1/artists/32ckuKo8LrZhQMyCehYKkt,
Toni Braxton,2321310,69,spotify:artist:3X458ddYA2YcVWuVIGGOYe,https://api.spotify.com/v1/artists/3X458ddYA2YcVWuVIGGOYe,"dance pop,hip pop,neo soul,new jack swing,pop,quiet storm,r&b,urban contemporary"
M People,156169,58,spotify:artist:3lcbKPLl0ci2mKRdcP5Etf,https://api.spotify.com/v1/artists/3lcbKPLl0ci2mKRdcP5Etf,"dance pop,diva house,europop,hip house,new romantic,new wave pop,sophisti-pop"
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Salt-N-Pepa,482171,64,spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ,https://api.spotify.com/v1/artists/7wqtxqI3eo7Gn1P7SpP6cQ,"dance pop,girl group,hip hop,hip house,hip pop,old school hip hop,pop,queens hip hop,rap"
En Vogue,800974,61,spotify:artist:5fikk4h5qbEebqK2Fc6e48,https://api.spotify.com/v1/artists/5fikk4h5qbEebqK2Fc6e48,"dance pop,girl group,hip hop,hip pop,neo soul,new jack swing,r&b,urban contemporary"
Dr. Alban,119060,64,spotify:artist:6BkcAbUkfIBM4XudxieMq8,https://api.spotify.com/v1/artists/6BkcAbUkfIBM4XudxieMq8,"bubblegum dance,eurodance,europop,hip house"
Denis Leary,19410,38,spotify:artist:1dHjpeh9OKBf1Jfg8dmO1T,https://api.spotify.com/v1/artists/1dHjpeh9OKBf1Jfg8dmO1T,"comedy,comic"
Luther Vandross,1501711,68,spotify:artist:19y5MFBH7gohEdGwKM7QsP,https://api.spotify.com/v1/artists/19y5MFBH7gohEdGwKM7QsP,"funk,motown,neo soul,new jack swing,quiet storm,r&b,soul,urban contemporary"
Mariah Carey,5968746,82,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,"dance pop,pop,r&b,urban contemporary"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Youssou N'Dour,102803,58,spotify:artist:77zlytAFjPFjUKda8TNIDY,https://api.spotify.com/v1/artists/77zlytAFjPFjUKda8TNIDY,"afropop,mande pop,mbalax,world"
Neneh Cherry,109816,58,spotify:artist:3JxCEqL9zjKnDJgUhRuRJD,https://api.spotify.com/v1/artists/3JxCEqL9zjKnDJgUhRuRJD,"new wave pop,urban contemporary"
Tina Arena,92321,54,spotify:artist:1ZTCpKWDwHhbjhkdHhvTm8,https://api.spotify.com/v1/artists/1ZTCpKWDwHhbjhkdHhvTm8,"australian dance,australian pop,europop,french pop"
Michael Bolton,1046825,69,spotify:artist:6YHEMoNPbcheiWS2haGzkn,https://api.spotify.com/v1/artists/6YHEMoNPbcheiWS2haGzkn,"adult standards,soft rock"
D:Ream,13087,48,spotify:artist:2dCQKsTjB762AhtIACbAQA,https://api.spotify.com/v1/artists/2dCQKsTjB762AhtIACbAQA,"eurodance,europop,hip house"
Melodie MC,2299,35,spotify:artist:7I0w61rZB2mLGLRvqrlr0W,https://api.spotify.com/v1/artists/7I0w61rZB2mLGLRvqrlr0W,"eurodance,hip house"
Sheryl Crow,692289,70,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,"folk,lilith,mellow gold,neo mellow,new wave pop,permanent wave,pop rock,rock"
Lisa Loeb & Nine Stories,48231,49,spotify:artist:4a7CDXcRCXi4kp5z7SEXtg,https://api.spotify.com/v1/artists/4a7CDXcRCXi4kp5z7SEXtg,"lilith,pop rock"
DJ Jazzy Jeff & The Fresh Prince,238983,60,spotify:artist:1mG23iQeR29Ojhq89D5gbh,https://api.spotify.com/v1/artists/1mG23iQeR29Ojhq89D5gbh,"gangster rap,hip hop,old school hip hop,philly rap,rap"
