name,followers,popularity,uri,link,genres
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Vera Blue,139834,66,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,https://api.spotify.com/v1/artists/5ujrA1eZLDHR7yQ6FZa2qA,"australian hip hop,australian indie,australian pop"
Mallrat,132471,63,spotify:artist:4OSArit7O2Jaj4mgf3YN7A,https://api.spotify.com/v1/artists/4OSArit7O2Jaj4mgf3YN7A,"aussietronica,australian indie,australian pop,brisbane indie"
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Denzel Curry,1412009,77,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,https://api.spotify.com/v1/artists/6fxyWrfmjcbj5d12gXeiNV,"dark trap,drill,hip hop,miami hip hop,rap,underground hip hop"
G Flip,104060,60,spotify:artist:4SdIXLzfabqU61iK7SnKAU,https://api.spotify.com/v1/artists/4SdIXLzfabqU61iK7SnKAU,"australian alternative pop,australian hip hop,australian indie,australian pop"
Lime Cordiale,146660,66,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,"australian hip hop,australian indie,australian pop"
The Jungle Giants,181784,64,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,"australian indie,australian pop"
Thelma Plum,67461,59,spotify:artist:0C6qzW0Am8OVyHSoT57fnC,https://api.spotify.com/v1/artists/0C6qzW0Am8OVyHSoT57fnC,"australian hip hop,australian indie,australian indigenous,australian pop"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Illy,148257,61,spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,https://api.spotify.com/v1/artists/6NFyaN9PMCDZ3LKxGwHAXt,"australian hip hop,australian indie,australian pop,australian trap"
Ecca Vandal,9865,54,spotify:artist:0NhKCHTPG7Sz62S3zxV1Cf,https://api.spotify.com/v1/artists/0NhKCHTPG7Sz62S3zxV1Cf,
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
FIDLAR,253355,59,spotify:artist:3P6duIn7oHeiBACZfYeNud,https://api.spotify.com/v1/artists/3P6duIn7oHeiBACZfYeNud,"australian garage punk,indie garage rock,modern rock,noise pop"
Lime Cordiale,146660,66,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,"australian hip hop,australian indie,australian pop"
Sofi Tukker,460892,73,spotify:artist:586uxXMyD5ObPuzjtrzO1Q,https://api.spotify.com/v1/artists/586uxXMyD5ObPuzjtrzO1Q,"electropop,pop"
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Lime Cordiale,146660,66,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,"australian hip hop,australian indie,australian pop"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
BENEE,471105,79,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,https://api.spotify.com/v1/artists/0Cp8WN4V8Tu4QJQwCN5Md4,"nz pop,pop"
DMA'S,180295,64,spotify:artist:1iUTUix5kea176M0uJTsh4,https://api.spotify.com/v1/artists/1iUTUix5kea176M0uJTsh4,"australian hip hop,australian indie,modern rock"
The Chats,115959,55,spotify:artist:1aQ7P3HtKOQFW16ebjiks1,https://api.spotify.com/v1/artists/1aQ7P3HtKOQFW16ebjiks1,australian garage punk
Ruel,1249370,77,spotify:artist:5xkAtLTf309LAGZTbvULBn,https://api.spotify.com/v1/artists/5xkAtLTf309LAGZTbvULBn,"australian alternative pop,pop,post-teen pop"
"Tyler, The Creator",5180491,85,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,https://api.spotify.com/v1/artists/4V8LLVI7PbaPR0K2TGSxFF,"hip hop,rap"
Ocean Alley,271279,67,spotify:artist:18lpwfiys4GtdHWNUu9qQr,https://api.spotify.com/v1/artists/18lpwfiys4GtdHWNUu9qQr,"australian hip hop,australian reggae fusion"
BENEE,471105,79,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,https://api.spotify.com/v1/artists/0Cp8WN4V8Tu4QJQwCN5Md4,"nz pop,pop"
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Stormzy,1986277,82,spotify:artist:2SrSdSvpminqmStGELCSNd,https://api.spotify.com/v1/artists/2SrSdSvpminqmStGELCSNd,"grime,uk hip hop"
Lizzo,3248107,80,spotify:artist:56oDRnqbIiwx4mymNEv7dS,https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS,"dance pop,escape room,minnesota hip hop,pop,pop rap,trap queen"
MEDUZA,318344,79,spotify:artist:0xRXCcSX89eobfrshSVdyu,https://api.spotify.com/v1/artists/0xRXCcSX89eobfrshSVdyu,"brazilian edm,edm,electro house,pop house"
Goodboys,14694,79,spotify:artist:2nm38smINjms1LtczR0Cei,https://api.spotify.com/v1/artists/2nm38smINjms1LtczR0Cei,uk dance
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Reo Cragun,63659,60,spotify:artist:08v1r0jqDyvSo2LtSqHxcy,https://api.spotify.com/v1/artists/08v1r0jqDyvSo2LtSqHxcy,"trap soul,underground hip hop"
Skegss,147737,61,spotify:artist:3SGLeWc7J5Ve0CinAOrb3a,https://api.spotify.com/v1/artists/3SGLeWc7J5Ve0CinAOrb3a,"australian garage punk,australian hip hop,australian indie,indie surf"
Lime Cordiale,146660,66,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,https://api.spotify.com/v1/artists/6yrtCy4XJHXM6tczo4RlTs,"australian hip hop,australian indie,australian pop"
Dom Dolla,90314,65,spotify:artist:205i7E8fNVfojowcQSfK9m,https://api.spotify.com/v1/artists/205i7E8fNVfojowcQSfK9m,"australian house,deep groove house,edm,house"
Glass Animals,1314060,80,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq,"gauze pop,indietronica,modern rock,shiver pop"
Denzel Curry,1412009,77,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,https://api.spotify.com/v1/artists/6fxyWrfmjcbj5d12gXeiNV,"dark trap,drill,hip hop,miami hip hop,rap,underground hip hop"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
PNAU,140514,65,spotify:artist:6n28c9qs9hNGriNa72b26u,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,"alternative dance,aussietronica,australian dance,australian electropop,australian hip hop,australian indie,dance-punk,edm,new rave"
Kira Divine,282,56,spotify:artist:4AFUtRGh4gJb1mWNTtN0Ha,https://api.spotify.com/v1/artists/4AFUtRGh4gJb1mWNTtN0Ha,
Marques Toliver,3300,52,spotify:artist:5zrD2ZqM6SB5XRJJwTroAu,https://api.spotify.com/v1/artists/5zrD2ZqM6SB5XRJJwTroAu,
Duke Dumont,583795,72,spotify:artist:61lyPtntblHJvA7FMMhi7E,https://api.spotify.com/v1/artists/61lyPtntblHJvA7FMMhi7E,"dance pop,destroy techno,disco house,edm,house,progressive house,tropical house,uk dance"
Shaun Ross,2181,56,spotify:artist:6GaWtlUT3oavD9SEzhZrA1,https://api.spotify.com/v1/artists/6GaWtlUT3oavD9SEzhZrA1,
Ruel,1249370,77,spotify:artist:5xkAtLTf309LAGZTbvULBn,https://api.spotify.com/v1/artists/5xkAtLTf309LAGZTbvULBn,"australian alternative pop,pop,post-teen pop"
Catfish and the Bottlemen,845184,69,spotify:artist:2xaAOVImG2O6lURwqperlD,https://api.spotify.com/v1/artists/2xaAOVImG2O6lURwqperlD,"modern alternative rock,modern rock,rock,stomp pop,welsh rock"
Halsey,12410768,91,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
Travis Scott,13089224,96,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,rap
Juice WRLD,12805328,99,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz,"chicago rap,melodic rap"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
Baker Boy,37584,52,spotify:artist:6Qpa8xhGsGitz4WBf4BkpK,https://api.spotify.com/v1/artists/6Qpa8xhGsGitz4WBf4BkpK,"australian hip hop,australian indigenous,australian pop"
Denzel Curry,1412009,77,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,https://api.spotify.com/v1/artists/6fxyWrfmjcbj5d12gXeiNV,"dark trap,drill,hip hop,miami hip hop,rap,underground hip hop"
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
BROCKHAMPTON,1597338,79,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,"boy band,hip hop,rap"
Ziggy Alberts,248695,69,spotify:artist:6tuPdaFPIytg3l2f51L7Hw,https://api.spotify.com/v1/artists/6tuPdaFPIytg3l2f51L7Hw,"australian pop,australian singer-songwriter,folk-pop,indie anthem-folk"
Ruel,1249370,77,spotify:artist:5xkAtLTf309LAGZTbvULBn,https://api.spotify.com/v1/artists/5xkAtLTf309LAGZTbvULBn,"australian alternative pop,pop,post-teen pop"
Holy Holy,63897,56,spotify:artist:5KeQyt1QJBjcutJ2AuLNO2,https://api.spotify.com/v1/artists/5KeQyt1QJBjcutJ2AuLNO2,"australian hip hop,australian indie,australian pop"
BENEE,471105,79,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,https://api.spotify.com/v1/artists/0Cp8WN4V8Tu4QJQwCN5Md4,"nz pop,pop"
Tame Impala,4230084,83,spotify:artist:5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,"australian psych,neo-psychedelic"
