name,followers,popularity,uri,link,genres
Split Enz,117816,54,spotify:artist:0Upmz8QvuLAkKAfRlJYWTL,https://api.spotify.com/v1/artists/0Upmz8QvuLAkKAfRlJYWTL,"australian alternative rock,dance rock,kiwi rock,zolo"
The Vapors,28114,46,spotify:artist:4K3NWDwBIxgktui14SccR2,https://api.spotify.com/v1/artists/4K3NWDwBIxgktui14SccR2,"dance rock,mod revival,new wave,new wave pop,power pop,pub rock"
Queen,29366306,90,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,"classic rock,glam rock,rock"
Pink Floyd,13071257,84,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,https://api.spotify.com/v1/artists/0k17h0D3J5VfsdmQ1iZtE9,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock"
Pretenders,850665,69,spotify:artist:0GByy3DcfbQwDvXGCWmzv9,https://api.spotify.com/v1/artists/0GByy3DcfbQwDvXGCWmzv9,"album rock,art rock,classic rock,dance rock,folk,folk rock,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,soft rock"
Village People,316039,64,spotify:artist:0dCKce6tJJdHvlWnDMwzPW,https://api.spotify.com/v1/artists/0dCKce6tJJdHvlWnDMwzPW,"disco,europop"
Player 1,96,13,spotify:artist:6msUfcWG8ncvGbWfDUeHwD,https://api.spotify.com/v1/artists/6msUfcWG8ncvGbWfDUeHwD,
Leo Sayer,286719,62,spotify:artist:04LIHk1SobiQwt2tlupoAV,https://api.spotify.com/v1/artists/04LIHk1SobiQwt2tlupoAV,"adult standards,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock"
Lipps Inc.,58447,61,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,https://api.spotify.com/v1/artists/0lwRI7lvmlRY5DiA5Xa6wQ,"disco,minneapolis sound"
KC & The Sunshine Band,599181,67,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,https://api.spotify.com/v1/artists/3mQBpAOMWYqAZyxtyeo4Lo,"disco,funk,motown,soft rock"
Rocky Burnette,2670,35,spotify:artist:6JGUkLiRAWMNYaHdUCIUvC,https://api.spotify.com/v1/artists/6JGUkLiRAWMNYaHdUCIUvC,
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
The Romantics,222047,60,spotify:artist:3daM7asS0gCFvyLemNx2EE,https://api.spotify.com/v1/artists/3daM7asS0gCFvyLemNx2EE,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,power pop,soft rock,synthpop"
Colleen Hewett,857,14,spotify:artist:5rEdctzMWxizV00szOsWfD,https://api.spotify.com/v1/artists/5rEdctzMWxizV00szOsWfD,
Diana Ross,1147697,72,spotify:artist:3MdG05syQeRYPPcClLaUGl,https://api.spotify.com/v1/artists/3MdG05syQeRYPPcClLaUGl,"adult standards,disco,funk,mellow gold,motown,quiet storm,soft rock,soul"
Dschinghis Khan,42800,55,spotify:artist:1g1nVvle9qO9AWIUWYvPAP,https://api.spotify.com/v1/artists/1g1nVvle9qO9AWIUWYvPAP,"classic schlager,europop,german pop"
Christie Allen,135,11,spotify:artist:2stN3GLgaWUu52wf9hl2Ce,https://api.spotify.com/v1/artists/2stN3GLgaWUu52wf9hl2Ce,
Blondie,812323,73,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,https://api.spotify.com/v1/artists/4tpUmLEVLCGFr93o8hFFIB,"candy pop,dance rock,new wave,new wave pop,permanent wave,power pop,rock"
Kate Bush,650128,68,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,https://api.spotify.com/v1/artists/1aSxMhuvixZ8h9dK9jIDwL,"art pop,art rock,baroque pop,dance rock,new wave pop,permanent wave,piano rock,singer-songwriter"
Barbra Streisand,811556,70,spotify:artist:7jmTilWYlKOuavFfmQAcu6,https://api.spotify.com/v1/artists/7jmTilWYlKOuavFfmQAcu6,"adult standards,mellow gold,soft rock"
