name,followers,popularity,uri,link,genres
Diana Ross,1147697,72,spotify:artist:3MdG05syQeRYPPcClLaUGl,https://api.spotify.com/v1/artists/3MdG05syQeRYPPcClLaUGl,"adult standards,disco,funk,mellow gold,motown,quiet storm,soft rock,soul"
Billy Ocean,589200,67,spotify:artist:5IDs1CK15HegSAhGEbSYXo,https://api.spotify.com/v1/artists/5IDs1CK15HegSAhGEbSYXo,"dance rock,disco,europop,mellow gold,motown,new romantic,new wave pop,soft rock,yacht rock"
Samantha Fox,187424,48,spotify:artist:0ym94xKp2PIOJtTZKpxbAa,https://api.spotify.com/v1/artists/0ym94xKp2PIOJtTZKpxbAa,"europop,freestyle,hi-nrg,italian disco,new wave pop"
Bananarama,443739,61,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,https://api.spotify.com/v1/artists/3sc7iUG1Wwpwx7bHeZolgx,"dance pop,dance rock,disco,europop,girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock"
Wa Wa Nee,6408,23,spotify:artist:5h3WBrCy3VcEj0IGf347dz,https://api.spotify.com/v1/artists/5h3WBrCy3VcEj0IGf347dz,
Berlin,288060,64,spotify:artist:2aS6jYh7ysTL1ZUsHneNgM,https://api.spotify.com/v1/artists/2aS6jYh7ysTL1ZUsHneNgM,"dance rock,new romantic,new wave,new wave pop,soft rock,synthpop"
Cliff Richard,200157,62,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,https://api.spotify.com/v1/artists/2nvKpWcP8etYTq4JrRiUiy,"adult standards,brill building pop,bubblegum pop,classic uk pop,mellow gold,rock-and-roll,rockabilly,soft rock"
The Young Ones,21,11,spotify:artist:4H33gMULrlY7pIWJnwYTpy,https://api.spotify.com/v1/artists/4H33gMULrlY7pIWJnwYTpy,
Hank Marvin,15566,31,spotify:artist:3Bet1o6dTKJG8o4HcrbI37,https://api.spotify.com/v1/artists/3Bet1o6dTKJG8o4HcrbI37,
Feargal Sharkey,12192,47,spotify:artist:3zk5lgbVEre0rKRBqiKt0T,https://api.spotify.com/v1/artists/3zk5lgbVEre0rKRBqiKt0T,new wave pop
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
