name,followers,popularity,uri,link,genres
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Los Lobos,92554,61,spotify:artist:6OWapcJm9xd55ci9CYbAuT,https://api.spotify.com/v1/artists/6OWapcJm9xd55ci9CYbAuT,roots rock
Bob Seger,1092317,71,spotify:artist:485uL27bPomh29R4JmQehQ,https://api.spotify.com/v1/artists/485uL27bPomh29R4JmQehQ,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock"
Dave Dobbyn,44774,53,spotify:artist:5bYfbDXaMVCxEt7hOAvEWc,https://api.spotify.com/v1/artists/5bYfbDXaMVCxEt7hOAvEWc,"kiwi rock,nz singer-songwriter,polynesian pop"
Mel & Kim,56993,43,spotify:artist:4k7b3DWqBnYpobDWbNWLdM,https://api.spotify.com/v1/artists/4k7b3DWqBnYpobDWbNWLdM,new wave pop
Kim Wilde,360993,62,spotify:artist:73a6pNH4YtLNgDbPQwXveo,https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo,"dance rock,europop,new romantic,new wave,new wave pop,soft rock"
The Bangles,760781,67,spotify:artist:51l0uqRxGaczYr4271pVIC,https://api.spotify.com/v1/artists/51l0uqRxGaczYr4271pVIC,"album rock,dance rock,europop,jangle pop,mellow gold,new romantic,new wave,new wave pop,paisley underground,pop rock,rock,soft rock,synthpop"
ICEHOUSE,213376,57,spotify:artist:3IUisqn0mluZR0LITs8Sqk,https://api.spotify.com/v1/artists/3IUisqn0mluZR0LITs8Sqk,"australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,sophisti-pop,synthpop"
Paul Lekakis,1597,30,spotify:artist:5T5nmu5zNxNJHGdWMfcUkx,https://api.spotify.com/v1/artists/5T5nmu5zNxNJHGdWMfcUkx,hi-nrg
Europe,952808,69,spotify:artist:7Js6Lde8thlIHXggv2SCBz,https://api.spotify.com/v1/artists/7Js6Lde8thlIHXggv2SCBz,"album rock,glam metal,hard rock,rock,swedish hard rock"
Whitney Houston,5907066,82,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,"dance pop,pop,urban contemporary"
Starship,563869,69,spotify:artist:0kObWap02DEg9EAJ3PBxzf,https://api.spotify.com/v1/artists/0kObWap02DEg9EAJ3PBxzf,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock"
Angry Anderson,1656,33,spotify:artist:2lyDLsnU3pS26GoJzrppCS,https://api.spotify.com/v1/artists/2lyDLsnU3pS26GoJzrppCS,australian rock
The Party Boys,6159,29,spotify:artist:1s64XtBG170B6uqwJDBGzc,https://api.spotify.com/v1/artists/1s64XtBG170B6uqwJDBGzc,australian rock
Boris Gardiner,9263,40,spotify:artist:2fV23bDf2vC1f49t5j6wtW,https://api.spotify.com/v1/artists/2fV23bDf2vC1f49t5j6wtW,"lovers rock,rock steady"
John Farnham,185577,62,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y,"australian pop,australian rock"
Bon Jovi,8370312,82,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,"glam metal,rock"
ICEHOUSE,213376,57,spotify:artist:3IUisqn0mluZR0LITs8Sqk,https://api.spotify.com/v1/artists/3IUisqn0mluZR0LITs8Sqk,"australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,sophisti-pop,synthpop"
Pseudo Echo,36922,39,spotify:artist:0FDW3axHactZo8HU0OnNVy,https://api.spotify.com/v1/artists/0FDW3axHactZo8HU0OnNVy,"australian rock,dance rock,new romantic,new wave,new wave pop,synthpop"
George Michael,2682981,76,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,"dance rock,new wave pop,soft rock"
Aretha Franklin,2370929,76,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,https://api.spotify.com/v1/artists/7nwUJBm0HE4ZxD3f5cy5ok,"classic soul,jazz blues,memphis soul,soul,southern soul"
Midnight Oil,503139,64,spotify:artist:72KyoXzp0NOQij6OcmZUxk,https://api.spotify.com/v1/artists/72KyoXzp0NOQij6OcmZUxk,"australian rock,dance rock,rock"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Jimmy Barnes,197427,61,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ,"australian pop,australian rock"
The Firm,676,26,spotify:artist:0CdjGDoP2UyhV0pXKeSaPU,https://api.spotify.com/v1/artists/0CdjGDoP2UyhV0pXKeSaPU,
Hoodoo Gurus,110129,54,spotify:artist:7HZQqtnOYmjJl8XAB3Vg8y,https://api.spotify.com/v1/artists/7HZQqtnOYmjJl8XAB3Vg8y,"australian alternative rock,australian rock,power pop"
INXS,1529972,72,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,"australian rock,classic rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
Club Nouveau,98723,44,spotify:artist:4kEAjV4pCBOkoowYYQydvO,https://api.spotify.com/v1/artists/4kEAjV4pCBOkoowYYQydvO,"electro,freestyle,funk,new jack swing,quiet storm"
New Order,1303700,72,spotify:artist:0yNLKJebCb8Aueb54LYya3,https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3,"art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
Debbie Harry,26533,43,spotify:artist:7FxMjqH6DH056sdsstGeVl,https://api.spotify.com/v1/artists/7FxMjqH6DH056sdsstGeVl,new wave pop
James Reyne,64441,52,spotify:artist:4v0Hh2bdIAJnaUqAOipfYs,https://api.spotify.com/v1/artists/4v0Hh2bdIAJnaUqAOipfYs,"australian alternative rock,australian pop,australian rock"
Breakfast Club,4905,35,spotify:artist:4nsuck0htFQjVl6OCKVzRb,https://api.spotify.com/v1/artists/4nsuck0htFQjVl6OCKVzRb,
George Michael,2682981,76,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,"dance rock,new wave pop,soft rock"
Paul Carrack,113754,57,spotify:artist:0FFuvdY7fuiuTmHN9unYoz,https://api.spotify.com/v1/artists/0FFuvdY7fuiuTmHN9unYoz,"adult standards,classic uk pop,mellow gold,neo soul,new wave pop,soft rock"
Billy Idol,1041227,71,spotify:artist:7lzordPuZEXxwt9aoVZYmG,https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG,"album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
The Angels,99374,55,spotify:artist:2PeqTZKroEc2oDwTfmB2al,https://api.spotify.com/v1/artists/2PeqTZKroEc2oDwTfmB2al,australian rock
Rick Astley,614398,69,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,https://api.spotify.com/v1/artists/0gxyHStUsqpMadRV0Di1Qt,"dance rock,europop,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
Heart,1417547,71,spotify:artist:34jw2BbxjoYalTp8cJFCPv,https://api.spotify.com/v1/artists/34jw2BbxjoYalTp8cJFCPv,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,rock,soft rock"
Man 2 Man,1334,29,spotify:artist:5mhyYbgxQFdNMPdDFRm9G4,https://api.spotify.com/v1/artists/5mhyYbgxQFdNMPdDFRm9G4,hi-nrg
World Party,26476,47,spotify:artist:0THUMJMWUd5L8os9K6O4FE,https://api.spotify.com/v1/artists/0THUMJMWUd5L8os9K6O4FE,"art rock,beatlesque,lilith,new wave,new wave pop,pop rock,power pop,roots rock"
Chris Rea,489273,62,spotify:artist:5KEG7G8LDYlHgFDqZyEEs2,https://api.spotify.com/v1/artists/5KEG7G8LDYlHgFDqZyEEs2,"art rock,blues rock,classic rock,classic uk pop,mellow gold,new wave pop,soft rock,sophisti-pop"
The Cockroaches,5061,24,spotify:artist:6Lycpe225dRqZS3abnkNuE,https://api.spotify.com/v1/artists/6Lycpe225dRqZS3abnkNuE,australian rock
Mel & Kim,56993,43,spotify:artist:4k7b3DWqBnYpobDWbNWLdM,https://api.spotify.com/v1/artists/4k7b3DWqBnYpobDWbNWLdM,new wave pop
Robbie Nevil,8001,37,spotify:artist:4NkLjsRsFnuPu9B4zqzBqq,https://api.spotify.com/v1/artists/4NkLjsRsFnuPu9B4zqzBqq,new wave pop
Jimmy Barnes,197427,61,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ,"australian pop,australian rock"
Choirboys,80940,52,spotify:artist:2u6qHMpQaE48aowjWKJeCM,https://api.spotify.com/v1/artists/2u6qHMpQaE48aowjWKJeCM,australian rock
Stacey Q,32020,44,spotify:artist:3q8tRS0hCMVCylgKAoA0ya,https://api.spotify.com/v1/artists/3q8tRS0hCMVCylgKAoA0ya,"freestyle,hi-nrg"
Gino Vannelli,99429,52,spotify:artist:6ltcwvni6HdZAJaWhmIvNR,https://api.spotify.com/v1/artists/6ltcwvni6HdZAJaWhmIvNR,"adult standards,classic canadian rock,mellow gold,soft rock,yacht rock"
Johnny Logan,17751,50,spotify:artist:27rXetqqGSi2spXzggwehc,https://api.spotify.com/v1/artists/27rXetqqGSi2spXzggwehc,dansktop
Chantoozies,5272,25,spotify:artist:27jbY7PPKoVMVzpMBTUsaN,https://api.spotify.com/v1/artists/27jbY7PPKoVMVzpMBTUsaN,australian rock
Pet Shop Boys,1068369,71,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,https://api.spotify.com/v1/artists/2ycnb8Er79LoH2AsR5ldjh,"art pop,dance pop,dance rock,europop,new romantic,new wave,new wave pop,permanent wave,synthpop"
New Order,1303700,72,spotify:artist:0yNLKJebCb8Aueb54LYya3,https://api.spotify.com/v1/artists/0yNLKJebCb8Aueb54LYya3,"art rock,dance rock,madchester,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,synthpop,uk post-punk"
Lou Gramm,63193,47,spotify:artist:7CnmC3gRgLev4I609BrSxj,https://api.spotify.com/v1/artists/7CnmC3gRgLev4I609BrSxj,"album rock,mellow gold,soft rock"
Terence Trent D'Arby,404687,57,spotify:artist:1JpHKf8Ztyd8HXU8p6m9cc,https://api.spotify.com/v1/artists/1JpHKf8Ztyd8HXU8p6m9cc,"dance rock,new romantic,new wave,new wave pop"
Crowded House,526242,69,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,https://api.spotify.com/v1/artists/7ohlPA8dRBtCf92zaZCaaB,"australian rock,dance rock,mellow gold,permanent wave,pop rock,rock"
Peter Gabriel,1033660,69,spotify:artist:7C4sUpWGlTy7IANjruj02I,https://api.spotify.com/v1/artists/7C4sUpWGlTy7IANjruj02I,"album rock,art pop,art rock,classic rock,dance rock,mellow gold,permanent wave,rock,soft rock"
Wang Chung,180874,57,spotify:artist:6Zh3xrWlA0SA9Fsfj9AVwm,https://api.spotify.com/v1/artists/6Zh3xrWlA0SA9Fsfj9AVwm,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Swing Out Sister,93106,51,spotify:artist:4phr5rAgWhcZtWJu8w8lKv,https://api.spotify.com/v1/artists/4phr5rAgWhcZtWJu8w8lKv,"new romantic,new wave pop,sophisti-pop"
Billy Vera & The Beaters,2898,35,spotify:artist:1QQBo7mfkehMjDfz1tj5Pq,https://api.spotify.com/v1/artists/1QQBo7mfkehMjDfz1tj5Pq,
Noiseworks,97308,50,spotify:artist:3IJFGnsUboabVEbJz1UR91,https://api.spotify.com/v1/artists/3IJFGnsUboabVEbJz1UR91,"australian pop,australian rock"
John Farnham,185577,62,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y,"australian pop,australian rock"
Pretenders,850665,69,spotify:artist:0GByy3DcfbQwDvXGCWmzv9,https://api.spotify.com/v1/artists/0GByy3DcfbQwDvXGCWmzv9,"album rock,art rock,classic rock,dance rock,folk,folk rock,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,soft rock"
Iggy Pop,1053236,68,spotify:artist:33EUXrFKGjpUSGacqEHhU4,https://api.spotify.com/v1/artists/33EUXrFKGjpUSGacqEHhU4,"alternative rock,classic rock,dance rock,glam rock,new wave,permanent wave,post-punk,protopunk,punk,rock"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Bob Seger,1092317,71,spotify:artist:485uL27bPomh29R4JmQehQ,https://api.spotify.com/v1/artists/485uL27bPomh29R4JmQehQ,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,rock,soft rock"
Wang Chung,180874,57,spotify:artist:6Zh3xrWlA0SA9Fsfj9AVwm,https://api.spotify.com/v1/artists/6Zh3xrWlA0SA9Fsfj9AVwm,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Jenny Morris,23231,40,spotify:artist:604iqbiglyTgxMeKkvlBGc,https://api.spotify.com/v1/artists/604iqbiglyTgxMeKkvlBGc,classic nz pop
James Reyne,64441,52,spotify:artist:4v0Hh2bdIAJnaUqAOipfYs,https://api.spotify.com/v1/artists/4v0Hh2bdIAJnaUqAOipfYs,"australian alternative rock,australian pop,australian rock"
Chris de Burgh,271124,65,spotify:artist:2RpHsROrX075xfIwHn6B2U,https://api.spotify.com/v1/artists/2RpHsROrX075xfIwHn6B2U,"classic uk pop,mellow gold,new wave pop,soft rock"
