name,followers,popularity,uri,link,genres
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Usher,8101799,84,spotify:artist:23zg3TcAtWQy7J6upgbUnj,https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary"
will.i.am,3138194,77,spotify:artist:085pc2PYOi8bGKj0PNjekA,https://api.spotify.com/v1/artists/085pc2PYOi8bGKj0PNjekA,"dance pop,pop,pop rap,post-teen pop"
Taio Cruz,1823905,74,spotify:artist:6MF9fzBmfXghAz953czmBC,https://api.spotify.com/v1/artists/6MF9fzBmfXghAz953czmBC,"dance pop,edm,pop,pop rap"
Train,3446063,78,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,https://api.spotify.com/v1/artists/3FUY2gzHeIiaesXtOAdB7A,"dance pop,neo mellow,pop,pop rock"
Katy Perry,16447906,88,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,"dance pop,pop,post-teen pop"
Snoop Dogg,6245338,86,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG,"g funk,gangster rap,hip hop,rap,west coast rap"
Owl City,1981946,74,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,https://api.spotify.com/v1/artists/07QEuhtrNmmZ0zEcqE9SF6,"indietronica,modern rock,pop,pop rock,post-teen pop"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Bruno Mars,27072330,89,spotify:artist:0du5cEVh5yTK9QJze8zA0C,https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C,"dance pop,pop"
Katy Perry,16447906,88,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,"dance pop,pop,post-teen pop"
Usher,8101799,84,spotify:artist:23zg3TcAtWQy7J6upgbUnj,https://api.spotify.com/v1/artists/23zg3TcAtWQy7J6upgbUnj,"atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary"
Pitbull,7965619,86,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,"dance pop,latin,miami hip hop,pop,pop rap"
B.o.B,1782361,77,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,https://api.spotify.com/v1/artists/5ndkK3dpZLKtBklKjxNQwT,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop"
Hayley Williams,280283,70,spotify:artist:6Rx1JKzBrSzoKQtmbVmBnM,https://api.spotify.com/v1/artists/6Rx1JKzBrSzoKQtmbVmBnM,art pop
