name,followers,popularity,uri,link,genres
The Chainsmokers,16838215,86,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,"dance pop,edm,electropop,pop,tropical house"
Halsey,12410768,91,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
Drake,50161321,100,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
WizKid,460453,78,spotify:artist:3tVQdUvClmAT7URs9V3rsp,https://api.spotify.com/v1/artists/3tVQdUvClmAT7URs9V3rsp,"afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop"
Kyla,7339,69,spotify:artist:77DAFfvm3O9zT5dIoG0eIO,https://api.spotify.com/v1/artists/77DAFfvm3O9zT5dIoG0eIO,uk funky
Lukas Graham,1725142,78,spotify:artist:25u4wHJWxCA9vO0CzxAbK7,https://api.spotify.com/v1/artists/25u4wHJWxCA9vO0CzxAbK7,"danish pop,pop,scandipop"
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
kai,19569,64,spotify:artist:6xHUXzrfhFgnIv86EBR3Ml,https://api.spotify.com/v1/artists/6xHUXzrfhFgnIv86EBR3Ml,
The Chainsmokers,16838215,86,spotify:artist:69GGBxA162lTqCwzJG5jLp,https://api.spotify.com/v1/artists/69GGBxA162lTqCwzJG5jLp,"dance pop,edm,electropop,pop,tropical house"
Daya,1144583,76,spotify:artist:6Dd3NScHWwnW6obMFbl1BH,https://api.spotify.com/v1/artists/6Dd3NScHWwnW6obMFbl1BH,"dance pop,electropop,indie poptimism,pop,post-teen pop,tropical house"
Calvin Harris,20730525,89,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Justin Timberlake,9769805,83,spotify:artist:31TPClRtHm23RisEBtV3X7,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,"dance pop,pop"
Sia,17564168,89,spotify:artist:5WUlDfRSoLAfcVSX1WnrxN,https://api.spotify.com/v1/artists/5WUlDfRSoLAfcVSX1WnrxN,"australian dance,australian pop,dance pop,pop"
Twenty One Pilots,18509592,86,spotify:artist:3YQKmKGau1PzlVlkL1iodx,https://api.spotify.com/v1/artists/3YQKmKGau1PzlVlkL1iodx,"modern rock,rock"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
Major Lazer,6078466,83,spotify:artist:738wLrAtLtCtFOLvQBXOXp,https://api.spotify.com/v1/artists/738wLrAtLtCtFOLvQBXOXp,"dance pop,edm,electro house,moombahton,pop,pop rap"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
MØ,1279000,75,spotify:artist:0bdfiayQAKewqEvaU6rXCv,https://api.spotify.com/v1/artists/0bdfiayQAKewqEvaU6rXCv,"dance pop,danish pop,electropop,indie pop,indie poptimism,pop"
Jonas Blue,2949133,81,spotify:artist:1HBjj22wzbscIZ9sEb5dyf,https://api.spotify.com/v1/artists/1HBjj22wzbscIZ9sEb5dyf,"dance pop,edm,pop,tropical house,uk dance"
Dakota,7629,64,spotify:artist:2zzpznMuhKlKlqh1ma7Sms,https://api.spotify.com/v1/artists/2zzpznMuhKlKlqh1ma7Sms,
gnash,1510580,75,spotify:artist:3iri9nBFs9e4wN7PLIetAw,https://api.spotify.com/v1/artists/3iri9nBFs9e4wN7PLIetAw,"pop,sad rap,social media pop"
Olivia O'Brien,1199517,78,spotify:artist:1QRj3hoop9Mv5VvHQkwPEp,https://api.spotify.com/v1/artists/1QRj3hoop9Mv5VvHQkwPEp,"pop,post-teen pop"
Charlie Puth,11554345,84,spotify:artist:6VuMaDnrHyPL1p4EHjYLi7,https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7,"dance pop,pop,post-teen pop,viral pop"
Fifth Harmony,11470615,76,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,https://api.spotify.com/v1/artists/1l8Fu6IkuTP0U5QetQJ5Xt,"dance pop,girl group,pop,post-teen pop,talent show"
Ty Dolla $ign,3490358,89,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,https://api.spotify.com/v1/artists/7c0XG5cIJTrrAgEC3ULPiq,"hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul"
Mike Posner,1046387,74,spotify:artist:2KsP6tYLJlTBvSUxnwlVWa,https://api.spotify.com/v1/artists/2KsP6tYLJlTBvSUxnwlVWa,"dance pop,edm,pop,pop rap"
Seeb,169787,76,spotify:artist:5iNrZmtVMtYev5M9yoWpEq,https://api.spotify.com/v1/artists/5iNrZmtVMtYev5M9yoWpEq,"dance pop,edm,electro house,norwegian pop,pop,pop edm,swedish pop,tropical house"
