name,followers,popularity,uri,link,genres
Alvin Stardust,21622,37,spotify:artist:2yoCXbhsq5CqLCnzDR7a7l,https://api.spotify.com/v1/artists/2yoCXbhsq5CqLCnzDR7a7l,"classic uk pop,glam rock,pub rock"
Paper Lace,21881,42,spotify:artist:33W24YuaMUEk85MwRX6cRs,https://api.spotify.com/v1/artists/33W24YuaMUEk85MwRX6cRs,"bubblegum pop,classic uk pop"
Stevie Wright,33056,45,spotify:artist:4tyua0wKtVDZVBVlRwyBRl,https://api.spotify.com/v1/artists/4tyua0wKtVDZVBVlRwyBRl,australian rock
Paper Lace,21881,42,spotify:artist:33W24YuaMUEk85MwRX6cRs,https://api.spotify.com/v1/artists/33W24YuaMUEk85MwRX6cRs,"bubblegum pop,classic uk pop"
Terry Jacks,18170,50,spotify:artist:09dDdtfi4mWLdC2BHOrIrl,https://api.spotify.com/v1/artists/09dDdtfi4mWLdC2BHOrIrl,classic uk pop
Grahame Bond,99,3,spotify:artist:5RbZTXmqcxoaORHCcaaoED,https://api.spotify.com/v1/artists/5RbZTXmqcxoaORHCcaaoED,
William Shakespeare,6325,35,spotify:artist:0xZ9fVp0OnYjYPeX9Z3c8x,https://api.spotify.com/v1/artists/0xZ9fVp0OnYjYPeX9Z3c8x,"german literature,reading"
Helen Reddy,159584,57,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,https://api.spotify.com/v1/artists/0Sq7oGrYEe0BDmb13wgjOO,"adult standards,brill building pop,bubblegum pop,classic uk pop,folk,mellow gold,soft rock"
Sweet,264106,64,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,https://api.spotify.com/v1/artists/3JaAGmSTpJK35DqWrDUzBz,"album rock,blues rock,classic rock,classic uk pop,glam rock,hard rock,rock"
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
Marvin Hamlisch,4591,40,spotify:artist:1VN38ZSdtQnHLa8PfTTKZD,https://api.spotify.com/v1/artists/1VN38ZSdtQnHLa8PfTTKZD,"broadway,classic soundtrack"
Suzi Quatro,214002,58,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,https://api.spotify.com/v1/artists/15jHZ1EZwmm2QDjKctvqJQ,"classic uk pop,glam rock"
Ross Ryan,1822,19,spotify:artist:7GsCDfOEwHCSQJmUsQC5Tm,https://api.spotify.com/v1/artists/7GsCDfOEwHCSQJmUsQC5Tm,
Paul Anka,393004,68,spotify:artist:7ceUfdWq2t5nbatS6ollHh,https://api.spotify.com/v1/artists/7ceUfdWq2t5nbatS6ollHh,"adult standards,brill building pop,canadian pop,easy listening,lounge,rock-and-roll"
Odia Coates,390,45,spotify:artist:3UgUTRbDBLMcRCantpTWIe,https://api.spotify.com/v1/artists/3UgUTRbDBLMcRCantpTWIe,
David Bowie,6032982,82,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,"album rock,art rock,classic rock,dance rock,glam rock,permanent wave,rock"
Ray Stevens,46955,48,spotify:artist:7MpUvihmfilIxyN20kXwQj,https://api.spotify.com/v1/artists/7MpUvihmfilIxyN20kXwQj,"bubblegum pop,comic,novelty"
Gary Glitter,26047,57,spotify:artist:61zv3hX7l838ZyhaDyAx8S,https://api.spotify.com/v1/artists/61zv3hX7l838ZyhaDyAx8S,
George McCrae,79775,55,spotify:artist:6oV3BNm1Gj2GGgpYknc5TN,https://api.spotify.com/v1/artists/6oV3BNm1Gj2GGgpYknc5TN,"disco,motown"
The Rubettes,56892,47,spotify:artist:44ef9VXkdKxbx4XpoNqH39,https://api.spotify.com/v1/artists/44ef9VXkdKxbx4XpoNqH39,"bubblegum pop,classic uk pop,glam rock"
Carl Douglas,19536,56,spotify:artist:5Pqx4mXYDGIDcg8E5FYjZ8,https://api.spotify.com/v1/artists/5Pqx4mXYDGIDcg8E5FYjZ8,disco
Suzi Quatro,214002,58,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,https://api.spotify.com/v1/artists/15jHZ1EZwmm2QDjKctvqJQ,"classic uk pop,glam rock"
Ringo Starr,575022,55,spotify:artist:6DbJi8AcN5ANdtvJcwBSw8,https://api.spotify.com/v1/artists/6DbJi8AcN5ANdtvJcwBSw8,"album rock,beatlesque,bubblegum pop,classic rock,country rock,folk rock,mellow gold,rock,rock drums,soft rock"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
The Hollies,720057,66,spotify:artist:6waa8mKu91GjzD4NlONlNJ,https://api.spotify.com/v1/artists/6waa8mKu91GjzD4NlONlNJ,"album rock,art rock,brill building pop,british invasion,bubblegum pop,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,merseybeat,psychedelic rock,rock,rock-and-roll,soft rock"
The Stylistics,488992,58,spotify:artist:2O0Hw1WSMbskB5tD9aWah3,https://api.spotify.com/v1/artists/2O0Hw1WSMbskB5tD9aWah3,"adult standards,classic soul,disco,funk,motown,philly soul,quiet storm,soul"
Blue Swede,73185,64,spotify:artist:0UpuH5U4nZ3UGGUJi0Zfbp,https://api.spotify.com/v1/artists/0UpuH5U4nZ3UGGUJi0Zfbp,classic swedish pop
Björn Skifs,67705,65,spotify:artist:1Ek3VdZ8EPmcvgRIqnHlrF,https://api.spotify.com/v1/artists/1Ek3VdZ8EPmcvgRIqnHlrF,"classic swedish pop,europop,swedish pop"
Glen Campbell,258434,65,spotify:artist:59hLmB5DrdihCYtNeFeW1U,https://api.spotify.com/v1/artists/59hLmB5DrdihCYtNeFeW1U,"adult standards,arkansas country,brill building pop,classic country pop,folk,folk rock,lounge,mellow gold,nashville sound,soft rock"
Lieutenant Pigeon,2596,28,spotify:artist:6PjhWre0MnI0Ww95vATRhK,https://api.spotify.com/v1/artists/6PjhWre0MnI0Ww95vATRhK,"classic uk pop,novelty"
Judy Stone,1280,12,spotify:artist:2mHjbkUsmvclGtpjr5t00u,https://api.spotify.com/v1/artists/2mHjbkUsmvclGtpjr5t00u,
Suzi Quatro,214002,58,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,https://api.spotify.com/v1/artists/15jHZ1EZwmm2QDjKctvqJQ,"classic uk pop,glam rock"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Gordon Lightfoot,429144,63,spotify:artist:23rleGXVOVVgTk3xgtmfE4,https://api.spotify.com/v1/artists/23rleGXVOVVgTk3xgtmfE4,"album rock,canadian country,canadian singer-songwriter,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Barbra Streisand,811556,70,spotify:artist:7jmTilWYlKOuavFfmQAcu6,https://api.spotify.com/v1/artists/7jmTilWYlKOuavFfmQAcu6,"adult standards,mellow gold,soft rock"
Perry Como,274962,63,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,https://api.spotify.com/v1/artists/5v8jlSmAQfrkTjAlpUfWtu,"adult standards,brill building pop,easy listening,lounge,vocal jazz"
The New Seekers,29389,43,spotify:artist:4jrTNltJtTMUfXybDdsHDn,https://api.spotify.com/v1/artists/4jrTNltJtTMUfXybDdsHDn,"bubblegum pop,classic uk pop,merseybeat"
Vicki Lawrence,2077,30,spotify:artist:3PNGsgUFOuNvwagyBCo2Rg,https://api.spotify.com/v1/artists/3PNGsgUFOuNvwagyBCo2Rg,
The Drifters,306895,64,spotify:artist:1FqqOl9itIUpXr4jZPIVoT,https://api.spotify.com/v1/artists/1FqqOl9itIUpXr4jZPIVoT,"adult standards,brill building pop,bubblegum pop,folk rock,motown,rock-and-roll,rockabilly,soul"
David Essex,46024,43,spotify:artist:46n0cAhBmsRJZiX6GSFmbf,https://api.spotify.com/v1/artists/46n0cAhBmsRJZiX6GSFmbf,"bubblegum pop,classic uk pop,glam rock"
Daryl Braithwaite,105425,60,spotify:artist:4t52ndk0OkAxtb4vMDLPhe,https://api.spotify.com/v1/artists/4t52ndk0OkAxtb4vMDLPhe,"australian pop,australian rock"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Hot Chocolate,167548,62,spotify:artist:72VzFto8DYvKHocaHYNWSi,https://api.spotify.com/v1/artists/72VzFto8DYvKHocaHYNWSi,"classic uk pop,disco,mellow gold,motown,new wave pop,soft rock"
Mickey Gilley,109172,48,spotify:artist:5kFY4Bv5VRSBsM6CUYBoTC,https://api.spotify.com/v1/artists/5kFY4Bv5VRSBsM6CUYBoTC,"classic country pop,country,country rock,nashville sound"
