name,followers,popularity,uri,link,genres
Anthony Callea,17616,35,spotify:artist:4ajzEXRIqw9kvEQQR4femH,https://api.spotify.com/v1/artists/4ajzEXRIqw9kvEQQR4femH,"australian pop,australian talent show"
The Pussycat Dolls,3820265,74,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,"dance pop,girl group,pop,pop rap,post-teen pop,urban contemporary"
Busta Rhymes,1587724,76,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK,https://api.spotify.com/v1/artists/1YfEcTuGvBQ8xSD1f53UnK,"east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap"
Akon,2479604,83,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV,dance pop
Crazy Frog,199916,60,spotify:artist:4J3wzDMI97AlGimdiVcaLb,https://api.spotify.com/v1/artists/4J3wzDMI97AlGimdiVcaLb,eurodance
Nelly,1612720,79,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw,"dance pop,hip hop,pop,pop rap,rap,southern hip hop,st louis rap,urban contemporary"
Tim McGraw,3328557,77,spotify:artist:6roFdX1y5BYSbp60OTJWMd,https://api.spotify.com/v1/artists/6roFdX1y5BYSbp60OTJWMd,"contemporary country,country,country road"
Will Smith,714535,73,spotify:artist:41qil2VaGbD194gaEcmmyx,https://api.spotify.com/v1/artists/41qil2VaGbD194gaEcmmyx,hip hop
Mario,1990736,71,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,https://api.spotify.com/v1/artists/20s0P9QLxGqKuCsGwFsp7w,"dance pop,hip pop,pop,pop r&b,r&b,rap,urban contemporary"
Nitty,1104,32,spotify:artist:0kEcxP5ezzvP5RcO51TCBD,https://api.spotify.com/v1/artists/0kEcxP5ezzvP5RcO51TCBD,bronx hip hop
Gorillaz,6011490,83,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,https://api.spotify.com/v1/artists/3AA28KZvwAUcZuOKwyblJQ,"alternative hip hop,art pop"
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
James Blunt,2272818,77,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,https://api.spotify.com/v1/artists/7KMqksf0UMdyA0UCf4R3ux,"neo mellow,pop,pop rock"
