name,followers,popularity,uri,link,genres
Racey,23412,42,spotify:artist:1W4SfNO5hb1tdX0wQ87zxl,https://api.spotify.com/v1/artists/1W4SfNO5hb1tdX0wQ87zxl,"classic uk pop,glam rock"
KISS,5097276,76,spotify:artist:07XSN3sPlIlB2L2XNcTwJw,https://api.spotify.com/v1/artists/07XSN3sPlIlB2L2XNcTwJw,"album rock,classic rock,glam rock,hard rock,metal,rock"
Blondie,812323,73,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,https://api.spotify.com/v1/artists/4tpUmLEVLCGFr93o8hFFIB,"candy pop,dance rock,new wave,new wave pop,permanent wave,power pop,rock"
Racey,23412,42,spotify:artist:1W4SfNO5hb1tdX0wQ87zxl,https://api.spotify.com/v1/artists/1W4SfNO5hb1tdX0wQ87zxl,"classic uk pop,glam rock"
Patrick Hernandez,18754,55,spotify:artist:1CcEgi464SWZsKY5579u7z,https://api.spotify.com/v1/artists/1CcEgi464SWZsKY5579u7z,"disco,hi-nrg"
The Boomtown Rats,96885,53,spotify:artist:40oYPr305MsT2lsiXr9fX9,https://api.spotify.com/v1/artists/40oYPr305MsT2lsiXr9fX9,"classic uk pop,dance rock,new romantic,new wave,new wave pop,pub rock,punk,ska,synthpop"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
CHIC,446886,65,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,https://api.spotify.com/v1/artists/0Xf8oDAJYd2D0k3NLI19OV,"disco,disco house,funk,motown,post-disco,quiet storm,soul"
Amii Stewart,42920,51,spotify:artist:7GPNaPWw3STF8NYp39pd8G,https://api.spotify.com/v1/artists/7GPNaPWw3STF8NYp39pd8G,"disco,hi-nrg"
M,2388,40,spotify:artist:4ZYjW9vY2BTk1er3xomkwI,https://api.spotify.com/v1/artists/4ZYjW9vY2BTk1er3xomkwI,synthpop
