name,followers,popularity,uri,link,genres
Los Del Rio,31321,59,spotify:artist:2JXn03fudjyRkQ1Ye9f5rk,https://api.spotify.com/v1/artists/2JXn03fudjyRkQ1Ye9f5rk,
Fugees,823826,71,spotify:artist:2WKdxPFRD7IqZvlIAvhMgY,https://api.spotify.com/v1/artists/2WKdxPFRD7IqZvlIAvhMgY,"east coast hip hop,gangster rap,hip hop,new jersey rap,rap"
Céline Dion,4169010,79,spotify:artist:4S9EykWXhStSc15wEx8QFK,https://api.spotify.com/v1/artists/4S9EykWXhStSc15wEx8QFK,"canadian pop,dance pop"
OMC,14893,55,spotify:artist:4vdt8TD56jjQfmxFCmhubX,https://api.spotify.com/v1/artists/4vdt8TD56jjQfmxFCmhubX,nz pop
Spice Girls,1945666,72,spotify:artist:0uq5PttqEjj3IH1bzwcrXF,https://api.spotify.com/v1/artists/0uq5PttqEjj3IH1bzwcrXF,"dance pop,europop,girl group,pop,pop rock"
Joan Osborne,121962,57,spotify:artist:0djV4iaxhNfYWpH60ia85o,https://api.spotify.com/v1/artists/0djV4iaxhNfYWpH60ia85o,"folk,lilith,new wave pop,pop rock,singer-songwriter"
Everything But The Girl,202173,62,spotify:artist:13ccXrK7AmXb4TddMkE7jy,https://api.spotify.com/v1/artists/13ccXrK7AmXb4TddMkE7jy,"dance rock,electronica,lilith,new wave pop,pop rock,sophisti-pop,trip hop"
Todd Terry,42693,59,spotify:artist:3dE92yGWcrboP1kC5SWyqu,https://api.spotify.com/v1/artists/3dE92yGWcrboP1kC5SWyqu,"chicago house,deep groove house,deep house,disco house,diva house,funky tech house,garage house,hip house,house,tech house,tribal house,vocal house"
Mark Morrison,48990,63,spotify:artist:6V3F8MZrOKdT9fU686ybE9,https://api.spotify.com/v1/artists/6V3F8MZrOKdT9fU686ybE9,"british soul,new jack swing"
Warren G,1327550,69,spotify:artist:2B4ZHz4QDWJTXPFPgO5peE,https://api.spotify.com/v1/artists/2B4ZHz4QDWJTXPFPgO5peE,"g funk,gangster rap,hardcore hip hop,hip hop,rap,west coast rap"
Adina Howard,232393,52,spotify:artist:266SmBZTt4zRzaKEANWbfQ,https://api.spotify.com/v1/artists/266SmBZTt4zRzaKEANWbfQ,"hip pop,neo soul,new jack swing,r&b,urban contemporary"
Toni Braxton,2321310,69,spotify:artist:3X458ddYA2YcVWuVIGGOYe,https://api.spotify.com/v1/artists/3X458ddYA2YcVWuVIGGOYe,"dance pop,hip pop,neo soul,new jack swing,pop,quiet storm,r&b,urban contemporary"
Triple X,22,15,spotify:artist:3lns6yFKCjlELCxlzWNpmz,https://api.spotify.com/v1/artists/3lns6yFKCjlELCxlzWNpmz,
Nick Skitz,10942,45,spotify:artist:0b56YzqAu22jh2CDUYvbbx,https://api.spotify.com/v1/artists/0b56YzqAu22jh2CDUYvbbx,hands up
Savage Garden,750674,69,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,"australian pop,boy band,dance pop,europop,pop rock"
Donna Lewis,43364,58,spotify:artist:2EfG2EoT8GFJrMiilbTVl2,https://api.spotify.com/v1/artists/2EfG2EoT8GFJrMiilbTVl2,"new wave pop,pop rock"
Los Del Mar,825,33,spotify:artist:3W9geOv9EsI71zPr8b78BW,https://api.spotify.com/v1/artists/3W9geOv9EsI71zPr8b78BW,
Wil Veloz,11,16,spotify:artist:5unKMTkFXL1KYbAvWNEyAW,https://api.spotify.com/v1/artists/5unKMTkFXL1KYbAvWNEyAW,
Tracy Chapman,1057522,74,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,https://api.spotify.com/v1/artists/7oPgCQqMMXEXrNau5vxYZP,"folk,lilith,pop rock,singer-songwriter,women's music"
Shaggy,1415439,77,spotify:artist:5EvFsr3kj42KNv97ZEnqij,https://api.spotify.com/v1/artists/5EvFsr3kj42KNv97ZEnqij,"dance pop,reggae fusion"
Max-A-Million,565,33,spotify:artist:5QpTf4jao06WPoX4HKl5x6,https://api.spotify.com/v1/artists/5QpTf4jao06WPoX4HKl5x6,
La Bouche,149262,63,spotify:artist:488v7rQzthLNK22r0UvMie,https://api.spotify.com/v1/artists/488v7rQzthLNK22r0UvMie,"bubblegum dance,diva house,eurodance,europop,german techno,hip house"
