name,followers,popularity,uri,link,genres
Coolio,406070,70,spotify:artist:3y24n3XhZ96wgwRXjvS17T,https://api.spotify.com/v1/artists/3y24n3XhZ96wgwRXjvS17T,"g funk,gangster rap,hip hop,rap,west coast rap"
L.V.,4022,69,spotify:artist:2LhsePRtgCo4THVKULQBL7,https://api.spotify.com/v1/artists/2LhsePRtgCo4THVKULQBL7,
N-Trance,31978,53,spotify:artist:45InkbGypoMk5nVX6dsHkt,https://api.spotify.com/v1/artists/45InkbGypoMk5nVX6dsHkt,"eurodance,europop,hip house"
Ricardo Da Force,60,37,spotify:artist:7oofaqs3ZPfzIuamtI4cSw,https://api.spotify.com/v1/artists/7oofaqs3ZPfzIuamtI4cSw,
Seal,1150783,68,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,https://api.spotify.com/v1/artists/5GtMEZEeFFsuHY8ad4kOxv,"british soul,soft rock"
Merril Bainbridge,2747,35,spotify:artist:0lSDlT2Z5EvUGNIl7WQ7k0,https://api.spotify.com/v1/artists/0lSDlT2Z5EvUGNIl7WQ7k0,
Real McCoy,80318,55,spotify:artist:2vRfKzjQYJQd67X8x49MOh,https://api.spotify.com/v1/artists/2vRfKzjQYJQd67X8x49MOh,"bubblegum dance,diva house,eurodance,europop,german techno,hip house"
Bryan Adams,1807032,79,spotify:artist:3Z02hBLubJxuFJfhacLSDc,https://api.spotify.com/v1/artists/3Z02hBLubJxuFJfhacLSDc,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,pop rock,rock,soft rock"
The Cranberries,2203009,76,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,https://api.spotify.com/v1/artists/7t0rwkOPGlDPEhaOcVtOt9,"irish rock,pop rock"
CDB,2960,35,spotify:artist:7EUjDdRgLHcgFIL4sfhvFo,https://api.spotify.com/v1/artists/7EUjDdRgLHcgFIL4sfhvFo,
Take That,907382,69,spotify:artist:1XgFuvRd7r5g0h844A5ZUQ,https://api.spotify.com/v1/artists/1XgFuvRd7r5g0h844A5ZUQ,"boy band,dance pop,europop,pop"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Céline Dion,4169010,79,spotify:artist:4S9EykWXhStSc15wEx8QFK,https://api.spotify.com/v1/artists/4S9EykWXhStSc15wEx8QFK,"canadian pop,dance pop"
Jann Arden,42724,54,spotify:artist:1aftUCES5zD5xXI7O9ZF9F,https://api.spotify.com/v1/artists/1aftUCES5zD5xXI7O9ZF9F,"lilith,pop rock"
Hocus Pocus,1021,31,spotify:artist:29fxfZwsxiImnDJvin5joY,https://api.spotify.com/v1/artists/29fxfZwsxiImnDJvin5joY,
TLC,2319312,72,spotify:artist:0TImkz4nPqjegtVSMZnMRq,https://api.spotify.com/v1/artists/0TImkz4nPqjegtVSMZnMRq,"atl hip hop,dance pop,girl group,hip hop,hip pop,new jack swing,pop,pop rap,r&b,urban contemporary"
Nicki French,6176,40,spotify:artist:1RfiRshRC2YlSG4Y1zNkAE,https://api.spotify.com/v1/artists/1RfiRshRC2YlSG4Y1zNkAE,"eurodance,hip house"
Mariah Carey,5968746,82,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,"dance pop,pop,r&b,urban contemporary"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Alanis Morissette,1734896,73,spotify:artist:6ogn9necmbUdCppmNnGOdi,https://api.spotify.com/v1/artists/6ogn9necmbUdCppmNnGOdi,"alternative rock,canadian pop,canadian singer-songwriter,lilith,pop rock,singer-songwriter"
4 P.M.,2987,30,spotify:artist:5t5SLR66rZDxwuVHTSATOt,https://api.spotify.com/v1/artists/5t5SLR66rZDxwuVHTSATOt,
Ini Kamoze,81919,59,spotify:artist:1VJspRsoC6c0bvqhnSiFCs,https://api.spotify.com/v1/artists/1VJspRsoC6c0bvqhnSiFCs,"dub,reggae,reggae fusion,roots reggae"
Salaam Remi,17033,66,spotify:artist:0rlS0SzVFk8BoiAW0fGBbN,https://api.spotify.com/v1/artists/0rlS0SzVFk8BoiAW0fGBbN,hip hop
Peter Andre,48530,53,spotify:artist:4zVfvSWs6FvSD6B5lQGs2S,https://api.spotify.com/v1/artists/4zVfvSWs6FvSD6B5lQGs2S,"bubblegum dance,europop"
Merril Bainbridge,2747,35,spotify:artist:0lSDlT2Z5EvUGNIl7WQ7k0,https://api.spotify.com/v1/artists/0lSDlT2Z5EvUGNIl7WQ7k0,
Diana King,33765,52,spotify:artist:221iMiF62DFPnVuCLJakP1,https://api.spotify.com/v1/artists/221iMiF62DFPnVuCLJakP1,reggae fusion
Sheryl Crow,692289,70,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,https://api.spotify.com/v1/artists/4TKTii6gnOnUXQHyuo9JaD,"folk,lilith,mellow gold,neo mellow,new wave pop,permanent wave,pop rock,rock"
JX,708,39,spotify:artist:0kjCW6i4ba1M9ou8OhgbV0,https://api.spotify.com/v1/artists/0kjCW6i4ba1M9ou8OhgbV0,
East 17,68586,52,spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY,https://api.spotify.com/v1/artists/6lOC7lwSO1ql4Gc2Y3QObY,"boy band,dance pop,eurodance,europop,hip house"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
FCB,32,5,spotify:artist:0asnr0CjROksChPukwCLKQ,https://api.spotify.com/v1/artists/0asnr0CjROksChPukwCLKQ,
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
