name,followers,popularity,uri,link,genres
Bruce Springsteen,3484067,80,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,https://api.spotify.com/v1/artists/3eqjTLE0HfPfh78zjh6TqT,"classic rock,heartland rock,mellow gold,permanent wave,rock,singer-songwriter"
The 12th Man,8737,35,spotify:artist:0IDBBKhe33nSK0gnDq0I1J,https://api.spotify.com/v1/artists/0IDBBKhe33nSK0gnDq0I1J,"australian comedy,australian rock"
Ray Parker Jr.,42699,61,spotify:artist:0NyzfcGDZZ6GM25EBG9BYK,https://api.spotify.com/v1/artists/0NyzfcGDZZ6GM25EBG9BYK,"disco,funk,post-disco,quiet storm"
George Michael,2682981,76,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,"dance rock,new wave pop,soft rock"
Wham!,1345374,72,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,"dance pop,dance rock,disco,europop,new romantic,new wave,new wave pop,soft rock,synthpop"
Stevie Wonder,4542955,80,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,https://api.spotify.com/v1/artists/7guDJrEfX3qb6FEbdPA5qi,"funk,motown,quiet storm,soul"
Kenny Loggins,601852,71,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,https://api.spotify.com/v1/artists/3Y3xIwWyq5wnNHPp5gPjOW,"album rock,mellow gold,new wave pop,rock,soft rock,yacht rock"
Lionel Richie,1837105,75,spotify:artist:3gMaNLQm7D9MornNILzdSl,https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl,"adult standards,disco,mellow gold,motown,quiet storm,soft rock"
Cyndi Lauper,1403734,74,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY,"dance pop,dance rock,europop,mellow gold,new wave pop,permanent wave,pop rock,soft rock"
Dolly Parton,1209835,77,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,https://api.spotify.com/v1/artists/32vWCbZh0xZ4o9gkz4PsEU,"classic country pop,country,country dawn"
Kenny Rogers,1358925,73,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,https://api.spotify.com/v1/artists/4tw2Lmn9tTPUv7Gy7mVPI4,"adult standards,classic country pop,country,mellow gold,nashville sound,soft rock"
Pat Benatar,948542,66,spotify:artist:43mhFhQ4JAknA7Ik1bOZuV,https://api.spotify.com/v1/artists/43mhFhQ4JAknA7Ik1bOZuV,"album rock,classic rock,dance rock,mellow gold,new wave pop,pop rock,rock,soft rock"
INXS,1529972,72,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,"australian rock,classic rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
Mondo Rock,67372,48,spotify:artist:0f7ChwXkRvmj2ViLbEQwYK,https://api.spotify.com/v1/artists/0f7ChwXkRvmj2ViLbEQwYK,australian rock
Prince,4757272,77,spotify:artist:5a2EaR3hamoenG9rDuVn8j,https://api.spotify.com/v1/artists/5a2EaR3hamoenG9rDuVn8j,"funk,funk rock,minneapolis sound,synth funk"
Eurogliders,25223,43,spotify:artist:48kXmrNGCBMAz7N8x1J2na,https://api.spotify.com/v1/artists/48kXmrNGCBMAz7N8x1J2na,australian rock
Frankie Goes To Hollywood,456012,62,spotify:artist:1mZu3rO7qSD09GdDpePHhY,https://api.spotify.com/v1/artists/1mZu3rO7qSD09GdDpePHhY,"art rock,dance rock,hi-nrg,new romantic,new wave,new wave pop,synthpop"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Nena,232988,68,spotify:artist:6Tz0QRoe083BcOo2YbG9lV,https://api.spotify.com/v1/artists/6Tz0QRoe083BcOo2YbG9lV,"german pop,german rock,new wave pop"
Marilyn,83,11,spotify:artist:1yNidNCtxDzMVAXoaBKM9r,https://api.spotify.com/v1/artists/1yNidNCtxDzMVAXoaBKM9r,
Frankie Goes To Hollywood,456012,62,spotify:artist:1mZu3rO7qSD09GdDpePHhY,https://api.spotify.com/v1/artists/1mZu3rO7qSD09GdDpePHhY,"art rock,dance rock,hi-nrg,new romantic,new wave,new wave pop,synthpop"
Phil Collins,3172145,80,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp,"mellow gold,rock drums,soft rock"
Tina Turner,2054431,77,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,"disco,europop,new wave pop,soft rock"
Lionel Richie,1837105,75,spotify:artist:3gMaNLQm7D9MornNILzdSl,https://api.spotify.com/v1/artists/3gMaNLQm7D9MornNILzdSl,"adult standards,disco,mellow gold,motown,quiet storm,soft rock"
Dan Hartman,45520,53,spotify:artist:1HvcqyRLS9nF8hAbTWOqpr,https://api.spotify.com/v1/artists/1HvcqyRLS9nF8hAbTWOqpr,"disco,post-disco"
INXS,1529972,72,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,"australian rock,classic rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Thompson Twins,394488,57,spotify:artist:5jVeqi3PNaTOajfvBa4uFn,https://api.spotify.com/v1/artists/5jVeqi3PNaTOajfvBa4uFn,"dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Van Halen,3514936,83,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,https://api.spotify.com/v1/artists/2cnMpRsOVqtPMfq7YiFE6K,"album rock,classic rock,hard rock,rock"
Julio Iglesias,1303139,72,spotify:artist:4etuCZVdP8yiNPn4xf0ie5,https://api.spotify.com/v1/artists/4etuCZVdP8yiNPn4xf0ie5,"latin,latin pop"
Willie Nelson,1231566,75,spotify:artist:5W5bDNCqJ1jbCgTxDD0Cb3,https://api.spotify.com/v1/artists/5W5bDNCqJ1jbCgTxDD0Cb3,"classic country pop,country,country rock,nashville sound,outlaw country,singer-songwriter,texas country"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
John Waite,144201,59,spotify:artist:2TPyCsRoh2tjeZLTQ2ojlj,https://api.spotify.com/v1/artists/2TPyCsRoh2tjeZLTQ2ojlj,"album rock,mellow gold,new wave pop,soft rock"
Queen,29366306,90,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,"classic rock,glam rock,rock"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Duran Duran,1693128,72,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,https://api.spotify.com/v1/artists/0lZoBs4Pzo7R89JM9lxwoT,"dance rock,new romantic,new wave,new wave pop,rock,synthpop"
Billy Idol,1041227,71,spotify:artist:7lzordPuZEXxwt9aoVZYmG,https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG,"album rock,classic rock,dance rock,hard rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
Queen,29366306,90,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,"classic rock,glam rock,rock"
Matthew Wilder,24482,66,spotify:artist:3bmFPbLMiLxtR9tFrTcKcP,https://api.spotify.com/v1/artists/3bmFPbLMiLxtR9tFrTcKcP,new wave pop
Culture Club,913113,67,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,https://api.spotify.com/v1/artists/6kz53iCdBSqhQCZ21CoLcc,"dance rock,disco,europop,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Pseudo Echo,36922,39,spotify:artist:0FDW3axHactZo8HU0OnNVy,https://api.spotify.com/v1/artists/0FDW3axHactZo8HU0OnNVy,"australian rock,dance rock,new romantic,new wave,new wave pop,synthpop"
Cyndi Lauper,1403734,74,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY,"dance pop,dance rock,europop,mellow gold,new wave pop,permanent wave,pop rock,soft rock"
Laura Branigan,339128,63,spotify:artist:4463nfFMmK1cwAWBQDwT5e,https://api.spotify.com/v1/artists/4463nfFMmK1cwAWBQDwT5e,"dance rock,europop,new romantic,new wave pop,soft rock,synthpop"
ZZ Top,2670095,73,spotify:artist:2AM4ilv6UzW0uMRuqKtDgN,https://api.spotify.com/v1/artists/2AM4ilv6UzW0uMRuqKtDgN,"album rock,blues rock,classic rock,country rock,hard rock,metal,rock"
Irene Cara,218200,65,spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G,https://api.spotify.com/v1/artists/3oZa8Xs6IjlIUGLAhVyK4G,"dance rock,disco,europop,new wave pop,soft rock"
Deniece Williams,263403,59,spotify:artist:5jNGQ7VOU87x5402JjhTtd,https://api.spotify.com/v1/artists/5jNGQ7VOU87x5402JjhTtd,"classic soul,disco,funk,motown,new jack swing,post-disco,quiet storm,soul,urban contemporary"
INXS,1529972,72,spotify:artist:1eClJfHLoDI4rZe5HxzBFv,https://api.spotify.com/v1/artists/1eClJfHLoDI4rZe5HxzBFv,"australian rock,classic rock,dance rock,funk rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
Quiet Riot,1019077,64,spotify:artist:1dLWg6m8RRhizsdqJbhyj3,https://api.spotify.com/v1/artists/1dLWg6m8RRhizsdqJbhyj3,"album rock,classic rock,glam metal,hard rock,metal,rock"
Steve Perry,348739,57,spotify:artist:5xQKoGD7Ql92fWd1uWwKkf,https://api.spotify.com/v1/artists/5xQKoGD7Ql92fWd1uWwKkf,"album rock,mellow gold,soft rock,yacht rock"
Twisted Sister,1492526,67,spotify:artist:7b85ve82Sh36a3UAx74wut,https://api.spotify.com/v1/artists/7b85ve82Sh36a3UAx74wut,"album rock,glam metal,hard rock,metal,rock"
Mel Brooks,6379,40,spotify:artist:1tcGS3XC47Yf5VFNzJ1rfW,https://api.spotify.com/v1/artists/1tcGS3XC47Yf5VFNzJ1rfW,"broadway,hollywood"
Culture Club,913113,67,spotify:artist:6kz53iCdBSqhQCZ21CoLcc,https://api.spotify.com/v1/artists/6kz53iCdBSqhQCZ21CoLcc,"dance rock,disco,europop,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Wham!,1345374,72,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,https://api.spotify.com/v1/artists/5lpH0xAS4fVfLkACg9DAuM,"dance pop,dance rock,disco,europop,new romantic,new wave,new wave pop,soft rock,synthpop"
Dynamic Hepnotics,2088,40,spotify:artist:6xrurMjtUUYPWeQ2UphcwK,https://api.spotify.com/v1/artists/6xrurMjtUUYPWeQ2UphcwK,
Paul Young,548714,64,spotify:artist:6rqU9HQ57NYGBnBzbrY3a4,https://api.spotify.com/v1/artists/6rqU9HQ57NYGBnBzbrY3a4,"album rock,art rock,classic uk pop,dance rock,disco,europop,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Nik Kershaw,193060,60,spotify:artist:7kCL98rPFsNKjAHDmWrMac,https://api.spotify.com/v1/artists/7kCL98rPFsNKjAHDmWrMac,"dance rock,europop,new romantic,new wave,new wave pop,soft rock,synthpop"
The Pointer Sisters,526653,68,spotify:artist:2kreKea2n96dXjcyAU9j5N,https://api.spotify.com/v1/artists/2kreKea2n96dXjcyAU9j5N,"dance pop,dance rock,disco,europop,girl group,hi-nrg,mellow gold,motown,new wave pop,quiet storm,soft rock"
"""Weird Al"" Yankovic",512623,62,spotify:artist:1bDWGdIC2hardyt55nlQgG,https://api.spotify.com/v1/artists/1bDWGdIC2hardyt55nlQgG,"comedy rock,comic,parody"
Vick Sue Robinson,0,0,spotify:artist:4GCiwoz6TcFdqBPgNk9hVG,https://api.spotify.com/v1/artists/4GCiwoz6TcFdqBPgNk9hVG,
Bronski Beat,312710,61,spotify:artist:2wpWOzQE5TpA0dVnh5YD08,https://api.spotify.com/v1/artists/2wpWOzQE5TpA0dVnh5YD08,"dance rock,hi-nrg,new romantic,new wave,new wave pop,sophisti-pop,synthpop"
Big Country,154364,52,spotify:artist:1h8YIw9HLr6E8gdXVDRbVJ,https://api.spotify.com/v1/artists/1h8YIw9HLr6E8gdXVDRbVJ,"celtic rock,dance rock,new romantic,new wave,new wave pop,scottish new wave,scottish rock"
Cyndi Lauper,1403734,74,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,https://api.spotify.com/v1/artists/2BTZIqw0ntH9MvilQ3ewNY,"dance pop,dance rock,europop,mellow gold,new wave pop,permanent wave,pop rock,soft rock"
Scandal,10222,47,spotify:artist:3RFGnJaDVOyxL9YcFaKatu,https://api.spotify.com/v1/artists/3RFGnJaDVOyxL9YcFaKatu,
Patty Smyth,31572,52,spotify:artist:2dgfCEMSVETFp29mRpiFpz,https://api.spotify.com/v1/artists/2dgfCEMSVETFp29mRpiFpz,new wave pop
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Bette Midler,413919,63,spotify:artist:13y0kncDD4J9wxCyfKr10W,https://api.spotify.com/v1/artists/13y0kncDD4J9wxCyfKr10W,"adult standards,folk,mellow gold,new wave pop,soft rock"
Wang Chung,180874,57,spotify:artist:6Zh3xrWlA0SA9Fsfj9AVwm,https://api.spotify.com/v1/artists/6Zh3xrWlA0SA9Fsfj9AVwm,"album rock,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,synthpop"
Real Life,36077,47,spotify:artist:1n0pe6Cx9pCNvXYkX9TTLX,https://api.spotify.com/v1/artists/1n0pe6Cx9pCNvXYkX9TTLX,"dance rock,new romantic,new wave,new wave pop,synthpop"
The Cars,989776,70,spotify:artist:6DCIj8jNaNpBz8e5oKFPtp,https://api.spotify.com/v1/artists/6DCIj8jNaNpBz8e5oKFPtp,"album rock,art rock,classic rock,dance rock,folk rock,hard rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,rock,soft rock"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Slade,199556,55,spotify:artist:10n5lhNDoSMUHWLlnST1yw,https://api.spotify.com/v1/artists/10n5lhNDoSMUHWLlnST1yw,"album rock,art rock,blues rock,classic uk pop,glam rock,hard rock,rock"
Pseudo Echo,36922,39,spotify:artist:0FDW3axHactZo8HU0OnNVy,https://api.spotify.com/v1/artists/0FDW3axHactZo8HU0OnNVy,"australian rock,dance rock,new romantic,new wave,new wave pop,synthpop"
Herbie Hancock,457379,62,spotify:artist:2ZvrvbQNrHKwjT7qfGFFUW,https://api.spotify.com/v1/artists/2ZvrvbQNrHKwjT7qfGFFUW,"bebop,contemporary post-bop,cool jazz,funk,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano"
The Pointer Sisters,526653,68,spotify:artist:2kreKea2n96dXjcyAU9j5N,https://api.spotify.com/v1/artists/2kreKea2n96dXjcyAU9j5N,"dance pop,dance rock,disco,europop,girl group,hi-nrg,mellow gold,motown,new wave pop,quiet storm,soft rock"
The Cure,2799546,78,spotify:artist:7bu3H8JO7d0UbMoVzbo70s,https://api.spotify.com/v1/artists/7bu3H8JO7d0UbMoVzbo70s,"dance rock,new romantic,new wave,permanent wave,rock"
Rock Steady Crew,1416,27,spotify:artist:2N88h3SV2UF0004RwWM7rU,https://api.spotify.com/v1/artists/2N88h3SV2UF0004RwWM7rU,
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Billy Ocean,589200,67,spotify:artist:5IDs1CK15HegSAhGEbSYXo,https://api.spotify.com/v1/artists/5IDs1CK15HegSAhGEbSYXo,"dance rock,disco,europop,mellow gold,motown,new romantic,new wave pop,soft rock,yacht rock"
The S.O.S Band,347924,52,spotify:artist:6pXCjxMOBcWtvULYkFPVW6,https://api.spotify.com/v1/artists/6pXCjxMOBcWtvULYkFPVW6,"disco,electro,funk,minneapolis sound,motown,new jack swing,post-disco,quiet storm,soul,urban contemporary"
