name,followers,popularity,uri,link,genres
Sinéad O'Connor,588903,66,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1,https://api.spotify.com/v1/artists/4sD9znwiVFx9cgRPZ42aQ1,"folk,lilith,new wave pop,pop rock"
MC Hammer,359608,62,spotify:artist:2rblp9fJo16ZPTcKDtlmKW,https://api.spotify.com/v1/artists/2rblp9fJo16ZPTcKDtlmKW,"hip hop,hip house,new jack swing,rap"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Roxette,1229035,75,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,"dance pop,europop,new wave pop,pop rock,soft rock,swedish pop"
Heart,1417547,71,spotify:artist:34jw2BbxjoYalTp8cJFCPv,https://api.spotify.com/v1/artists/34jw2BbxjoYalTp8cJFCPv,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,rock,soft rock"
Paula Abdul,606258,58,spotify:artist:4PpmBoqphQusNFsxuVKb6j,https://api.spotify.com/v1/artists/4PpmBoqphQusNFsxuVKb6j,"dance pop,new wave pop,pop rock,urban contemporary"
The Wild Pair,37,25,spotify:artist:534DkmX9XrQ2MwyRYKarhm,https://api.spotify.com/v1/artists/534DkmX9XrQ2MwyRYKarhm,
Michael Bolton,1046825,69,spotify:artist:6YHEMoNPbcheiWS2haGzkn,https://api.spotify.com/v1/artists/6YHEMoNPbcheiWS2haGzkn,"adult standards,soft rock"
The Righteous Brothers,318386,65,spotify:artist:4b0WsB47XCa9F83BmwQ7WX,https://api.spotify.com/v1/artists/4b0WsB47XCa9F83BmwQ7WX,"adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,motown,rock-and-roll"
Milli Vanilli,188902,56,spotify:artist:3vRclCt9VnNhYIxFMQCxuM,https://api.spotify.com/v1/artists/3vRclCt9VnNhYIxFMQCxuM,new jack swing
The B-52's,592905,64,spotify:artist:3gdbcIdNypBsYNu3iiCjtN,https://api.spotify.com/v1/artists/3gdbcIdNypBsYNu3iiCjtN,"art rock,dance rock,new romantic,new wave,new wave pop,permanent wave,pop rock,post-punk,rock,zolo"
Wilson Phillips,317527,59,spotify:artist:1yMYjh77WgOVafRkI50mim,https://api.spotify.com/v1/artists/1yMYjh77WgOVafRkI50mim,"girl group,new wave pop,pop rock,soft rock"
Linda Ronstadt,454104,66,spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc,https://api.spotify.com/v1/artists/1sXbwvCQLGZnaH0Jp2HTVc,"adult standards,country rock,folk,folk rock,heartland rock,lilith,mellow gold,singer-songwriter,soft rock"
Aaron Neville,77342,59,spotify:artist:57ALvbCBaCkNlgTOSiUPdT,https://api.spotify.com/v1/artists/57ALvbCBaCkNlgTOSiUPdT,"motown,soul"
Alannah Myles,63795,60,spotify:artist:6IYnSXO40Bh7Zdqhf6rQoj,https://api.spotify.com/v1/artists/6IYnSXO40Bh7Zdqhf6rQoj,"classic canadian rock,new wave pop"
Black Box,73959,56,spotify:artist:6tsRo8ErXzpHk3tQeH6GBW,https://api.spotify.com/v1/artists/6tsRo8ErXzpHk3tQeH6GBW,"diva house,eurodance,europop,hip house,italo house,new wave pop,vocal house"
Craig McLachlan,731,27,spotify:artist:5H7Y9ZX5ZKuKeyibUySaPX,https://api.spotify.com/v1/artists/5H7Y9ZX5ZKuKeyibUySaPX,
Check 1-2,91,25,spotify:artist:1XUx8SuRB2ftYVMsbAPkQy,https://api.spotify.com/v1/artists/1XUx8SuRB2ftYVMsbAPkQy,
Concrete Blonde,72475,50,spotify:artist:2ICSjfBpos9PxMhGhX25N2,https://api.spotify.com/v1/artists/2ICSjfBpos9PxMhGhX25N2,"dance rock,lilith"
Tina Arena,92321,54,spotify:artist:1ZTCpKWDwHhbjhkdHhvTm8,https://api.spotify.com/v1/artists/1ZTCpKWDwHhbjhkdHhvTm8,"australian dance,australian pop,europop,french pop"
Peter Blakeley,798,32,spotify:artist:5iA3hgdfblCifdxOrPvJMF,https://api.spotify.com/v1/artists/5iA3hgdfblCifdxOrPvJMF,
Aerosmith,9210279,80,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,"album rock,classic rock,hard rock,rock"
Jon Bon Jovi,1523568,58,spotify:artist:6h2bWHWTJL38N8dqocVaif,https://api.spotify.com/v1/artists/6h2bWHWTJL38N8dqocVaif,
Bad English,186081,55,spotify:artist:5fhMbh4PVSLSODF2fhWwqt,https://api.spotify.com/v1/artists/5fhMbh4PVSLSODF2fhWwqt,"album rock,glam metal,hard rock"
Faith No More,1171719,67,spotify:artist:6GbCJZrI318Ybm8mY36Of5,https://api.spotify.com/v1/artists/6GbCJZrI318Ybm8mY36Of5,"alternative metal,alternative rock,funk metal,funk rock,hard rock,nu metal,rap metal,rock"
Jimmy Barnes,197427,61,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ,"australian pop,australian rock"
Kaoma,31316,58,spotify:artist:1LsXqDdYVyONhrjAORENbu,https://api.spotify.com/v1/artists/1LsXqDdYVyONhrjAORENbu,zouk
Mark Williams,503,31,spotify:artist:2ohOQrrh4DH64UbVA9D6sr,https://api.spotify.com/v1/artists/2ohOQrrh4DH64UbVA9D6sr,classic nz pop
Guru Josh,9647,52,spotify:artist:0GWezHEUuBQvQM31OaWlS7,https://api.spotify.com/v1/artists/0GWezHEUuBQvQM31OaWlS7,
Technotronic,155995,61,spotify:artist:2Cd98zHVdZeOCisc6Gi2sB,https://api.spotify.com/v1/artists/2Cd98zHVdZeOCisc6Gi2sB,"eurodance,europop,hip house,new beat"
