name,followers,popularity,uri,link,genres
Vance Joy,2186121,78,spotify:artist:10exVja0key0uqUkk6LJRT,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT,"folk-pop,modern rock,pop,pop rock"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
Daft Punk,6780183,83,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi,"electro,filter house"
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
Nile Rodgers,66311,71,spotify:artist:3yDIp0kaq9EFKe07X1X2rz,https://api.spotify.com/v1/artists/3yDIp0kaq9EFKe07X1X2rz,disco
Arctic Monkeys,9819369,86,spotify:artist:7Ln80lUS6He07XvHI8qqHH,https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH,"garage rock,modern rock,permanent wave,rock,sheffield indie"
Flume,2076166,77,spotify:artist:6nxWCVXbOlEVRexSbLsTer,https://api.spotify.com/v1/artists/6nxWCVXbOlEVRexSbLsTer,"australian dance,australian electropop,australian indie,downtempo,edm"
Chet Faker,98762,69,spotify:artist:6UcJxoeHWWWyT5HZP064om,https://api.spotify.com/v1/artists/6UcJxoeHWWWyT5HZP064om,"art pop,indietronica"
Arctic Monkeys,9819369,86,spotify:artist:7Ln80lUS6He07XvHI8qqHH,https://api.spotify.com/v1/artists/7Ln80lUS6He07XvHI8qqHH,"garage rock,modern rock,permanent wave,rock,sheffield indie"
Lana Del Rey,11320021,87,spotify:artist:00FQb4jTyendYWaN8pK0wa,https://api.spotify.com/v1/artists/00FQb4jTyendYWaN8pK0wa,"art pop,pop"
Matt Corby,436517,65,spotify:artist:7CIW23FQUXPc1zebnO1TDG,https://api.spotify.com/v1/artists/7CIW23FQUXPc1zebnO1TDG,"australian indie,australian pop"
The Preatures,62648,50,spotify:artist:5gcDZA9xXCOspWgQilUYIu,https://api.spotify.com/v1/artists/5gcDZA9xXCOspWgQilUYIu,"australian indie,australian indie rock,australian pop"
London Grammar,1107903,72,spotify:artist:3Bd1cgCjtCI32PYvDC3ynO,https://api.spotify.com/v1/artists/3Bd1cgCjtCI32PYvDC3ynO,"metropopolis,nottingham indie"
HAIM,975194,72,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,https://api.spotify.com/v1/artists/4Ui2kfOqGujY81UcPrb5KE,"art pop,dance pop,indie pop,metropopolis,pop,pop rock,rock"
