name,followers,popularity,uri,link,genres
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
TOOL,1656063,75,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,https://api.spotify.com/v1/artists/2yEwvVSSSUkcLeSTNyHKh8,"alternative metal,alternative rock,art rock,nu metal,post-metal,progressive metal,progressive rock,rock"
Ben Folds Five,194733,52,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,https://api.spotify.com/v1/artists/44gRHbEm4Uqa0ykW0rDTNk,"alternative rock,indie pop,permanent wave,piano rock,pop rock"
Butthole Surfers,196436,57,spotify:artist:62BcWP4fzR8axESibNQEhs,https://api.spotify.com/v1/artists/62BcWP4fzR8axESibNQEhs,"alternative rock,experimental rock,grunge,noise rock,post-hardcore,post-punk,psychedelic punk,punk"
Bush,1164887,67,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,https://api.spotify.com/v1/artists/78SHxLdtysAXgywQ4vE0Oa,"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rap rock,rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
The Prodigy,1789810,70,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,https://api.spotify.com/v1/artists/4k1ELeJKT1ISyDv8JivPpB,"big beat,breakbeat,hardcore techno,rave"
Allen Ginsberg,12064,24,spotify:artist:1yA9QiqL6p9Qo3nHFb8DkT,https://api.spotify.com/v1/artists/1yA9QiqL6p9Qo3nHFb8DkT,"beat poetry,poetry,slam poetry"
Paul McCartney,3177067,74,spotify:artist:4STHEaNw4mPZ2tzheohgXB,https://api.spotify.com/v1/artists/4STHEaNw4mPZ2tzheohgXB,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock"
Philip Glass,430152,66,spotify:artist:69lxxQvsfAIoQbB20bEPFC,https://api.spotify.com/v1/artists/69lxxQvsfAIoQbB20bEPFC,"american contemporary classical,classical,compositional ambient,contemporary classical,drone,minimalism,soundtrack"
Lenny Kaye,593,18,spotify:artist:0eoGWjtUjl9EaMWs1ZFqs5,https://api.spotify.com/v1/artists/0eoGWjtUjl9EaMWs1ZFqs5,
Weezer,2115590,76,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,https://api.spotify.com/v1/artists/3jOstUTkEu2JkjvRdBA5Gu,"alternative rock,modern power pop,modern rock,permanent wave,pop punk,pop rock,rock"
Babybird,9755,45,spotify:artist:1QCANeffsBIHjzhMqUIxBh,https://api.spotify.com/v1/artists/1QCANeffsBIHjzhMqUIxBh,britpop
311,658568,67,spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K,https://api.spotify.com/v1/artists/41Q0HrwWBtuUkJc7C1Rp6K,"alternative metal,alternative rock,funk metal,funk rock,nu metal,pop rock,rap rock,reggae fusion,rock"
Underworld,403824,61,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,https://api.spotify.com/v1/artists/1PXHzxRDiLnjqNrRn2Xbsa,"alternative dance,big beat,electronica"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Fun Lovin' Criminals,75655,51,spotify:artist:0hWRiJV8KlRZvsZeemUJVv,https://api.spotify.com/v1/artists/0hWRiJV8KlRZvsZeemUJVv,electronica
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Babylon Zoo,7668,39,spotify:artist:3k7uMwc8FLJmH8RHMh2HF8,https://api.spotify.com/v1/artists/3k7uMwc8FLJmH8RHMh2HF8,british alternative rock
The Prodigy,1789810,70,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,https://api.spotify.com/v1/artists/4k1ELeJKT1ISyDv8JivPpB,"big beat,breakbeat,hardcore techno,rave"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Bush,1164887,67,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,https://api.spotify.com/v1/artists/78SHxLdtysAXgywQ4vE0Oa,"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rap rock,rock"
The Fauves,5301,30,spotify:artist:5j1ov1SWSFCelDDg4VygwI,https://api.spotify.com/v1/artists/5j1ov1SWSFCelDDg4VygwI,australian alternative rock
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Ash,120550,52,spotify:artist:2evydP72Z45DouM4uMGsIE,https://api.spotify.com/v1/artists/2evydP72Z45DouM4uMGsIE,"britpop,modern rock,pop rock"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Everclear,599646,63,spotify:artist:694QW15WkebjcrWgQHzRYF,https://api.spotify.com/v1/artists/694QW15WkebjcrWgQHzRYF,"alternative metal,alternative rock,permanent wave,pop punk,pop rock,post-grunge,rock"
No Doubt,1730709,71,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,https://api.spotify.com/v1/artists/0cQbJU1aAzvbEmTuljWLlF,"alternative rock,dance pop,permanent wave,pop rock"
The Chemical Brothers,1460789,67,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo,"alternative dance,big beat,breakbeat,electronica,new rave,rave"
Cake,785503,67,spotify:artist:6A43Djmhbe9100UwnI7epV,https://api.spotify.com/v1/artists/6A43Djmhbe9100UwnI7epV,"alternative rock,modern rock,pop rock,rock,sacramento indie"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Beck,1149067,71,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,https://api.spotify.com/v1/artists/3vbKDsSS70ZX9D2OcvbZmS,"alternative rock,anti-folk,modern rock,permanent wave,rock"
The Fauves,5301,30,spotify:artist:5j1ov1SWSFCelDDg4VygwI,https://api.spotify.com/v1/artists/5j1ov1SWSFCelDDg4VygwI,australian alternative rock
Skin,957,18,spotify:artist:2twFUPBFAf6wTnfI7X9z0j,https://api.spotify.com/v1/artists/2twFUPBFAf6wTnfI7X9z0j,
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
2Pac,9154166,83,spotify:artist:1ZwdS5xdxEREPySFridCfh,https://api.spotify.com/v1/artists/1ZwdS5xdxEREPySFridCfh,"g funk,gangster rap,hip hop,rap,west coast rap"
Roger,84236,61,spotify:artist:3GMoVpWJy4smKuxFuFTwXC,https://api.spotify.com/v1/artists/3GMoVpWJy4smKuxFuFTwXC,funk
Dr. Dre,5196656,82,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,https://api.spotify.com/v1/artists/6DPYiyq5kWVQS4RGwxzPC7,"g funk,gangster rap,hip hop,rap,west coast rap"
Tracy Bonham,22624,42,spotify:artist:6RaSfqo4f0b42iNouQeAKK,https://api.spotify.com/v1/artists/6RaSfqo4f0b42iNouQeAKK,"alternative pop,boston rock,lilith,pop rock"
Fugees,823826,71,spotify:artist:2WKdxPFRD7IqZvlIAvhMgY,https://api.spotify.com/v1/artists/2WKdxPFRD7IqZvlIAvhMgY,"east coast hip hop,gangster rap,hip hop,new jersey rap,rap"
Primitive Radio Gods,21492,45,spotify:artist:5wTpMQz4RtF6dFX9blvMDc,https://api.spotify.com/v1/artists/5wTpMQz4RtF6dFX9blvMDc,pop rock
Jamiroquai,1600031,71,spotify:artist:6J7biCazzYhU3gM9j1wfid,https://api.spotify.com/v1/artists/6J7biCazzYhU3gM9j1wfid,dance pop
Bush,1164887,67,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,https://api.spotify.com/v1/artists/78SHxLdtysAXgywQ4vE0Oa,"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rap rock,rock"
Eels,325911,62,spotify:artist:3zunDAtRDg7kflREzWAhxl,https://api.spotify.com/v1/artists/3zunDAtRDg7kflREzWAhxl,"alternative rock,melancholia"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
Geggy Tah,3395,33,spotify:artist:4O4IKDuNW6VIitV8vdg88x,https://api.spotify.com/v1/artists/4O4IKDuNW6VIitV8vdg88x,
Beck,1149067,71,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,https://api.spotify.com/v1/artists/3vbKDsSS70ZX9D2OcvbZmS,"alternative rock,anti-folk,modern rock,permanent wave,rock"
The Cranberries,2203009,76,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,https://api.spotify.com/v1/artists/7t0rwkOPGlDPEhaOcVtOt9,"irish rock,pop rock"
Nirvana,11396259,83,spotify:artist:6olE6TJLqED3rqDCT0FyPh,https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh,"alternative rock,grunge,permanent wave,rock"
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
Nada Surf,138353,53,spotify:artist:11zHPjHnZN0ACA50rSnTcy,https://api.spotify.com/v1/artists/11zHPjHnZN0ACA50rSnTcy,power pop
Definition Of Sound,1482,28,spotify:artist:5aJrteiOgUuML62xRtOaUe,https://api.spotify.com/v1/artists/5aJrteiOgUuML62xRtOaUe,
Todd Terry,42693,59,spotify:artist:3dE92yGWcrboP1kC5SWyqu,https://api.spotify.com/v1/artists/3dE92yGWcrboP1kC5SWyqu,"chicago house,deep groove house,deep house,disco house,diva house,funky tech house,garage house,hip house,house,tech house,tribal house,vocal house"
The Presidents Of The United States Of America,378862,62,spotify:artist:1lZvg4fNAqHoj6I9N8naBM,https://api.spotify.com/v1/artists/1lZvg4fNAqHoj6I9N8naBM,"alternative metal,alternative rock,grunge,pop rock,rock"
Garbage,784903,62,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,https://api.spotify.com/v1/artists/6S0GHTqz5sxK5f9HtLXn9q,"alternative dance,alternative rock,dance pop,electronic rock,electronica,lilith,permanent wave,pop rock,rock"
Metallica,15458876,85,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,"hard rock,metal,old school thrash,rock,thrash metal"
Björk,1216059,66,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,"alternative dance,art pop,dance pop,electronica,electropop,experimental pop,experimental vocal,icelandic experimental,icelandic pop,metropopolis,permanent wave,pop rock,trip hop"
The Lemonheads,169187,56,spotify:artist:6w7fc6IZlo5zwBaKT5jU1X,https://api.spotify.com/v1/artists/6w7fc6IZlo5zwBaKT5jU1X,"alternative pop,alternative rock,boston rock,lilith,pop rock,power pop"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Eels,325911,62,spotify:artist:3zunDAtRDg7kflREzWAhxl,https://api.spotify.com/v1/artists/3zunDAtRDg7kflREzWAhxl,"alternative rock,melancholia"
Rebecca's Empire,160,12,spotify:artist:3tVCbXAyU49lo1zgVK7IEu,https://api.spotify.com/v1/artists/3tVCbXAyU49lo1zgVK7IEu,
