name,followers,popularity,uri,link,genres
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Roxette,1229035,75,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,"dance pop,europop,new wave pop,pop rock,soft rock,swedish pop"
The Proclaimers,210736,67,spotify:artist:1A92IAcd7A6npCA33oGM5i,https://api.spotify.com/v1/artists/1A92IAcd7A6npCA33oGM5i,"celtic rock,new wave pop,scottish rock"
The Bangles,760781,67,spotify:artist:51l0uqRxGaczYr4271pVIC,https://api.spotify.com/v1/artists/51l0uqRxGaczYr4271pVIC,"album rock,dance rock,europop,jangle pop,mellow gold,new romantic,new wave,new wave pop,paisley underground,pop rock,rock,soft rock,synthpop"
Cher,1770127,73,spotify:artist:72OaDtakiy6yFqkt4TsiFt,https://api.spotify.com/v1/artists/72OaDtakiy6yFqkt4TsiFt,"dance pop,hollywood,new wave pop,pop"
Fine Young Cannibals,500568,63,spotify:artist:20p5D2KrE8CGuOjHtxsyTp,https://api.spotify.com/v1/artists/20p5D2KrE8CGuOjHtxsyTp,"art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,synthpop"
Kate Ceberano,24751,37,spotify:artist:6E4eoLJTZYyIC5cZVg6fDx,https://api.spotify.com/v1/artists/6E4eoLJTZYyIC5cZVg6fDx,"australian dance,australian pop,australian rock"
New Kids On The Block,478663,61,spotify:artist:55qiaow2sDYtjqu1mwRua6,https://api.spotify.com/v1/artists/55qiaow2sDYtjqu1mwRua6,"boy band,dance pop"
The Beach Boys,2820099,76,spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://api.spotify.com/v1/artists/3oDbviiivRWhXwIE8hxkVV,"baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop"
Mike & The Mechanics,376239,63,spotify:artist:2yTUYhIf8fxptTIy3KLuJD,https://api.spotify.com/v1/artists/2yTUYhIf8fxptTIy3KLuJD,"album rock,art rock,classic rock,classic uk pop,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock"
Bette Midler,413919,63,spotify:artist:13y0kncDD4J9wxCyfKr10W,https://api.spotify.com/v1/artists/13y0kncDD4J9wxCyfKr10W,"adult standards,folk,mellow gold,new wave pop,soft rock"
Womack & Womack,44345,58,spotify:artist:7qShKycqNUP0GLEiTENDVZ,https://api.spotify.com/v1/artists/7qShKycqNUP0GLEiTENDVZ,"disco,post-disco"
Simply Red,1366860,72,spotify:artist:1fa0cOhromAZdq2xRA4vv8,https://api.spotify.com/v1/artists/1fa0cOhromAZdq2xRA4vv8,"british soul,dance rock,mellow gold,new romantic,new wave,new wave pop,soft rock,sophisti-pop"
Richard Marx,678318,67,spotify:artist:0grdhNhiRLFBaFVyybqsj6,https://api.spotify.com/v1/artists/0grdhNhiRLFBaFVyybqsj6,"album rock,mellow gold,new wave pop,soft rock"
Ian Moss,30510,46,spotify:artist:4RMdsc21y0aET1OCm32h1u,https://api.spotify.com/v1/artists/4RMdsc21y0aET1OCm32h1u,australian rock
Jive Bunny and the Mastermixers,27151,47,spotify:artist:4GzIiGnHYrOnq2LUiD6zdo,https://api.spotify.com/v1/artists/4GzIiGnHYrOnq2LUiD6zdo,novelty
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Jason Donovan,36578,51,spotify:artist:5bnNgwp3nooah9yHAHsnR4,https://api.spotify.com/v1/artists/5bnNgwp3nooah9yHAHsnR4,"australian dance,australian pop,europop,new wave pop"
Alice Cooper,2211258,69,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,https://api.spotify.com/v1/artists/3EhbVgyfGd7HkpsagwL9GS,"album rock,blues rock,classic rock,glam metal,glam rock,hard rock,metal,protopunk,rock"
Prince,4757272,77,spotify:artist:5a2EaR3hamoenG9rDuVn8j,https://api.spotify.com/v1/artists/5a2EaR3hamoenG9rDuVn8j,"funk,funk rock,minneapolis sound,synth funk"
Roxette,1229035,75,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,"dance pop,europop,new wave pop,pop rock,soft rock,swedish pop"
1927,58760,46,spotify:artist:7uZbOLlVQNbLVvKdGRk4VZ,https://api.spotify.com/v1/artists/7uZbOLlVQNbLVvKdGRk4VZ,"australian pop,australian rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Roy Orbison,1083574,70,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,https://api.spotify.com/v1/artists/0JDkhL4rjiPNEp92jAgJnS,"adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,rock,rock-and-roll,rockabilly"
Sam Brown,14004,46,spotify:artist:3gvT4Mc7kn54IUy08Y0Tr5,https://api.spotify.com/v1/artists/3gvT4Mc7kn54IUy08Y0Tr5,"british soul,new wave pop"
Transvision Vamp,37190,43,spotify:artist:7oIgcNOdEHNwP8NFl9tYWs,https://api.spotify.com/v1/artists/7oIgcNOdEHNwP8NFl9tYWs,"candy pop,new wave pop"
Grayson Hugh,1857,38,spotify:artist:4SA20ppwlluQj8vOWyUc0F,https://api.spotify.com/v1/artists/4SA20ppwlluQj8vOWyUc0F,
Debbie Gibson,305363,58,spotify:artist:18jZvCsW1PJ4FDQ5gEXuKp,https://api.spotify.com/v1/artists/18jZvCsW1PJ4FDQ5gEXuKp,"new wave pop,soft rock"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Collette,397,8,spotify:artist:29X5ymQSDf34W2I4q0BSZd,https://api.spotify.com/v1/artists/29X5ymQSDf34W2I4q0BSZd,shibuya-kei
Martika,122028,50,spotify:artist:40enFxfEXXsEXKOt1vgx0k,https://api.spotify.com/v1/artists/40enFxfEXXsEXKOt1vgx0k,"minneapolis sound,new wave pop"
Traveling Wilburys,632812,61,spotify:artist:2hO4YtXUFJiUYS2uYFvHNK,https://api.spotify.com/v1/artists/2hO4YtXUFJiUYS2uYFvHNK,"album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,roots rock,soft rock,supergroup"
New Kids On The Block,478663,61,spotify:artist:55qiaow2sDYtjqu1mwRua6,https://api.spotify.com/v1/artists/55qiaow2sDYtjqu1mwRua6,"boy band,dance pop"
Tina Turner,2054431,77,spotify:artist:1zuJe6b1roixEKMOtyrEak,https://api.spotify.com/v1/artists/1zuJe6b1roixEKMOtyrEak,"disco,europop,new wave pop,soft rock"
