name,followers,popularity,uri,link,genres
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Aqua,336369,65,spotify:artist:6kBjAFKyd0he7LiA5GQ3Gz,https://api.spotify.com/v1/artists/6kBjAFKyd0he7LiA5GQ3Gz,"bubblegum dance,dance pop,eurodance,europop"
Chumbawamba,63276,58,spotify:artist:0TcYeHEK9sBtv7xPbKhzHz,https://api.spotify.com/v1/artists/0TcYeHEK9sBtv7xPbKhzHz,anarcho-punk
Diddy,1018179,77,spotify:artist:59wfkuBoNyhDMQGCljbUbA,https://api.spotify.com/v1/artists/59wfkuBoNyhDMQGCljbUbA,"dance pop,east coast hip hop,hip hop,hip pop,pop rap,r&b,rap"
112,736337,69,spotify:artist:7urq0VfqxEYEEiZUkebXT4,https://api.spotify.com/v1/artists/7urq0VfqxEYEEiZUkebXT4,"atl hip hop,boy band,dance pop,gangster rap,hip pop,new jack swing,pop rap,r&b,rap,southern hip hop,urban contemporary"
Faith Evans,901213,69,spotify:artist:5NDMothbpdpq2xHqSjrrWn,https://api.spotify.com/v1/artists/5NDMothbpdpq2xHqSjrrWn,"dance pop,hip hop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary"
Hanson,302056,63,spotify:artist:0SdiiPkr02EUdekHZJkt58,https://api.spotify.com/v1/artists/0SdiiPkr02EUdekHZJkt58,"boy band,dance pop,neo mellow,pop rock"
Will Smith,714535,73,spotify:artist:41qil2VaGbD194gaEcmmyx,https://api.spotify.com/v1/artists/41qil2VaGbD194gaEcmmyx,hip hop
Savage Garden,750674,69,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,"australian pop,boy band,dance pop,europop,pop rock"
No Doubt,1730709,71,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,https://api.spotify.com/v1/artists/0cQbJU1aAzvbEmTuljWLlF,"alternative rock,dance pop,permanent wave,pop rock"
The Prodigy,1789810,70,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,https://api.spotify.com/v1/artists/4k1ELeJKT1ISyDv8JivPpB,"big beat,breakbeat,hardcore techno,rave"
N-Trance,31978,53,spotify:artist:45InkbGypoMk5nVX6dsHkt,https://api.spotify.com/v1/artists/45InkbGypoMk5nVX6dsHkt,"eurodance,europop,hip house"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Trisha Yearwood,749499,62,spotify:artist:3XlIhgydjvC4EniPFZT20j,https://api.spotify.com/v1/artists/3XlIhgydjvC4EniPFZT20j,"contemporary country,country,country dawn,country road"
Hanson,302056,63,spotify:artist:0SdiiPkr02EUdekHZJkt58,https://api.spotify.com/v1/artists/0SdiiPkr02EUdekHZJkt58,"boy band,dance pop,neo mellow,pop rock"
