name,followers,popularity,uri,link,genres
Sandi Thom,19396,49,spotify:artist:3xnfpcM4DC9zeHVuDhYICB,https://api.spotify.com/v1/artists/3xnfpcM4DC9zeHVuDhYICB,"candy pop,scottish singer-songwriter"
TV Rock,4626,37,spotify:artist:1umoTEAL97Q6OAS1KX2RX3,https://api.spotify.com/v1/artists/1umoTEAL97Q6OAS1KX2RX3,australian dance
Seany B,361,36,spotify:artist:3Nt2NcCHdJFvvSoowWH4jL,https://api.spotify.com/v1/artists/3Nt2NcCHdJFvvSoowWH4jL,australian dance
Shakira,19832221,86,spotify:artist:0EmeFodog0BfCgMzAIvKQp,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,"colombian pop,dance pop,latin,latin pop,pop"
Wyclef Jean,226636,73,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,https://api.spotify.com/v1/artists/7aBzpmFXB4WWpPl2F7RjBe,rap kreyol
Justin Timberlake,9769805,83,spotify:artist:31TPClRtHm23RisEBtV3X7,https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7,"dance pop,pop"
Timbaland,1761329,78,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ,"dance pop,hip hop,hip pop,pop,pop rap,urban contemporary"
Scissor Sisters,382854,65,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,"dance pop,electropop,europop,pop rock"
Young Divas,10028,34,spotify:artist:3KT9AeoTUPHKnntwQxlP9S,https://api.spotify.com/v1/artists/3KT9AeoTUPHKnntwQxlP9S,australian pop
Youth Group,18739,47,spotify:artist:51K48NCxjB11t9eqUWWoIq,https://api.spotify.com/v1/artists/51K48NCxjB11t9eqUWWoIq,
Lee Harding,2059,26,spotify:artist:7eIoAymVZ9RQZidZgt4e7t,https://api.spotify.com/v1/artists/7eIoAymVZ9RQZidZgt4e7t,australian talent show
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Nelly Furtado,2186948,76,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,https://api.spotify.com/v1/artists/2jw70GZXlAI8QzWeY2bgRc,"canadian latin,canadian pop,dance pop,pop,pop rap"
Timbaland,1761329,78,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ,"dance pop,hip hop,hip pop,pop,pop rap,urban contemporary"
Damien Leith,5823,30,spotify:artist:5XVcYaeSTGZXwxd63aY9Tv,https://api.spotify.com/v1/artists/5XVcYaeSTGZXwxd63aY9Tv,
Bob Sinclar,440891,68,spotify:artist:5YFS41yoX0YuFY39fq21oN,https://api.spotify.com/v1/artists/5YFS41yoX0YuFY39fq21oN,"dance pop,disco house,edm,electro house,filter house,vocal house"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Westlife,1868889,75,spotify:artist:5Z1CCuBsyhEHngq3U5IraY,https://api.spotify.com/v1/artists/5Z1CCuBsyhEHngq3U5IraY,"boy band,dance pop,europop"
James Blunt,2272818,77,spotify:artist:7KMqksf0UMdyA0UCf4R3ux,https://api.spotify.com/v1/artists/7KMqksf0UMdyA0UCf4R3ux,"neo mellow,pop,pop rock"
Gnarls Barkley,373280,69,spotify:artist:5SbkVQYYzlw1kte75QIabH,https://api.spotify.com/v1/artists/5SbkVQYYzlw1kte75QIabH,"atl hip hop,neo soul"
The Pussycat Dolls,3820265,74,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,https://api.spotify.com/v1/artists/6wPhSqRtPu1UhRCDX5yaDJ,"dance pop,girl group,pop,pop rap,post-teen pop,urban contemporary"
