name,followers,popularity,uri,link,genres
Franz Ferdinand,1894265,69,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,https://api.spotify.com/v1/artists/0XNa1vTidXlvJ2gHSsRi4A,"alternative rock,dance-punk,indie rock,modern rock,new rave,rock,scottish rock"
Missy Higgins,165037,58,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,https://api.spotify.com/v1/artists/6aP8ry8w3bSNyfyqhE8rGf,"australian pop,pop rock"
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
The Killers,5604128,82,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,"modern rock,permanent wave,rock"
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
Missy Higgins,165037,58,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,https://api.spotify.com/v1/artists/6aP8ry8w3bSNyfyqhE8rGf,"australian pop,pop rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Little Birdy,31134,38,spotify:artist:3h18aXqdmm2F13t6LIbTpq,https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq,"australian alternative rock,australian indie,australian rock,perth indie"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
The White Stripes,2247412,74,spotify:artist:4F84IBURUo98rz4r61KF70,https://api.spotify.com/v1/artists/4F84IBURUo98rz4r61KF70,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
Modest Mouse,1097371,68,spotify:artist:1yAwtBaoHLEDWAnWR87hBT,https://api.spotify.com/v1/artists/1yAwtBaoHLEDWAnWR87hBT,"alternative rock,double drumming,indie pop,indie rock,modern rock,rock,washington indie"
The Dresden Dolls,108306,45,spotify:artist:5JqX1glXPg6428ubI1w72i,https://api.spotify.com/v1/artists/5JqX1glXPg6428ubI1w72i,"anti-folk,boston rock,dark cabaret,piano rock,steampunk"
The Killers,5604128,82,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,"modern rock,permanent wave,rock"
Evermore,33093,49,spotify:artist:5VWIuZAPbBdtFHdbDyYeHQ,https://api.spotify.com/v1/artists/5VWIuZAPbBdtFHdbDyYeHQ,"australian rock,kiwi rock"
Ben Lee,44124,51,spotify:artist:06y1hH4hu3rcTUXHJevPCf,https://api.spotify.com/v1/artists/06y1hH4hu3rcTUXHJevPCf,"australian alternative rock,australian pop,australian rock,pop rock"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Butterfingers,19091,41,spotify:artist:14ERybNQCYthuN4NHM5uVe,https://api.spotify.com/v1/artists/14ERybNQCYthuN4NHM5uVe,"australian alternative rock,australian hip hop,australian underground hip hop"
The Streets,340397,62,spotify:artist:4GvOygVQquMaPm8oAc0vXi,https://api.spotify.com/v1/artists/4GvOygVQquMaPm8oAc0vXi,"birmingham hip hop,grime,modern rock,uk garage"
The Streets,340397,62,spotify:artist:4GvOygVQquMaPm8oAc0vXi,https://api.spotify.com/v1/artists/4GvOygVQquMaPm8oAc0vXi,"birmingham hip hop,grime,modern rock,uk garage"
Spiderbait,92873,55,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,https://api.spotify.com/v1/artists/6P7kkhED6EPrfoZuxz20Fo,"australian alternative rock,australian rock"
William Shatner,17730,40,spotify:artist:2dPqql8xbby3nWuf98mAza,https://api.spotify.com/v1/artists/2dPqql8xbby3nWuf98mAza,"comic,outsider"
Green Day,11223600,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,"permanent wave,pop punk,punk"
Scissor Sisters,382854,65,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,"dance pop,electropop,europop,pop rock"
Jet,429037,66,spotify:artist:5ypxebeHEIXjMtJb17uJlI,https://api.spotify.com/v1/artists/5ypxebeHEIXjMtJb17uJlI,"alternative rock,garage rock,modern rock,rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Grinspoon,110399,55,spotify:artist:04qi4CymYf3E50Mt2na4QS,https://api.spotify.com/v1/artists/04qi4CymYf3E50Mt2na4QS,"australian alternative rock,australian hip hop,australian psych,australian rock"
Sarah Blasko,86875,48,spotify:artist:75jU2q0uEWzSIlqRJtedJV,https://api.spotify.com/v1/artists/75jU2q0uEWzSIlqRJtedJV,"australian alternative rock,australian indie,australian singer-songwriter"
Beastie Boys,1743620,73,spotify:artist:03r4iKL2g2442PT9n2UKsx,https://api.spotify.com/v1/artists/03r4iKL2g2442PT9n2UKsx,"alternative rock,east coast hip hop,hip hop,old school hip hop,rap"
Franz Ferdinand,1894265,69,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,https://api.spotify.com/v1/artists/0XNa1vTidXlvJ2gHSsRi4A,"alternative rock,dance-punk,indie rock,modern rock,new rave,rock,scottish rock"
The Dresden Dolls,108306,45,spotify:artist:5JqX1glXPg6428ubI1w72i,https://api.spotify.com/v1/artists/5JqX1glXPg6428ubI1w72i,"anti-folk,boston rock,dark cabaret,piano rock,steampunk"
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
The Bees,26496,42,spotify:artist:6XiSck3QPuXk7ho6zlDz3P,https://api.spotify.com/v1/artists/6XiSck3QPuXk7ho6zlDz3P,"acid rock,british indie rock,britpop,isle of wight indie"
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
Scribe,20851,47,spotify:artist:1cUNRt3Ha4lnnNvPTJAIa8,https://api.spotify.com/v1/artists/1cUNRt3Ha4lnnNvPTJAIa8,"australian hip hop,kiwi rock,nz hip hop,polynesian pop"
Savage,30348,65,spotify:artist:1GbrJTB56Xs4XQGlmVbaCf,https://api.spotify.com/v1/artists/1GbrJTB56Xs4XQGlmVbaCf,"italian disco,nz hip hop"
Con-Psy,25,31,spotify:artist:0XwaD2kV53RdItxps3P34y,https://api.spotify.com/v1/artists/0XwaD2kV53RdItxps3P34y,
Jeff Buckley,691439,66,spotify:artist:3nnQpaTvKb5jCQabZefACI,https://api.spotify.com/v1/artists/3nnQpaTvKb5jCQabZefACI,"melancholia,permanent wave,rock,singer-songwriter"
Ben Folds,227529,57,spotify:artist:55tif8708yyDQlSjh3Trdu,https://api.spotify.com/v1/artists/55tif8708yyDQlSjh3Trdu,"indie pop,modern rock,permanent wave,piano rock,pop rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
The Killers,5604128,82,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,"modern rock,permanent wave,rock"
Little Birdy,31134,38,spotify:artist:3h18aXqdmm2F13t6LIbTpq,https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq,"australian alternative rock,australian indie,australian rock,perth indie"
Faithless,438826,63,spotify:artist:5T4UKHhr4HGIC0VzdZQtAE,https://api.spotify.com/v1/artists/5T4UKHhr4HGIC0VzdZQtAE,"big beat,downtempo,electronica,trip hop"
Lior,23612,42,spotify:artist:2I5zkCBsSiowWu6MLMH4nP,https://api.spotify.com/v1/artists/2I5zkCBsSiowWu6MLMH4nP,australian singer-songwriter
Dogs Die In Hot Cars,3089,20,spotify:artist:4JVT1I5OzHwHaQS7DcSclG,https://api.spotify.com/v1/artists/4JVT1I5OzHwHaQS7DcSclG,scottish indie
Scissor Sisters,382854,65,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,"dance pop,electropop,europop,pop rock"
Wolfmother,705324,65,spotify:artist:3yEnArbNHyTCwMRvD9SBy4,https://api.spotify.com/v1/artists/3yEnArbNHyTCwMRvD9SBy4,"alternative rock,australian psych,garage rock,modern alternative rock,modern blues rock,modern rock,rock"
Rammstein,5044423,81,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,https://api.spotify.com/v1/artists/6wWVKhxIU2cEi0K81v7HvP,"alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte,nu metal"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Elliott Smith,572561,65,spotify:artist:2ApaG60P4r0yhBoDCGD8YG,https://api.spotify.com/v1/artists/2ApaG60P4r0yhBoDCGD8YG,"alternative rock,indie folk,indie pop,indie rock,melancholia,singer-songwriter"
Missy Higgins,165037,58,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,https://api.spotify.com/v1/artists/6aP8ry8w3bSNyfyqhE8rGf,"australian pop,pop rock"
Franz Ferdinand,1894265,69,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,https://api.spotify.com/v1/artists/0XNa1vTidXlvJ2gHSsRi4A,"alternative rock,dance-punk,indie rock,modern rock,new rave,rock,scottish rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Placebo,1306442,70,spotify:artist:6RZUqkomCmb8zCRqc9eznB,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB,"alternative rock,britpop,modern rock,permanent wave,rock"
The Waifs,76133,48,spotify:artist:5uKeKhwXi2w5cXdtoSaqjz,https://api.spotify.com/v1/artists/5uKeKhwXi2w5cXdtoSaqjz,"australian alternative rock,australian indie,australian rock,indie folk"
The Hives,551943,63,spotify:artist:4DToQR3aKrHQSSRzSz8Nzt,https://api.spotify.com/v1/artists/4DToQR3aKrHQSSRzSz8Nzt,"alternative rock,dance-punk,garage rock,garage rock revival,modern rock,new rave,rock,swedish garage rock,swedish hard rock,swedish indie rock"
Xavier Rudd,472285,66,spotify:artist:5lbM4g6bhxjNX7R5QHP2nD,https://api.spotify.com/v1/artists/5lbM4g6bhxjNX7R5QHP2nD,"australian indie folk,australian reggae fusion,neo mellow"
Evermore,33093,49,spotify:artist:5VWIuZAPbBdtFHdbDyYeHQ,https://api.spotify.com/v1/artists/5VWIuZAPbBdtFHdbDyYeHQ,"australian rock,kiwi rock"
Scissor Sisters,382854,65,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,https://api.spotify.com/v1/artists/3Y10boYzeuFCJ4Qgp53w6o,"dance pop,electropop,europop,pop rock"
Xavier Rudd,472285,66,spotify:artist:5lbM4g6bhxjNX7R5QHP2nD,https://api.spotify.com/v1/artists/5lbM4g6bhxjNX7R5QHP2nD,"australian indie folk,australian reggae fusion,neo mellow"
Deep Dish,54139,41,spotify:artist:720JYpdCgHuTmDeryW0wEA,https://api.spotify.com/v1/artists/720JYpdCgHuTmDeryW0wEA,"disco house,diva house,tribal house"
Anousheh Khalili,229,14,spotify:artist:4UROO2C2tHvdEwiOYa0uxt,https://api.spotify.com/v1/artists/4UROO2C2tHvdEwiOYa0uxt,
Eskimo Joe,87645,50,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,https://api.spotify.com/v1/artists/3yW6jTzGjHUUkLvLkjLOVn,"australian alternative rock,australian indie,australian pop,australian rock,perth indie,pop rock"
N.E.R.D,608514,63,spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,https://api.spotify.com/v1/artists/5wPoxI5si3eJsYYwyXV4Wi,"hip hop,virginia hip hop"
Epicure,1995,18,spotify:artist:3SofahSfdxgkdID0zk3h3N,https://api.spotify.com/v1/artists/3SofahSfdxgkdID0zk3h3N,australian alternative rock
The Chemical Brothers,1460789,67,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,https://api.spotify.com/v1/artists/1GhPHrq36VKCY3ucVaZCfo,"alternative dance,big beat,breakbeat,electronica,new rave,rave"
Devendra Banhart,488230,64,spotify:artist:1YZEoYFXx4AxVv13OiOPvZ,https://api.spotify.com/v1/artists/1YZEoYFXx4AxVv13OiOPvZ,freak folk
The Black Keys,3312319,75,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,https://api.spotify.com/v1/artists/7mnBLXK823vNxN3UWB7Gfz,"alternative rock,blues rock,garage rock,modern alternative rock,modern blues rock,modern rock,punk blues,rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Freestylers,58537,45,spotify:artist:0zg9mF9dX2knvdTKnL22T1,https://api.spotify.com/v1/artists/0zg9mF9dX2knvdTKnL22T1,"big beat,breakbeat"
Starsailor,152155,52,spotify:artist:0G8zjE6SsFTlbglCkU8pm3,https://api.spotify.com/v1/artists/0G8zjE6SsFTlbglCkU8pm3,"britpop,lancashire indie,piano rock"
The Von Bondies,50893,43,spotify:artist:5QPNEMldc8k1g5hT54PCWg,https://api.spotify.com/v1/artists/5QPNEMldc8k1g5hT54PCWg,"dance-punk,garage rock,punk blues"
The Polyphonic Spree,34155,41,spotify:artist:0inqWv3OS4VpWt691ki8yk,https://api.spotify.com/v1/artists/0inqWv3OS4VpWt691ki8yk,dallas indie
Interpol,1162544,69,spotify:artist:3WaJSfKnzc65VDgmj2zU8B,https://api.spotify.com/v1/artists/3WaJSfKnzc65VDgmj2zU8B,"alternative dance,alternative rock,dance-punk,indie rock,modern rock,new rave,rock"
The Spazzys,390,6,spotify:artist:4ehqDK5yRpTZmbkVZJ4CNH,https://api.spotify.com/v1/artists/4ehqDK5yRpTZmbkVZJ4CNH,power-pop punk
