name,followers,popularity,uri,link,genres
Anastacia,219417,63,spotify:artist:2siHvYaxjaW5rKVRiIrMYH,https://api.spotify.com/v1/artists/2siHvYaxjaW5rKVRiIrMYH,"dance pop,europop"
Wheatus,87928,63,spotify:artist:4mYFgEjpQT4IKOrjOUKyXu,https://api.spotify.com/v1/artists/4mYFgEjpQT4IKOrjOUKyXu,pop rock
Bomfunk MC's,52023,57,spotify:artist:0NeC6ploeJUq8oDwYQjNPS,https://api.spotify.com/v1/artists/0NeC6ploeJUq8oDwYQjNPS,"bubblegum dance,eurodance,europop"
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Destiny's Child,4338633,76,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,"dance pop,girl group,hip pop,pop,r&b,urban contemporary"
Bardot,3506,31,spotify:artist:6jaSo7MeMbXQCUOrNCF8tj,https://api.spotify.com/v1/artists/6jaSo7MeMbXQCUOrNCF8tj,australian pop
*NSYNC,1357523,72,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,https://api.spotify.com/v1/artists/6Ff53KvcvAj5U7Z1vojB5o,"boy band,dance pop,europop,pop"
Madison Avenue,12462,54,spotify:artist:6otgz5gkB40UnWFwTy0VDh,https://api.spotify.com/v1/artists/6otgz5gkB40UnWFwTy0VDh,"disco house,vocal house"
Spiller,7061,48,spotify:artist:4bmymFwDu9zLCiTRUmrewb,https://api.spotify.com/v1/artists/4bmymFwDu9zLCiTRUmrewb,"disco house,vocal house"
Mary Mary,368631,58,spotify:artist:12Kgt2eahvxNWhD5PnSUde,https://api.spotify.com/v1/artists/12Kgt2eahvxNWhD5PnSUde,"gospel,gospel r&b,r&b,urban contemporary"
Mandy Moore,500282,69,spotify:artist:2LJxr7Pt3JnP60eLxwbDOu,https://api.spotify.com/v1/artists/2LJxr7Pt3JnP60eLxwbDOu,"dance pop,hollywood,movie tunes,pop,post-teen pop,show tunes"
Chris Franklin,280,21,spotify:artist:0x81cVSvecMHyy4mMtZDtT,https://api.spotify.com/v1/artists/0x81cVSvecMHyy4mMtZDtT,
Vitamin C,56654,44,spotify:artist:3OsUvoKmZA2gw8rETtxGlz,https://api.spotify.com/v1/artists/3OsUvoKmZA2gw8rETtxGlz,"dance pop,europop"
Melanie C,212338,63,spotify:artist:60vX3zLcdKRXvKLITVh5Df,https://api.spotify.com/v1/artists/60vX3zLcdKRXvKLITVh5Df,"bubblegum dance,dance pop,electropop,europop,new wave pop,pop rock"
"Lisa ""Left Eye"" Lopes",13920,56,spotify:artist:64ccradw8gAQn9gMQZmEha,https://api.spotify.com/v1/artists/64ccradw8gAQn9gMQZmEha,"hip pop,r&b,urban contemporary"
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Vanessa Amorosi,42090,51,spotify:artist:5M0fvL9GMc2zTuIIQwresj,https://api.spotify.com/v1/artists/5M0fvL9GMc2zTuIIQwresj,"australian dance,australian pop,australian talent show,europop"
Destiny's Child,4338633,76,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,https://api.spotify.com/v1/artists/1Y8cdNmUJH7yBTd9yOvr5i,"dance pop,girl group,hip pop,pop,r&b,urban contemporary"
Macy Gray,468180,65,spotify:artist:4ylR3zwA0zaapAu94fktwa,https://api.spotify.com/v1/artists/4ylR3zwA0zaapAu94fktwa,"neo soul,pop rock"
Ricky Martin,5560712,79,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,https://api.spotify.com/v1/artists/7slfeZO9LsJbWgpkIoXBUJ,"dance pop,latin,latin pop,mexican pop,puerto rican pop"
Robbie Williams,2005425,76,spotify:artist:2HcwFjNelS49kFbfvMxQYw,https://api.spotify.com/v1/artists/2HcwFjNelS49kFbfvMxQYw,"dance pop,europop,pop,pop rock"
Baha Men,26465,54,spotify:artist:67FFKYikvTlvsPNk4NPOYJ,https://api.spotify.com/v1/artists/67FFKYikvTlvsPNk4NPOYJ,bahamian pop
Sisqo,544705,61,spotify:artist:6x9QLdzo6eBZxJ1bHsDkjg,https://api.spotify.com/v1/artists/6x9QLdzo6eBZxJ1bHsDkjg,"dance pop,hip hop,hip pop,new jack swing,pop rap,r&b,urban contemporary"
Bon Jovi,8370312,82,spotify:artist:58lV9VcRSjABbAbfWS6skp,https://api.spotify.com/v1/artists/58lV9VcRSjABbAbfWS6skp,"glam metal,rock"
Jennifer Lopez,8771307,81,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,"dance pop,pop,pop rap,post-teen pop,urban contemporary"
Killing Heidi,50572,44,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,https://api.spotify.com/v1/artists/6eQ3AHw7yEVoX87xDS1ZiP,"australian alternative rock,australian pop,australian rock"
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Britney Spears,7894578,83,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,"dance pop,pop,pop rap,post-teen pop"
Backstreet Boys,3457728,80,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,https://api.spotify.com/v1/artists/5rSXSAkZ67PYJSvpUpkOr7,"boy band,dance pop,europop,pop"
