name,followers,popularity,uri,link,genres
Survivor,624743,72,spotify:artist:26bcq2nyj5GB7uRr558iQg,https://api.spotify.com/v1/artists/26bcq2nyj5GB7uRr558iQg,"album rock,hard rock,rock,soft rock"
Moving Pictures,6393,41,spotify:artist:089zDeJWWSaHm6JE4V3ser,https://api.spotify.com/v1/artists/089zDeJWWSaHm6JE4V3ser,australian rock
Soft Cell,395188,66,spotify:artist:6aq8T2RcspxVOGgMrTzjWc,https://api.spotify.com/v1/artists/6aq8T2RcspxVOGgMrTzjWc,"dance rock,new romantic,new wave,new wave pop,synthpop"
The J. Geils Band,467481,62,spotify:artist:69Mj3u4FTUrpyeGNSIaU6F,https://api.spotify.com/v1/artists/69Mj3u4FTUrpyeGNSIaU6F,"album rock,blues rock,classic rock,country rock,dance rock,folk rock,hard rock,mellow gold,new wave pop,rock,roots rock,soft rock"
Bertie Higgins,9800,43,spotify:artist:4qzZ6bMrjK27yHGVjs4Pvq,https://api.spotify.com/v1/artists/4qzZ6bMrjK27yHGVjs4Pvq,soft rock
Toni Basil,10959,47,spotify:artist:59hMeIYY3k3NoX54rrVGPv,https://api.spotify.com/v1/artists/59hMeIYY3k3NoX54rrVGPv,new wave pop
Joan Jett & The Blackhearts,429555,67,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,https://api.spotify.com/v1/artists/1Fmb52lZ6Jv7FMWXXTPO3K,"glam punk,rock"
Lindsey Buckingham,73524,54,spotify:artist:3Dzj993UEz8Z5ovxuirzFO,https://api.spotify.com/v1/artists/3Dzj993UEz8Z5ovxuirzFO,"album rock,mellow gold,soft rock"
Joey Scarbury,3105,41,spotify:artist:5V9pNqcN25JXuH88g7lq2o,https://api.spotify.com/v1/artists/5V9pNqcN25JXuH88g7lq2o,"soft rock,yacht rock"
Chicago,2062337,73,spotify:artist:3iDD7bnsjL9J4fO298r0L0,https://api.spotify.com/v1/artists/3iDD7bnsjL9J4fO298r0L0,"adult standards,album rock,classic rock,folk rock,mellow gold,soft rock,yacht rock"
Charlene,1591,41,spotify:artist:52o9SO5Qt09Vr9bDCbTbmu,https://api.spotify.com/v1/artists/52o9SO5Qt09Vr9bDCbTbmu,
Dexys Midnight Runners,148782,67,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,https://api.spotify.com/v1/artists/4QTVePrFu1xuGM9K0kNXkk,"bow pop,dance rock,new romantic,new wave,new wave pop"
Steve Miller Band,1721437,71,spotify:artist:6QtGlUje9TIkLrgPZrESuk,https://api.spotify.com/v1/artists/6QtGlUje9TIkLrgPZrESuk,"album rock,blues rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
Cheap Trick,850758,67,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,https://api.spotify.com/v1/artists/1LB8qB5BPb3MHQrfkvifXU,"album rock,art rock,beatlesque,classic rock,dance rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock"
A Flock Of Seagulls,351602,62,spotify:artist:0uAjBatvB4ubpd4kCfjmNt,https://api.spotify.com/v1/artists/0uAjBatvB4ubpd4kCfjmNt,"dance rock,new romantic,new wave,new wave pop,synthpop"
John Mellencamp,917571,71,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,https://api.spotify.com/v1/artists/3lPQ2Fk5JOwGWAF3ORFCqH,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock"
The Go-Go's,410073,57,spotify:artist:2mG8HHQ9S9kcbjcrb5N1FE,https://api.spotify.com/v1/artists/2mG8HHQ9S9kcbjcrb5N1FE,"album rock,candy pop,dance rock,girl group,jangle pop,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,power pop,rock,soft rock,synthpop"
Split Enz,117816,54,spotify:artist:0Upmz8QvuLAkKAfRlJYWTL,https://api.spotify.com/v1/artists/0Upmz8QvuLAkKAfRlJYWTL,"australian alternative rock,dance rock,kiwi rock,zolo"
Bananarama,443739,61,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,https://api.spotify.com/v1/artists/3sc7iUG1Wwpwx7bHeZolgx,"dance pop,dance rock,disco,europop,girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock"
Paul McCartney,3177067,74,spotify:artist:4STHEaNw4mPZ2tzheohgXB,https://api.spotify.com/v1/artists/4STHEaNw4mPZ2tzheohgXB,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock"
Foreigner,1747829,73,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,https://api.spotify.com/v1/artists/6IRouO5mvvfcyxtPDKMYFN,"album rock,classic rock,hard rock,mellow gold,rock,soft rock"
Ray Parker Jr.,42699,61,spotify:artist:0NyzfcGDZZ6GM25EBG9BYK,https://api.spotify.com/v1/artists/0NyzfcGDZZ6GM25EBG9BYK,"disco,funk,post-disco,quiet storm"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Men At Work,730614,69,spotify:artist:0f3EsoviYnRKTkmayI3cux,https://api.spotify.com/v1/artists/0f3EsoviYnRKTkmayI3cux,"album rock,australian rock,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock"
Melissa Manchester,116509,48,spotify:artist:78udmCDNaDu5jqfVnBqwia,https://api.spotify.com/v1/artists/78udmCDNaDu5jqfVnBqwia,"adult standards,bubblegum pop,mellow gold,soft rock,yacht rock"
Kim Wilde,360993,62,spotify:artist:73a6pNH4YtLNgDbPQwXveo,https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo,"dance rock,europop,new romantic,new wave,new wave pop,soft rock"
Barry Manilow,851923,67,spotify:artist:3alW3LYQS8K29z8C8NSLIX,https://api.spotify.com/v1/artists/3alW3LYQS8K29z8C8NSLIX,"adult standards,bubblegum pop,disco,lounge,mellow gold,quiet storm,soft rock,yacht rock"
Trio,24019,43,spotify:artist:417rMeQ1e1B90lsiS1iMZ1,https://api.spotify.com/v1/artists/417rMeQ1e1B90lsiS1iMZ1,"german rock,neue deutsche welle"
Cliff Richard,200157,62,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,https://api.spotify.com/v1/artists/2nvKpWcP8etYTq4JrRiUiy,"adult standards,brill building pop,bubblegum pop,classic uk pop,mellow gold,rock-and-roll,rockabilly,soft rock"
Leo Sayer,286719,62,spotify:artist:04LIHk1SobiQwt2tlupoAV,https://api.spotify.com/v1/artists/04LIHk1SobiQwt2tlupoAV,"adult standards,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock"
ABC,228979,56,spotify:artist:2s79xe5F6eUQkjwjww27Fh,https://api.spotify.com/v1/artists/2s79xe5F6eUQkjwjww27Fh,"art rock,classic uk pop,dance rock,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
Duran Duran,1693128,72,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT,https://api.spotify.com/v1/artists/0lZoBs4Pzo7R89JM9lxwoT,"dance rock,new romantic,new wave,new wave pop,rock,synthpop"
Kim Wilde,360993,62,spotify:artist:73a6pNH4YtLNgDbPQwXveo,https://api.spotify.com/v1/artists/73a6pNH4YtLNgDbPQwXveo,"dance rock,europop,new romantic,new wave,new wave pop,soft rock"
Yazoo,326739,60,spotify:artist:1G1mX30GpUJqOr1QU2eBSs,https://api.spotify.com/v1/artists/1G1mX30GpUJqOr1QU2eBSs,"dance rock,new romantic,new wave,new wave pop,synthpop"
Cold Chisel,504395,63,spotify:artist:1VcbchGlIfo3Gylxc3F076,https://api.spotify.com/v1/artists/1VcbchGlIfo3Gylxc3F076,"australian pop,australian rock"
Pete Shelley,10623,37,spotify:artist:7r2lG8Ui6vGHAgsKlE8Hd8,https://api.spotify.com/v1/artists/7r2lG8Ui6vGHAgsKlE8Hd8,"dance rock,new romantic,new wave,synthpop"
The Human League,678850,65,spotify:artist:1aX2dmV8XoHYCOQRxjPESG,https://api.spotify.com/v1/artists/1aX2dmV8XoHYCOQRxjPESG,"art rock,dance rock,new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop"
Quarterflash,57612,42,spotify:artist:3VJakY5Yw5phAOF4Bada5v,https://api.spotify.com/v1/artists/3VJakY5Yw5phAOF4Bada5v,"album rock,new wave pop,soft rock"
Sheena Easton,345682,60,spotify:artist:5dcOK4stT4JDkP6Dqhbz5s,https://api.spotify.com/v1/artists/5dcOK4stT4JDkP6Dqhbz5s,"adult standards,mellow gold,minneapolis sound,new romantic,new wave pop,soft rock"
Adam Ant,164515,48,spotify:artist:3QP0XPDwbvGivqDAaJ5f5G,https://api.spotify.com/v1/artists/3QP0XPDwbvGivqDAaJ5f5G,"dance rock,new romantic,new wave,new wave pop,permanent wave"
The Clash,1952053,75,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,https://api.spotify.com/v1/artists/3RGLhK1IP9jnYFH4BRFJBS,"classic rock,dance rock,permanent wave,punk,rock"
Shakin' Stevens,83950,56,spotify:artist:0wi4yTYlGtEnbGo4ltZTib,https://api.spotify.com/v1/artists/0wi4yTYlGtEnbGo4ltZTib,"classic uk pop,new wave pop,rock-and-roll,rockabilly"
Vangelis,361645,64,spotify:artist:4P70aqttdpJ9vuYFDmf7f6,https://api.spotify.com/v1/artists/4P70aqttdpJ9vuYFDmf7f6,"cyberpunk,new age"
Depeche Mode,3384760,77,spotify:artist:762310PdDnwsDxAQxzQkfX,https://api.spotify.com/v1/artists/762310PdDnwsDxAQxzQkfX,"dance rock,new romantic,new wave,permanent wave,synthpop"
Dave Stewart,15343,72,spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,https://api.spotify.com/v1/artists/7gcCQIlkkfbul5Mt0jBQkg,"new wave pop,rock keyboard"
Barbara Gaskin,18,0,spotify:artist:0xnTfWT7hHDQVI7Dj18kja,https://api.spotify.com/v1/artists/0xnTfWT7hHDQVI7Dj18kja,
Adrian Gurvitz,3753,40,spotify:artist:1VKSw4zNYbYK2BXbOOXkcd,https://api.spotify.com/v1/artists/1VKSw4zNYbYK2BXbOOXkcd,yacht rock
Joe Jackson,235483,59,spotify:artist:6KOqPxwfNAmZPkiCnDE9yT,https://api.spotify.com/v1/artists/6KOqPxwfNAmZPkiCnDE9yT,"album rock,art rock,classic rock,classic uk pop,dance rock,folk rock,mellow gold,new romantic,new wave,new wave pop,permanent wave,power pop,pub rock,rock,soft rock,sophisti-pop"
Roxy Music,585897,65,spotify:artist:3fhOTtm0LBJ3Ojn4hIljLo,https://api.spotify.com/v1/artists/3fhOTtm0LBJ3Ojn4hIljLo,"album rock,art rock,classic rock,classic uk pop,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop"
Frida,18480,43,spotify:artist:5uOVb4hLSQVbHbVVt27tV1,https://api.spotify.com/v1/artists/5uOVb4hLSQVbHbVVt27tV1,classic swedish pop
The Members,11672,32,spotify:artist:4aUvbQAAA2SLQUH8ib96yn,https://api.spotify.com/v1/artists/4aUvbQAAA2SLQUH8ib96yn,pub rock
Jon & Vangelis,107490,51,spotify:artist:5gS1uXayWA0WJPgcRqNIae,https://api.spotify.com/v1/artists/5gS1uXayWA0WJPgcRqNIae,"art rock,new age,progressive rock,soft rock,symphonic rock"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
