name,followers,popularity,uri,link,genres
Donny Osmond,61194,61,spotify:artist:5ZEAzHE2TzAwUcOj6jMIgf,https://api.spotify.com/v1/artists/5ZEAzHE2TzAwUcOj6jMIgf,"bubblegum pop,classic uk pop,soft rock"
Harry Nilsson,267512,63,spotify:artist:3RTzAwFprBqiskp550eSJX,https://api.spotify.com/v1/artists/3RTzAwFprBqiskp550eSJX,"art rock,brill building pop,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk"
Hot Butter,3486,36,spotify:artist:2vaRrv3i7PDOXPEue24qe5,https://api.spotify.com/v1/artists/2vaRrv3i7PDOXPEue24qe5,"early synthpop,moog"
Don McLean,532201,69,spotify:artist:1gRNBaI4yn6wCCTvRhGWh8,https://api.spotify.com/v1/artists/1gRNBaI4yn6wCCTvRhGWh8,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock,traditional folk"
The Mom & Dads,106,9,spotify:artist:6qQuq3ESDPn2AdRfJq91ap,https://api.spotify.com/v1/artists/6qQuq3ESDPn2AdRfJq91ap,
Blackfeather,1131,16,spotify:artist:67dnqvT66VC7F7EEMbhfWS,https://api.spotify.com/v1/artists/67dnqvT66VC7F7EEMbhfWS,psychedelic blues-rock
Neale Johns,5,12,spotify:artist:6kWGNWHotbmfa8nT5qQPYY,https://api.spotify.com/v1/artists/6kWGNWHotbmfa8nT5qQPYY,
Wayne Newton,31011,46,spotify:artist:5NX29TmuYrENlpvz6IgYMJ,https://api.spotify.com/v1/artists/5NX29TmuYrENlpvz6IgYMJ,"adult standards,easy listening,lounge"
Roberta Flack,589415,67,spotify:artist:0W498bDDNlJIrYMKXdpLHA,https://api.spotify.com/v1/artists/0W498bDDNlJIrYMKXdpLHA,"adult standards,classic soul,disco,funk,mellow gold,motown,quiet storm,soft rock,soul,vocal jazz"
David Cassidy,65015,45,spotify:artist:0isDnZYMWbwDz7hzw0XRjt,https://api.spotify.com/v1/artists/0isDnZYMWbwDz7hzw0XRjt,"bubblegum pop,soft rock"
The Pipes And Drums Of The Military Band Of The Royal Scots Dragoon Guards,870,18,spotify:artist:0ixoQEGQlpDWv7I8oRDd0E,https://api.spotify.com/v1/artists/0ixoQEGQlpDWv7I8oRDd0E,
Melanie,65855,50,spotify:artist:6sOP8RUFR0q0nBOBOXGdBK,https://api.spotify.com/v1/artists/6sOP8RUFR0q0nBOBOXGdBK,"classic uk pop,folk,folk rock,persian pop,traditional folk"
Billy Thorpe & The Aztecs,39246,41,spotify:artist:4Zwtv7Mc3eHv465GJ6au6n,https://api.spotify.com/v1/artists/4Zwtv7Mc3eHv465GJ6au6n,australian rock
Gilbert O'Sullivan,195299,59,spotify:artist:4HVmeVTQBgvTuvjB1JYwaf,https://api.spotify.com/v1/artists/4HVmeVTQBgvTuvjB1JYwaf,"adult standards,bubblegum pop,classic uk pop,folk rock,mellow gold,soft rock"
Jimmy Osmond,1971,22,spotify:artist:0ix7E72xX5yWLJYEoowXFh,https://api.spotify.com/v1/artists/0ix7E72xX5yWLJYEoowXFh,
Dr. Hook,290713,63,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,https://api.spotify.com/v1/artists/2Mhi3jfuRSdbVZPdjqsnnN,"bubblegum pop,classic rock,classic uk pop,country rock,folk rock,mellow gold,soft rock"
The Hollies,720057,66,spotify:artist:6waa8mKu91GjzD4NlONlNJ,https://api.spotify.com/v1/artists/6waa8mKu91GjzD4NlONlNJ,"album rock,art rock,brill building pop,british invasion,bubblegum pop,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,merseybeat,psychedelic rock,rock,rock-and-roll,soft rock"
Benny Hill,5941,29,spotify:artist:2Qex50xFT7kAjim1jimBWV,https://api.spotify.com/v1/artists/2Qex50xFT7kAjim1jimBWV,"british comedy,comic,music hall"
The Partridge Family,60703,48,spotify:artist:7u1mqP3ykglpCB2c1p1p5I,https://api.spotify.com/v1/artists/7u1mqP3ykglpCB2c1p1p5I,bubblegum pop
