name,followers,popularity,uri,link,genres
Dawn,1082,40,spotify:artist:1vjeJ712UQutRhn6WJI4sF,https://api.spotify.com/v1/artists/1vjeJ712UQutRhn6WJI4sF,
Tony Orlando,24425,45,spotify:artist:6PNZ6ZfwWLiUA2BrranFl3,https://api.spotify.com/v1/artists/6PNZ6ZfwWLiUA2BrranFl3,"brill building pop,bubblegum pop"
Shirley Bassey,169051,57,spotify:artist:090VebphoycdEyH165iMqc,https://api.spotify.com/v1/artists/090VebphoycdEyH165iMqc,"adult standards,classic uk pop,easy listening,lounge,vocal jazz"
Carly Simon,650013,67,spotify:artist:4FtSnMlCVxCswABUmdhwpm,https://api.spotify.com/v1/artists/4FtSnMlCVxCswABUmdhwpm,"adult standards,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock"
Col Joye,1049,6,spotify:artist:0qwJS5OuHA4ce2OqjHaZb7,https://api.spotify.com/v1/artists/0qwJS5OuHA4ce2OqjHaZb7,
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Helen Reddy,159584,57,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,https://api.spotify.com/v1/artists/0Sq7oGrYEe0BDmb13wgjOO,"adult standards,brill building pop,bubblegum pop,classic uk pop,folk,mellow gold,soft rock"
Suzi Quatro,214002,58,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,https://api.spotify.com/v1/artists/15jHZ1EZwmm2QDjKctvqJQ,"classic uk pop,glam rock"
Lobo,246118,60,spotify:artist:1sldhz8tzC100cRAdfnMht,https://api.spotify.com/v1/artists/1sldhz8tzC100cRAdfnMht,"adult standards,brill building pop,bubblegum pop,classic uk pop,folk,folk rock,mellow gold,soft rock"
Perry Como,274962,63,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,https://api.spotify.com/v1/artists/5v8jlSmAQfrkTjAlpUfWtu,"adult standards,brill building pop,easy listening,lounge,vocal jazz"
Jud Strunk,38,7,spotify:artist:3Q68nynET81w3iLWZYEBVU,https://api.spotify.com/v1/artists/3Q68nynET81w3iLWZYEBVU,
Donna Fargo,43257,36,spotify:artist:4tIQ6BeFRvYApoAyJmaeVC,https://api.spotify.com/v1/artists/4tIQ6BeFRvYApoAyJmaeVC,classic country pop
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
