name,followers,popularity,uri,link,genres
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Queen,29366306,90,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d,"classic rock,glam rock,rock"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Elton John,5974710,85,spotify:artist:3PhoLpVuITZKcymswpck5b,https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b,"glam rock,mellow gold,piano rock,soft rock"
Kiki Dee,10642,66,spotify:artist:4vjGlQWexbru6aOUCLTVir,https://api.spotify.com/v1/artists/4vjGlQWexbru6aOUCLTVir,classic uk pop
Ted Mulry Gang,15242,37,spotify:artist:1o711LqmNPfr4wUF9KEJIE,https://api.spotify.com/v1/artists/1o711LqmNPfr4wUF9KEJIE,australian rock
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Fox,488,25,spotify:artist:5ezs1quhJaLV7bq3FmNWxu,https://api.spotify.com/v1/artists/5ezs1quhJaLV7bq3FmNWxu,classic uk pop
Bryan Ferry,327225,62,spotify:artist:5RNFFojXkPRmlJZIwXeKQC,https://api.spotify.com/v1/artists/5RNFFojXkPRmlJZIwXeKQC,"album rock,art rock,classic uk pop,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop"
C.W. McCall,54446,50,spotify:artist:0iTkPxRldzi5lmS6qZ70JV,https://api.spotify.com/v1/artists/0iTkPxRldzi5lmS6qZ70JV,truck-driving country
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
R & J Stone,72,4,spotify:artist:24t7BfFr5OnU82pCefOOFF,https://api.spotify.com/v1/artists/24t7BfFr5OnU82pCefOOFF,
Pussycat,47043,51,spotify:artist:2rmQ5EEAIkloNGWdGlvCYM,https://api.spotify.com/v1/artists/2rmQ5EEAIkloNGWdGlvCYM,"classic uk pop,nederpop"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Max Merritt,1116,36,spotify:artist:7Ew8IOlYDqnmn7wO68vSnc,https://api.spotify.com/v1/artists/7Ew8IOlYDqnmn7wO68vSnc,"australian rock,classic nz pop,pub rock"
The Meteors,47876,44,spotify:artist:7a2sloQlmdKSmj3fwMMpg9,https://api.spotify.com/v1/artists/7a2sloQlmdKSmj3fwMMpg9,"psychobilly,pub rock,rockabilly"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Ted Mulry Gang,15242,37,spotify:artist:1o711LqmNPfr4wUF9KEJIE,https://api.spotify.com/v1/artists/1o711LqmNPfr4wUF9KEJIE,australian rock
John Paul Young,14250,53,spotify:artist:2wMcQIxzH2LYHJZNxo9FcN,https://api.spotify.com/v1/artists/2wMcQIxzH2LYHJZNxo9FcN,"australian dance,australian rock,classic uk pop"
Billy Ocean,589200,67,spotify:artist:5IDs1CK15HegSAhGEbSYXo,https://api.spotify.com/v1/artists/5IDs1CK15HegSAhGEbSYXo,"dance rock,disco,europop,mellow gold,motown,new romantic,new wave pop,soft rock,yacht rock"
David Dundas,1663,37,spotify:artist:1NcUsr07BOPEQHnREfVUPh,https://api.spotify.com/v1/artists/1NcUsr07BOPEQHnREfVUPh,classic uk pop
Chicago,2062337,73,spotify:artist:3iDD7bnsjL9J4fO298r0L0,https://api.spotify.com/v1/artists/3iDD7bnsjL9J4fO298r0L0,"adult standards,album rock,classic rock,folk rock,mellow gold,soft rock,yacht rock"
Frankie Valli & The Four Seasons,395226,68,spotify:artist:6mcrZQmgzFGRWf7C0SObou,https://api.spotify.com/v1/artists/6mcrZQmgzFGRWf7C0SObou,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,lounge,motown,northern soul,rock-and-roll"
Marcia Hines,14636,33,spotify:artist:7pUbbv62ajr1JDVFaftZJT,https://api.spotify.com/v1/artists/7pUbbv62ajr1JDVFaftZJT,"australian dance,australian pop,australian rock"
Penny McLean,1455,29,spotify:artist:2EqPo7BwJq5UJsE5nWqgrk,https://api.spotify.com/v1/artists/2EqPo7BwJq5UJsE5nWqgrk,
David Essex,46024,43,spotify:artist:46n0cAhBmsRJZiX6GSFmbf,https://api.spotify.com/v1/artists/46n0cAhBmsRJZiX6GSFmbf,"bubblegum pop,classic uk pop,glam rock"
Cliff Richard,200157,62,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,https://api.spotify.com/v1/artists/2nvKpWcP8etYTq4JrRiUiy,"adult standards,brill building pop,bubblegum pop,classic uk pop,mellow gold,rock-and-roll,rockabilly,soft rock"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
Harpo,17026,48,spotify:artist:6HsEXxUSqMXmIwbYVW6zdt,https://api.spotify.com/v1/artists/6HsEXxUSqMXmIwbYVW6zdt,"classic swedish pop,classic uk pop"
Jim Capaldi,3598,34,spotify:artist:1XIbUq7y7kiMUhmp5dywGx,https://api.spotify.com/v1/artists/1XIbUq7y7kiMUhmp5dywGx,british blues
Maxine Nightingale,7814,56,spotify:artist:6jQ9UtYXqNfVnPkrH1Xxwi,https://api.spotify.com/v1/artists/6jQ9UtYXqNfVnPkrH1Xxwi,classic uk pop
Hot Chocolate,167548,62,spotify:artist:72VzFto8DYvKHocaHYNWSi,https://api.spotify.com/v1/artists/72VzFto8DYvKHocaHYNWSi,"classic uk pop,disco,mellow gold,motown,new wave pop,soft rock"
The Manhattans,319714,55,spotify:artist:1DpIDwg8FGD50N9Tfunfsf,https://api.spotify.com/v1/artists/1DpIDwg8FGD50N9Tfunfsf,"classic soul,disco,funk,motown,philly soul,quiet storm,soul,southern soul,urban contemporary"
Kenny,1342,27,spotify:artist:0qxyoztRV9knOM9BcCgkqU,https://api.spotify.com/v1/artists/0qxyoztRV9knOM9BcCgkqU,
David Essex,46024,43,spotify:artist:46n0cAhBmsRJZiX6GSFmbf,https://api.spotify.com/v1/artists/46n0cAhBmsRJZiX6GSFmbf,"bubblegum pop,classic uk pop,glam rock"
Sailor,23991,43,spotify:artist:4pE3KE9J1Z1LKzjwLtWU21,https://api.spotify.com/v1/artists/4pE3KE9J1Z1LKzjwLtWU21,"classic uk pop,nederpop"
Dr. Hook,290713,63,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,https://api.spotify.com/v1/artists/2Mhi3jfuRSdbVZPdjqsnnN,"bubblegum pop,classic rock,classic uk pop,country rock,folk rock,mellow gold,soft rock"
Candi Staton,47813,58,spotify:artist:3S34Unhn5yRcaH5K9aU5Et,https://api.spotify.com/v1/artists/3S34Unhn5yRcaH5K9aU5Et,"classic soul,disco,motown,quiet storm,soul,southern soul"
Dorothy Moore,18929,41,spotify:artist:3KQOgtRIeQVHdYFcNHKavs,https://api.spotify.com/v1/artists/3KQOgtRIeQVHdYFcNHKavs,"classic soul,southern soul"
The Sylvers,7867,38,spotify:artist:0efkWb9xKhT6H0E7kgSjFK,https://api.spotify.com/v1/artists/0efkWb9xKhT6H0E7kgSjFK,"classic soul,disco,funk,post-disco,quiet storm"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Brotherhood of Man,27684,38,spotify:artist:4Cyr5aqgXza16isOrQNOvo,https://api.spotify.com/v1/artists/4Cyr5aqgXza16isOrQNOvo,"bubblegum pop,classic uk pop"
Nazareth,788653,63,spotify:artist:6fvN9GmMCVKb5LY0WsnjFP,https://api.spotify.com/v1/artists/6fvN9GmMCVKb5LY0WsnjFP,"album rock,blues rock,classic rock,hard rock,mellow gold,metal,rock"
Rick Dees And His Cast Of Idiots,61,4,spotify:artist:1NXHmX8Ce3PgDrEixLWBSS,https://api.spotify.com/v1/artists/1NXHmX8Ce3PgDrEixLWBSS,
Tina Charles,59480,51,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,https://api.spotify.com/v1/artists/7Jbs4wPCLaKXPxrTxZ2zaa,"classic uk pop,disco,hi-nrg"
The Bellamy Brothers,198180,63,spotify:artist:5iB5AWIa7qreioi0AF3Bxa,https://api.spotify.com/v1/artists/5iB5AWIa7qreioi0AF3Bxa,"country,country rock"
ABBA,4737412,81,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV,"europop,swedish pop"
Donna Summer,1123581,72,spotify:artist:2eogQKWWoohI3BSnoG7E2U,https://api.spotify.com/v1/artists/2eogQKWWoohI3BSnoG7E2U,"dance pop,disco,europop,hi-nrg,motown,new wave pop"
KC & The Sunshine Band,599181,67,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,https://api.spotify.com/v1/artists/3mQBpAOMWYqAZyxtyeo4Lo,"disco,funk,motown,soft rock"
Barry Manilow,851923,67,spotify:artist:3alW3LYQS8K29z8C8NSLIX,https://api.spotify.com/v1/artists/3alW3LYQS8K29z8C8NSLIX,"adult standards,bubblegum pop,disco,lounge,mellow gold,quiet storm,soft rock,yacht rock"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Bob Dylan,4566475,78,spotify:artist:74ASZWbe4lXaubB36ztrGX,https://api.spotify.com/v1/artists/74ASZWbe4lXaubB36ztrGX,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter"
5000 Volts,1123,22,spotify:artist:4U9FglMGShioV0yV8qcNFd,https://api.spotify.com/v1/artists/4U9FglMGShioV0yV8qcNFd,"classic uk pop,disco"
Starland Vocal Band,7704,49,spotify:artist:66QeIFuFJDNCImNHlFzrY1,https://api.spotify.com/v1/artists/66QeIFuFJDNCImNHlFzrY1,soft rock
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
Yvonne Fair,3887,40,spotify:artist:4mGB0olhR5RpsEZWn0cqA8,https://api.spotify.com/v1/artists/4mGB0olhR5RpsEZWn0cqA8,"classic soul,motown"
KISS,5097276,76,spotify:artist:07XSN3sPlIlB2L2XNcTwJw,https://api.spotify.com/v1/artists/07XSN3sPlIlB2L2XNcTwJw,"album rock,classic rock,glam rock,hard rock,metal,rock"
Sherbet,23419,40,spotify:artist:45NevEaV0GyRopWoADDPr2,https://api.spotify.com/v1/artists/45NevEaV0GyRopWoADDPr2,australian rock
Sweet,264106,64,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,https://api.spotify.com/v1/artists/3JaAGmSTpJK35DqWrDUzBz,"album rock,blues rock,classic rock,classic uk pop,glam rock,hard rock,rock"
AC/DC,16484410,86,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,"australian rock,hard rock,rock"
Captain & Tennille,237652,59,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,https://api.spotify.com/v1/artists/7BEfMxbaqx6dOpbtlEqScm,"adult standards,brill building pop,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock,yacht rock"
Daryl Braithwaite,105425,60,spotify:artist:4t52ndk0OkAxtb4vMDLPhe,https://api.spotify.com/v1/artists/4t52ndk0OkAxtb4vMDLPhe,"australian pop,australian rock"
Supernaut,391,14,spotify:artist:6eAwF1ZzHVQjE3BABAlf1H,https://api.spotify.com/v1/artists/6eAwF1ZzHVQjE3BABAlf1H,glam rock
Eric Carmen,180795,66,spotify:artist:2ekjTXgjxbWwBX5lTAj4DU,https://api.spotify.com/v1/artists/2ekjTXgjxbWwBX5lTAj4DU,"adult standards,album rock,bubblegum pop,disco,mellow gold,new wave pop,soft rock,yacht rock"
Skyhooks,115256,45,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,https://api.spotify.com/v1/artists/1vdU5KvV0nDAjPRfpRKjRL,"australian alternative rock,australian rock,glam rock"
Bryan Ferry,327225,62,spotify:artist:5RNFFojXkPRmlJZIwXeKQC,https://api.spotify.com/v1/artists/5RNFFojXkPRmlJZIwXeKQC,"album rock,art rock,classic uk pop,dance rock,glam rock,melancholia,mellow gold,new romantic,new wave,new wave pop,rock,soft rock,sophisti-pop"
Ike & Tina Turner,167607,60,spotify:artist:1ZikppG9dPedbIgMfnfx8k,https://api.spotify.com/v1/artists/1ZikppG9dPedbIgMfnfx8k,"brill building pop,classic soul,motown,soul,southern soul"
Mark Holden,217,4,spotify:artist:0st2uLeud3MMdZNfZtISYq,https://api.spotify.com/v1/artists/0st2uLeud3MMdZNfZtISYq,
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
Joe Dolan,15308,44,spotify:artist:3sebqZKFZ8aJsgQu4YaKQh,https://api.spotify.com/v1/artists/3sebqZKFZ8aJsgQu4YaKQh,"classic uk pop,irish country"
Ol' 55,9692,30,spotify:artist:3UmfCgpdKzg2WTa6453o4E,https://api.spotify.com/v1/artists/3UmfCgpdKzg2WTa6453o4E,australian rock
Bay City Rollers,112932,54,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,https://api.spotify.com/v1/artists/3r9TXuXfOUxXjgYgAR0fP8,"bubblegum pop,classic uk pop,soft rock"
Skyhooks,115256,45,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,https://api.spotify.com/v1/artists/1vdU5KvV0nDAjPRfpRKjRL,"australian alternative rock,australian rock,glam rock"
Jon English,20573,35,spotify:artist:6H2LnEj5myKc4vVz0huuxW,https://api.spotify.com/v1/artists/6H2LnEj5myKc4vVz0huuxW,australian rock
AC/DC,16484410,86,spotify:artist:711MCceyCBcFnzjGY4Q7Un,https://api.spotify.com/v1/artists/711MCceyCBcFnzjGY4Q7Un,"australian rock,hard rock,rock"
Marcia Hines,14636,33,spotify:artist:7pUbbv62ajr1JDVFaftZJT,https://api.spotify.com/v1/artists/7pUbbv62ajr1JDVFaftZJT,"australian dance,australian pop,australian rock"
Captain & Tennille,237652,59,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,https://api.spotify.com/v1/artists/7BEfMxbaqx6dOpbtlEqScm,"adult standards,brill building pop,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock,yacht rock"
Leo Sayer,286719,62,spotify:artist:04LIHk1SobiQwt2tlupoAV,https://api.spotify.com/v1/artists/04LIHk1SobiQwt2tlupoAV,"adult standards,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock"
Dr. Hook,290713,63,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,https://api.spotify.com/v1/artists/2Mhi3jfuRSdbVZPdjqsnnN,"bubblegum pop,classic rock,classic uk pop,country rock,folk rock,mellow gold,soft rock"
Morris Albert,9228,41,spotify:artist:4sFsq7NFJ0zz0uN3Zb6QJ9,https://api.spotify.com/v1/artists/4sFsq7NFJ0zz0uN3Zb6QJ9,
Ted Mulry Gang,15242,37,spotify:artist:1o711LqmNPfr4wUF9KEJIE,https://api.spotify.com/v1/artists/1o711LqmNPfr4wUF9KEJIE,australian rock
Manfred Mann's Earth Band,251049,60,spotify:artist:2utNxkLhreF1oIfO8kQT3q,https://api.spotify.com/v1/artists/2utNxkLhreF1oIfO8kQT3q,"album rock,art rock,british blues,classic rock,hard rock,progressive rock,symphonic rock"
Silver Convention,51334,43,spotify:artist:5QHvbEwccF3WANUD5lEIuA,https://api.spotify.com/v1/artists/5QHvbEwccF3WANUD5lEIuA,disco
Walter Murphy,7685,42,spotify:artist:73JBR5s2PVvUjGu6tIqjqx,https://api.spotify.com/v1/artists/73JBR5s2PVvUjGu6tIqjqx,"disco,hammond organ"
Air Supply,2000643,73,spotify:artist:4xXCRXOfQKQ2gjWxNhNzYW,https://api.spotify.com/v1/artists/4xXCRXOfQKQ2gjWxNhNzYW,"adult standards,mellow gold,soft rock"
Billy Joel,2983579,80,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,https://api.spotify.com/v1/artists/6zFYqv1mOsgBRQbae3JJ9e,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock"
George Baker Selection,29688,55,spotify:artist:2MGJBRRGEj9m6MxJIq7fLn,https://api.spotify.com/v1/artists/2MGJBRRGEj9m6MxJIq7fLn,"classic uk pop,nederpop"
John Paul Young,14250,53,spotify:artist:2wMcQIxzH2LYHJZNxo9FcN,https://api.spotify.com/v1/artists/2wMcQIxzH2LYHJZNxo9FcN,"australian dance,australian rock,classic uk pop"
Ol' 55,9692,30,spotify:artist:3UmfCgpdKzg2WTa6453o4E,https://api.spotify.com/v1/artists/3UmfCgpdKzg2WTa6453o4E,australian rock
Ol' 55,9692,30,spotify:artist:3UmfCgpdKzg2WTa6453o4E,https://api.spotify.com/v1/artists/3UmfCgpdKzg2WTa6453o4E,australian rock
Silver Convention,51334,43,spotify:artist:5QHvbEwccF3WANUD5lEIuA,https://api.spotify.com/v1/artists/5QHvbEwccF3WANUD5lEIuA,disco
Andrea True Connection,20037,42,spotify:artist:3GHovBcEWpbnwCZDPF9GpM,https://api.spotify.com/v1/artists/3GHovBcEWpbnwCZDPF9GpM,disco
Fleetwood Mac,5334690,87,spotify:artist:08GQAI4eElDnROBrJRGE0X,https://api.spotify.com/v1/artists/08GQAI4eElDnROBrJRGE0X,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock"
