name,followers,popularity,uri,link,genres
Lou Bega,71997,64,spotify:artist:46lnlnlU0dXTDpoAUmH6Qx,https://api.spotify.com/v1/artists/46lnlnlU0dXTDpoAUmH6Qx,latin pop
Britney Spears,7894578,83,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,"dance pop,pop,pop rap,post-teen pop"
Eiffel 65,221418,68,spotify:artist:64rxQRJsLgZwHHyWKB8fiF,https://api.spotify.com/v1/artists/64rxQRJsLgZwHHyWKB8fiF,"bubblegum dance,eurodance,europop,italian pop,italo dance"
Gabry Ponte,252200,76,spotify:artist:5ENS85nZShljwNgg4wFD7D,https://api.spotify.com/v1/artists/5ENS85nZShljwNgg4wFD7D,"eurodance,italo dance"
Pearl Jam,6090105,80,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,https://api.spotify.com/v1/artists/1w5Kfo2jwwIPruYS2UWh56,"alternative rock,grunge,permanent wave,pop rock,rock"
The Offspring,3789625,78,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,"alternative metal,permanent wave,pop punk,punk,rock,skate punk,socal pop punk"
Cher,1770127,73,spotify:artist:72OaDtakiy6yFqkt4TsiFt,https://api.spotify.com/v1/artists/72OaDtakiy6yFqkt4TsiFt,"dance pop,hollywood,new wave pop,pop"
Madison Avenue,12462,54,spotify:artist:6otgz5gkB40UnWFwTy0VDh,https://api.spotify.com/v1/artists/6otgz5gkB40UnWFwTy0VDh,"disco house,vocal house"
Shania Twain,2047683,75,spotify:artist:5e4Dhzv426EvQe3aDb64jL,https://api.spotify.com/v1/artists/5e4Dhzv426EvQe3aDb64jL,"canadian country,canadian pop,country,country dawn,dance pop"
The Offspring,3789625,78,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,https://api.spotify.com/v1/artists/5LfGQac0EIXyAN8aUwmNAQ,"alternative metal,permanent wave,pop punk,punk,rock,skate punk,socal pop punk"
Christina Aguilera,5510189,82,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,"dance pop,pop,pop rap,post-teen pop"
Santana,1735764,74,spotify:artist:6GI52t8N5F02MxU0g5U69P,https://api.spotify.com/v1/artists/6GI52t8N5F02MxU0g5U69P,"blues rock,classic rock,mexican classic rock,rock"
Rob Thomas,593904,66,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC,https://api.spotify.com/v1/artists/3aBkeBhwadnWMWoVJ2CxJC,"acoustic pop,neo mellow,pop rock"
TLC,2319312,72,spotify:artist:0TImkz4nPqjegtVSMZnMRq,https://api.spotify.com/v1/artists/0TImkz4nPqjegtVSMZnMRq,"atl hip hop,dance pop,girl group,hip hop,hip pop,new jack swing,pop,pop rap,r&b,urban contemporary"
Five,297720,59,spotify:artist:6rEzedK7cKWjeQWdAYvWVG,https://api.spotify.com/v1/artists/6rEzedK7cKWjeQWdAYvWVG,"boy band,bubblegum dance,dance pop,europop"
S Club 7,399578,63,spotify:artist:1kM5rgJvkiDMOoKX56H6pX,https://api.spotify.com/v1/artists/1kM5rgJvkiDMOoKX56H6pX,"bubblegum dance,dance pop,europop"
Ronan Keating,616759,69,spotify:artist:3nlHsNqwCSvT988ZfSW1Yh,https://api.spotify.com/v1/artists/3nlHsNqwCSvT988ZfSW1Yh,"dance pop,europop,neo mellow,soft rock"
Jennifer Lopez,8771307,81,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,"dance pop,pop,pop rap,post-teen pop,urban contemporary"
Vengaboys,246056,69,spotify:artist:0cwmNvclzPd8mQnoHuIksj,https://api.spotify.com/v1/artists/0cwmNvclzPd8mQnoHuIksj,"bubblegum dance,dance pop,eurodance,europop"
Savage Garden,750674,69,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,"australian pop,boy band,dance pop,europop,pop rock"
Sixpence None The Richer,290721,66,spotify:artist:0lJlKQvuM2Sd9DPPyUXcHg,https://api.spotify.com/v1/artists/0lJlKQvuM2Sd9DPPyUXcHg,"lilith,neo mellow,pop rock"
Ann Lee,9730,51,spotify:artist:1EN7GOzx8aDpiIbVVmQaaC,https://api.spotify.com/v1/artists/1EN7GOzx8aDpiIbVVmQaaC,"eurodance,hip house"
Ricky Martin,5560712,79,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,https://api.spotify.com/v1/artists/7slfeZO9LsJbWgpkIoXBUJ,"dance pop,latin,latin pop,mexican pop,puerto rican pop"
Britney Spears,7894578,83,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,"dance pop,pop,pop rap,post-teen pop"
Cliff Richard,200157,62,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,https://api.spotify.com/v1/artists/2nvKpWcP8etYTq4JrRiUiy,"adult standards,brill building pop,bubblegum pop,classic uk pop,mellow gold,rock-and-roll,rockabilly,soft rock"
Vengaboys,246056,69,spotify:artist:0cwmNvclzPd8mQnoHuIksj,https://api.spotify.com/v1/artists/0cwmNvclzPd8mQnoHuIksj,"bubblegum dance,dance pop,eurodance,europop"
Backstreet Boys,3457728,80,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,https://api.spotify.com/v1/artists/5rSXSAkZ67PYJSvpUpkOr7,"boy band,dance pop,europop,pop"
Backstreet Boys,3457728,80,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,https://api.spotify.com/v1/artists/5rSXSAkZ67PYJSvpUpkOr7,"boy band,dance pop,europop,pop"
Savage Garden,750674,69,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,"australian pop,boy band,dance pop,europop,pop rock"
Sister2sister,3269,27,spotify:artist:6aAAAaBR4MvI5HZz4BeVm0,https://api.spotify.com/v1/artists/6aAAAaBR4MvI5HZz4BeVm0,
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
Monifah,185672,46,spotify:artist:7peqq4aACFkBwIWGG0YRJ9,https://api.spotify.com/v1/artists/7peqq4aACFkBwIWGG0YRJ9,"hip pop,new jack swing,r&b,urban contemporary"
Smash Mouth,657349,70,spotify:artist:2iEvnFsWxR0Syqu2JNopAd,https://api.spotify.com/v1/artists/2iEvnFsWxR0Syqu2JNopAd,"alternative rock,pop punk,pop rock"
Jennifer Lopez,8771307,81,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,"dance pop,pop,pop rap,post-teen pop,urban contemporary"
BZ,5672,38,spotify:artist:3fyHEOOcbca0AhyPGLErpG,https://api.spotify.com/v1/artists/3fyHEOOcbca0AhyPGLErpG,
Joanne,1041,38,spotify:artist:0aHcdeP3SwSYZsCtUbvSf7,https://api.spotify.com/v1/artists/0aHcdeP3SwSYZsCtUbvSf7,
Madonna,4470140,81,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,https://api.spotify.com/v1/artists/6tbjWDEIzxoDsBA1FuhfPW,"dance pop,pop"
Delerium,61279,55,spotify:artist:0IUq1plF3ON4Fboj1bE6kN,https://api.spotify.com/v1/artists/0IUq1plF3ON4Fboj1bE6kN,trance
Sarah McLachlan,575026,68,spotify:artist:4NgNsOXSwIzXlUIJcpnNUp,https://api.spotify.com/v1/artists/4NgNsOXSwIzXlUIJcpnNUp,"canadian pop,canadian singer-songwriter,ectofolk,folk,lilith,neo mellow,new wave pop,permanent wave,pop rock"
Killing Heidi,50572,44,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,https://api.spotify.com/v1/artists/6eQ3AHw7yEVoX87xDS1ZiP,"australian alternative rock,australian pop,australian rock"
TLC,2319312,72,spotify:artist:0TImkz4nPqjegtVSMZnMRq,https://api.spotify.com/v1/artists/0TImkz4nPqjegtVSMZnMRq,"atl hip hop,dance pop,girl group,hip hop,hip pop,new jack swing,pop,pop rap,r&b,urban contemporary"
ATB,233226,61,spotify:artist:7jZM5w05mGhw6wTB1okhD9,https://api.spotify.com/v1/artists/7jZM5w05mGhw6wTB1okhD9,"german dance,german techno,german trance,trance"
Faith Hill,1193668,69,spotify:artist:25NQNriVT2YbSW80ILRWJa,https://api.spotify.com/v1/artists/25NQNriVT2YbSW80ILRWJa,"contemporary country,country,country dawn,country road,dance pop,pop rock"
The Supertroupers,24,7,spotify:artist:4XibLlBGEOwM0aJmQtFMpp,https://api.spotify.com/v1/artists/4XibLlBGEOwM0aJmQtFMpp,
Britney Spears,7894578,83,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://api.spotify.com/v1/artists/26dSoYclwsYLMAKD3tpOr4,"dance pop,pop,pop rap,post-teen pop"
Shawn Mullins,32848,50,spotify:artist:4TROLx8HvrnfGGNo2ngL2N,https://api.spotify.com/v1/artists/4TROLx8HvrnfGGNo2ngL2N,"neo mellow,pop rock"
Fuel,514819,61,spotify:artist:0EyuKHE1AeE9lWUF8mzKVp,https://api.spotify.com/v1/artists/0EyuKHE1AeE9lWUF8mzKVp,"alternative metal,alternative rock,nu metal,pop rock,post-grunge,rap rock,rock"
Shania Twain,2047683,75,spotify:artist:5e4Dhzv426EvQe3aDb64jL,https://api.spotify.com/v1/artists/5e4Dhzv426EvQe3aDb64jL,"canadian country,canadian pop,country,country dawn,dance pop"
Spice Girls,1945666,72,spotify:artist:0uq5PttqEjj3IH1bzwcrXF,https://api.spotify.com/v1/artists/0uq5PttqEjj3IH1bzwcrXF,"dance pop,europop,girl group,pop,pop rock"
Shanks & Bigfoot,2130,35,spotify:artist:2HdJwHponT4dLmV57ry159,https://api.spotify.com/v1/artists/2HdJwHponT4dLmV57ry159,uk garage
Brandy,1841530,72,spotify:artist:05oH07COxkXKIMt6mIPRee,https://api.spotify.com/v1/artists/05oH07COxkXKIMt6mIPRee,"dance pop,hip pop,neo soul,pop,pop r&b,pop rap,r&b,urban contemporary"
Billie Piper,71312,38,spotify:artist:3RjnAn8EWb7zaLlGWVxQeP,https://api.spotify.com/v1/artists/3RjnAn8EWb7zaLlGWVxQeP,"bubblegum dance,dance pop,europop"
Will Smith,714535,73,spotify:artist:41qil2VaGbD194gaEcmmyx,https://api.spotify.com/v1/artists/41qil2VaGbD194gaEcmmyx,hip hop
Dru Hill,913036,60,spotify:artist:1255GTUKNCLCTvH9ctD4cT,https://api.spotify.com/v1/artists/1255GTUKNCLCTvH9ctD4cT,"dance pop,hip hop,hip pop,neo soul,new jack swing,pop rap,quiet storm,r&b,southern hip hop,urban contemporary"
Kool Moe Dee,143574,58,spotify:artist:2RE8NwNxsOyuNZDD0jRxHP,https://api.spotify.com/v1/artists/2RE8NwNxsOyuNZDD0jRxHP,"east coast hip hop,electro,gangster rap,harlem hip hop,hip hop,hip house,new jack swing,old school hip hop,rap"
Mariah Carey,5968746,82,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ,"dance pop,pop,r&b,urban contemporary"
JAY-Z,5663811,87,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://api.spotify.com/v1/artists/3nFkdlSjzX9mRTtwJOzDYB,"east coast hip hop,hip hop,pop rap,rap"
Geri Halliwell,120463,51,spotify:artist:5orH1OWgjAYUX8sZ5gihTv,https://api.spotify.com/v1/artists/5orH1OWgjAYUX8sZ5gihTv,"bubblegum dance,dance pop,electropop,europop"
Lenny Kravitz,2062117,73,spotify:artist:5gznATMVO85ZcLTkE9ULU7,https://api.spotify.com/v1/artists/5gznATMVO85ZcLTkE9ULU7,"permanent wave,pop rock,rock"
Boyzone,617176,64,spotify:artist:6X9aYHnQ75YI8o08aoa0iS,https://api.spotify.com/v1/artists/6X9aYHnQ75YI8o08aoa0iS,"boy band,bubblegum dance,dance pop,europop,pop rock"
Tal Bachman,28690,59,spotify:artist:3KEb1kbIZN5jumsjFEWgSW,https://api.spotify.com/v1/artists/3KEb1kbIZN5jumsjFEWgSW,pop rock
Enrique Iglesias,9625799,81,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://api.spotify.com/v1/artists/7qG3b048QCHVRO5Pv1T5lw,"dance pop,latin,latin pop,mexican pop,pop,tropical"
LCD,350,19,spotify:artist:4lt3B5bsS8d1cfk49gkn9r,https://api.spotify.com/v1/artists/4lt3B5bsS8d1cfk49gkn9r,
