name,followers,popularity,uri,link,genres
Julie Covington,2214,36,spotify:artist:4v3l77BOnLGn6WiegeRVLf,https://api.spotify.com/v1/artists/4v3l77BOnLGn6WiegeRVLf,classic uk pop
Pussyfoot,218,1,spotify:artist:0OOtGN2toWc4doft9Dci9E,https://api.spotify.com/v1/artists/0OOtGN2toWc4doft9Dci9E,queercore
Andy Gibb,361827,56,spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK,https://api.spotify.com/v1/artists/4YPqbAiLzBg5DIfsgQZ8QK,"adult standards,bubblegum pop,disco,mellow gold,soft rock"
Shaun Cassidy,33833,35,spotify:artist:6XJ5IHDtW2OkjtwVllkANt,https://api.spotify.com/v1/artists/6XJ5IHDtW2OkjtwVllkANt,bubblegum pop
Smokie,279721,61,spotify:artist:5rIqOJspxDq89aBBCUda1X,https://api.spotify.com/v1/artists/5rIqOJspxDq89aBBCUda1X,"classic uk pop,europop,mellow gold,soft rock"
Peter Allen,6815,40,spotify:artist:6748v9yNrbb4PPJuvfoMRa,https://api.spotify.com/v1/artists/6748v9yNrbb4PPJuvfoMRa,australian rock
Mary MacGregor,27024,46,spotify:artist:6GlDsAkQHOmNgtUZdJ4Amq,https://api.spotify.com/v1/artists/6GlDsAkQHOmNgtUZdJ4Amq,"adult standards,soft rock"
Dr. Hook,290713,63,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,https://api.spotify.com/v1/artists/2Mhi3jfuRSdbVZPdjqsnnN,"bubblegum pop,classic rock,classic uk pop,country rock,folk rock,mellow gold,soft rock"
Carole Bayer Sager,2820,36,spotify:artist:6yjU0SoX3vxPV7KoopXlWe,https://api.spotify.com/v1/artists/6yjU0SoX3vxPV7KoopXlWe,"classic uk pop,deep soft rock,yacht rock"
Chicago,2062337,73,spotify:artist:3iDD7bnsjL9J4fO298r0L0,https://api.spotify.com/v1/artists/3iDD7bnsjL9J4fO298r0L0,"adult standards,album rock,classic rock,folk rock,mellow gold,soft rock,yacht rock"
David Soul,29259,50,spotify:artist:2eFkm34OMSYRUwP4RAtXaT,https://api.spotify.com/v1/artists/2eFkm34OMSYRUwP4RAtXaT,"bubblegum pop,soft rock"
Boz Scaggs,441479,63,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,https://api.spotify.com/v1/artists/46njgd2Rq9tZc4ZjeQMgbh,"adult standards,album rock,art rock,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock,yacht rock"
Alice Cooper,2211258,69,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,https://api.spotify.com/v1/artists/3EhbVgyfGd7HkpsagwL9GS,"album rock,blues rock,classic rock,glam metal,glam rock,hard rock,metal,protopunk,rock"
Tina Charles,59480,51,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,https://api.spotify.com/v1/artists/7Jbs4wPCLaKXPxrTxZ2zaa,"classic uk pop,disco,hi-nrg"
Leo Sayer,286719,62,spotify:artist:04LIHk1SobiQwt2tlupoAV,https://api.spotify.com/v1/artists/04LIHk1SobiQwt2tlupoAV,"adult standards,bubblegum pop,classic uk pop,disco,folk,folk rock,mellow gold,soft rock"
The Ferrets,1458,24,spotify:artist:3nJsM5uIME4qqS0dD0K0mo,https://api.spotify.com/v1/artists/3nJsM5uIME4qqS0dD0K0mo,
Donna Summer,1123581,72,spotify:artist:2eogQKWWoohI3BSnoG7E2U,https://api.spotify.com/v1/artists/2eogQKWWoohI3BSnoG7E2U,"dance pop,disco,europop,hi-nrg,motown,new wave pop"
Little River Band,637591,62,spotify:artist:6clbbhnIqpHnqxwtOWcilg,https://api.spotify.com/v1/artists/6clbbhnIqpHnqxwtOWcilg,"album rock,art rock,australian rock,bubblegum pop,classic rock,country rock,folk,folk rock,mellow gold,rock,soft rock,yacht rock"
Supercharge,356,8,spotify:artist:5W5GrEqHK9wZ4v0bcgnnNQ,https://api.spotify.com/v1/artists/5W5GrEqHK9wZ4v0bcgnnNQ,
Wings,574519,69,spotify:artist:3sFhA6G1N0gG1pszb6kk1m,https://api.spotify.com/v1/artists/3sFhA6G1N0gG1pszb6kk1m,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock"
Thelma Houston,63908,51,spotify:artist:3sgUnR8TF35euWEV07RPyO,https://api.spotify.com/v1/artists/3sgUnR8TF35euWEV07RPyO,"disco,diva house,motown,post-disco"
Joe Tex,10003,44,spotify:artist:5TbXjzD8tYgMD5JU2g2F8q,https://api.spotify.com/v1/artists/5TbXjzD8tYgMD5JU2g2F8q,"northern soul,southern soul"
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
Boney M.,776339,70,spotify:artist:54R6Y0I7jGUCveDTtI21nb,https://api.spotify.com/v1/artists/54R6Y0I7jGUCveDTtI21nb,"disco,europop"
Kenny Rogers,1358925,73,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,https://api.spotify.com/v1/artists/4tw2Lmn9tTPUv7Gy7mVPI4,"adult standards,classic country pop,country,mellow gold,nashville sound,soft rock"
Flash and the Pan,16218,45,spotify:artist:573nSltoBinkbQXk5JSY9U,https://api.spotify.com/v1/artists/573nSltoBinkbQXk5JSY9U,"dance rock,new romantic,new wave,new wave pop,synthpop"
