name,followers,popularity,uri,link,genres
Lil Nas X,3587363,79,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq,"country rap,lgbtq+ hip hop,pop rap"
Billy Ray Cyrus,172317,73,spotify:artist:60rpJ9SgigSd16DOAG7GSa,https://api.spotify.com/v1/artists/60rpJ9SgigSd16DOAG7GSa,country
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Swae Lee,936126,86,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,https://api.spotify.com/v1/artists/1zNqQNIdeOUZHb8zbZRFMX,"melodic rap,pop rap,rap,trap"
Lewis Capaldi,5370287,88,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB,"pop,uk pop"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Justin Bieber,38595075,95,spotify:artist:1uNFoZAHBGtllmzznpCI3s,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s,"canadian pop,dance pop,pop,post-teen pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Shawn Mendes,29417851,90,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,dance pop,pop,post-teen pop,viral pop"
Camila Cabello,18414633,87,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,https://api.spotify.com/v1/artists/4nDoRrQiYLoBzwC5BhVJzF,"dance pop,pop,post-teen pop"
Lady Gaga,14098516,91,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,"dance pop,pop"
Bradley Cooper,159680,78,spotify:artist:4VIvfOurcf0vuLRxLkGnIG,https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG,hollywood
Ariana Grande,51595036,94,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,"dance pop,pop,post-teen pop"
Dominic Fike,408930,77,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,https://api.spotify.com/v1/artists/6USv9qhCn6zfxlBQIYJ9qs,"alternative pop rock,pop"
benny blanco,643057,79,spotify:artist:5CiGnKThu5ctn9pBxv7DGa,https://api.spotify.com/v1/artists/5CiGnKThu5ctn9pBxv7DGa,"dance pop,pop,pop rap"
Halsey,12410768,91,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Jonas Brothers,4594314,82,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,https://api.spotify.com/v1/artists/7gOdHgIoIKoe4i9Tta6qdD,"boy band,dance pop,pop,pop rock,post-teen pop"
Ed Sheeran,70923744,93,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V,"pop,uk pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Ava Max,2367021,88,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,https://api.spotify.com/v1/artists/4npEfmQ6YuiwW1GpUmaq3F,"dance pop,pop"
MEDUZA,318344,79,spotify:artist:0xRXCcSX89eobfrshSVdyu,https://api.spotify.com/v1/artists/0xRXCcSX89eobfrshSVdyu,"brazilian edm,edm,electro house,pop house"
Goodboys,14694,79,spotify:artist:2nm38smINjms1LtczR0Cei,https://api.spotify.com/v1/artists/2nm38smINjms1LtczR0Cei,uk dance
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Disclosure,1828659,82,spotify:artist:6nS5roXSAGhTGr34W6n7Et,https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et,"house,pop,uk dance"
Halsey,12410768,91,spotify:artist:26VFTg2z8YR0cCuwLzESi2,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop"
Sam Smith,14072592,90,spotify:artist:2wY79sveU1sp5g7SokKOiI,https://api.spotify.com/v1/artists/2wY79sveU1sp5g7SokKOiI,"pop,post-teen pop,uk pop"
Normani,996627,76,spotify:artist:2cWZOOzeOm4WmBJRnD5R7I,https://api.spotify.com/v1/artists/2cWZOOzeOm4WmBJRnD5R7I,"dance pop,pop,post-teen pop,r&b"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Marshmello,27255762,91,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,"brostep,edm,pop,progressive electro house"
Bastille,4491574,81,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,https://api.spotify.com/v1/artists/7EQ0qTo7fWT7DPxmxtSYEc,"metropopolis,modern rock,pop,pop rock"
George Ezra,3261292,77,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,https://api.spotify.com/v1/artists/2ysnwxxNtSgbb9t1m2Ur4j,"folk-pop,modern rock,neo-singer-songwriter,pop,pop rock"
Marshmello,27255762,91,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,"brostep,edm,pop,progressive electro house"
Kane Brown,2861656,83,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE,https://api.spotify.com/v1/artists/3oSJ7TBVCWMDMiYjXNiCKE,contemporary country
Blanco Brown,109625,68,spotify:artist:3yzRiNMZdTsSUgplcyYZ4i,https://api.spotify.com/v1/artists/3yzRiNMZdTsSUgplcyYZ4i,country rap
Travis Scott,13089224,96,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,https://api.spotify.com/v1/artists/0Y5tJX1MQlPlqiwlOH1tJY,rap
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
5 Seconds of Summer,6664547,85,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,https://api.spotify.com/v1/artists/5Rl15oVamLq7FbSb0NNBNy,"boy band,dance pop,pop,post-teen pop"
Lizzo,3248107,80,spotify:artist:56oDRnqbIiwx4mymNEv7dS,https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS,"dance pop,escape room,minnesota hip hop,pop,pop rap,trap queen"
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Loud Luxury,373285,76,spotify:artist:6t1gpxYbY8OlLA7D2RiikQ,https://api.spotify.com/v1/artists/6t1gpxYbY8OlLA7D2RiikQ,"dance pop,edm,electro house,pop,tropical house"
Brando,12345,74,spotify:artist:5uEeqYFuIChoWKy34jp8xE,https://api.spotify.com/v1/artists/5uEeqYFuIChoWKy34jp8xE,dance pop
Ariana Grande,51595036,94,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,"dance pop,pop,post-teen pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
Young Thug,5601505,93,spotify:artist:50co4Is1HCEo8bhOyUWKpn,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn,"atl hip hop,atl trap,gangster rap,melodic rap,pop rap,rap,trap"
Guy Sebastian,330076,69,spotify:artist:5PjekOABtfU2Kwo0AHVmci,https://api.spotify.com/v1/artists/5PjekOABtfU2Kwo0AHVmci,"australian pop,australian talent show"
Shawn Mendes,29417851,90,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://api.spotify.com/v1/artists/7n2wHs1TKAczGzO7Dd2rGr,"canadian pop,dance pop,pop,post-teen pop,viral pop"
KIAN,24770,53,spotify:artist:1TulCA2zO3YxAjQ7ZsvtDq,https://api.spotify.com/v1/artists/1TulCA2zO3YxAjQ7ZsvtDq,"australian hip hop,australian pop"
Tones And I,2184952,83,spotify:artist:2NjfBq1NflQcKSeiDooVjY,https://api.spotify.com/v1/artists/2NjfBq1NflQcKSeiDooVjY,"australian pop,pop"
Drax Project,71192,67,spotify:artist:6S0IvKlvPMX1RtAYtVpUV8,https://api.spotify.com/v1/artists/6S0IvKlvPMX1RtAYtVpUV8,"australian pop,nz pop"
Hailee Steinfeld,6176197,80,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,https://api.spotify.com/v1/artists/5p7f24Rk5HkUZsaS3BLG5F,"dance pop,pop,post-teen pop"
Mark Ronson,849349,79,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,"dance pop,pop"
Miley Cyrus,12857610,88,spotify:artist:5YGY8feqx7naU7z4HrwZM6,https://api.spotify.com/v1/artists/5YGY8feqx7naU7z4HrwZM6,"dance pop,pop,pop rap,post-teen pop"
Lauv,3505467,88,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,https://api.spotify.com/v1/artists/5JZ7CnR6gTvEMKX4g70Amv,"pop,post-teen pop"
Troye Sivan,5025589,81,spotify:artist:3WGpXCj9YhhfX11TToZcXP,https://api.spotify.com/v1/artists/3WGpXCj9YhhfX11TToZcXP,"australian pop,dance pop,electropop,pop,post-teen pop,viral pop"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Ariana Grande,51595036,94,spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR,"dance pop,pop,post-teen pop"
Dean Lewis,1303949,80,spotify:artist:3QSQFmccmX81fWCUSPTS7y,https://api.spotify.com/v1/artists/3QSQFmccmX81fWCUSPTS7y,"australian pop,pop"
Marshmello,27255762,91,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,https://api.spotify.com/v1/artists/64KEffDW9EtZ1y2vBYgq8T,"brostep,edm,pop,progressive electro house"
CHVRCHES,1165854,72,spotify:artist:3CjlHNtplJyTf9npxaPl5w,https://api.spotify.com/v1/artists/3CjlHNtplJyTf9npxaPl5w,"electropop,indie pop,indie poptimism,metropopolis,neo-synthpop,shimmer pop"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Lizzo,3248107,80,spotify:artist:56oDRnqbIiwx4mymNEv7dS,https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS,"dance pop,escape room,minnesota hip hop,pop,pop rap,trap queen"
Regard,102345,81,spotify:artist:4ofCBoyEiGSePFAG500xev,https://api.spotify.com/v1/artists/4ofCBoyEiGSePFAG500xev,"edm,pop,pop edm,tropical house"
