name,followers,popularity,uri,link,genres
Robert Palmer,573442,64,spotify:artist:530Sdm7eqqzWBdDmILMgnu,https://api.spotify.com/v1/artists/530Sdm7eqqzWBdDmILMgnu,"album rock,art rock,classic rock,classic uk pop,dance rock,folk rock,heartland rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock,yacht rock"
Bill Medley,21362,62,spotify:artist:1XE70WwxhnrXNAJYQQ9ygx,https://api.spotify.com/v1/artists/1XE70WwxhnrXNAJYQQ9ygx,soft rock
Jennifer Warnes,44807,67,spotify:artist:1BwHztAQKypBuy5WBEdJnG,https://api.spotify.com/v1/artists/1BwHztAQKypBuy5WBEdJnG,"classic uk pop,folk,lilith"
Cheap Trick,850758,67,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,https://api.spotify.com/v1/artists/1LB8qB5BPb3MHQrfkvifXU,"album rock,art rock,beatlesque,classic rock,dance rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock"
Billy Ocean,589200,67,spotify:artist:5IDs1CK15HegSAhGEbSYXo,https://api.spotify.com/v1/artists/5IDs1CK15HegSAhGEbSYXo,"dance rock,disco,europop,mellow gold,motown,new romantic,new wave pop,soft rock,yacht rock"
Rick Astley,614398,69,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,https://api.spotify.com/v1/artists/0gxyHStUsqpMadRV0Di1Qt,"dance rock,europop,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
Fairground Attraction,23378,46,spotify:artist:1sAkg8871iPVI0wPbOfIZa,https://api.spotify.com/v1/artists/1sAkg8871iPVI0wPbOfIZa,new wave pop
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Louis Armstrong,2107296,74,spotify:artist:19eLuQmk9aCobbVDHc6eek,https://api.spotify.com/v1/artists/19eLuQmk9aCobbVDHc6eek,"adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz"
Crowded House,526242,69,spotify:artist:7ohlPA8dRBtCf92zaZCaaB,https://api.spotify.com/v1/artists/7ohlPA8dRBtCf92zaZCaaB,"australian rock,dance rock,mellow gold,permanent wave,pop rock,rock"
Belinda Carlisle,474120,65,spotify:artist:7xkAwz0bQTGDSbkofyQt3U,https://api.spotify.com/v1/artists/7xkAwz0bQTGDSbkofyQt3U,"dance pop,dance rock,europop,new romantic,new wave pop,pop rock,soft rock"
John Farnham,185577,62,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y,"australian pop,australian rock"
Rick Astley,614398,69,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,https://api.spotify.com/v1/artists/0gxyHStUsqpMadRV0Di1Qt,"dance rock,europop,new romantic,new wave,new wave pop,soft rock,sophisti-pop,synthpop"
Cheap Trick,850758,67,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,https://api.spotify.com/v1/artists/1LB8qB5BPb3MHQrfkvifXU,"album rock,art rock,beatlesque,classic rock,dance rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock"
Bananarama,443739,61,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,https://api.spotify.com/v1/artists/3sc7iUG1Wwpwx7bHeZolgx,"dance pop,dance rock,disco,europop,girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock"
Pat Benatar,948542,66,spotify:artist:43mhFhQ4JAknA7Ik1bOZuV,https://api.spotify.com/v1/artists/43mhFhQ4JAknA7Ik1bOZuV,"album rock,classic rock,dance rock,mellow gold,new wave pop,pop rock,rock,soft rock"
George Michael,2682981,76,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,"dance rock,new wave pop,soft rock"
Morris Minor & The Majors,96,0,spotify:artist:2JL8i7myeRN1OPXCbCo73i,https://api.spotify.com/v1/artists/2JL8i7myeRN1OPXCbCo73i,
Salt-N-Pepa,482171,64,spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ,https://api.spotify.com/v1/artists/7wqtxqI3eo7Gn1P7SpP6cQ,"dance pop,girl group,hip hop,hip house,hip pop,old school hip hop,pop,queens hip hop,rap"
The Timelords (The Jams),856,0,spotify:artist:5ZJrxy9OYHhrIJrIHwm8WK,https://api.spotify.com/v1/artists/5ZJrxy9OYHhrIJrIHwm8WK,
Bros,38391,41,spotify:artist:2LKrAJVB1842xPDvx4uuwU,https://api.spotify.com/v1/artists/2LKrAJVB1842xPDvx4uuwU,new wave pop
Yazz,19282,45,spotify:artist:5ApKaVHAStk5kAuyBW1wG8,https://api.spotify.com/v1/artists/5ApKaVHAStk5kAuyBW1wG8,new wave pop
Choirboys,80940,52,spotify:artist:2u6qHMpQaE48aowjWKJeCM,https://api.spotify.com/v1/artists/2u6qHMpQaE48aowjWKJeCM,australian rock
Phil Collins,3172145,80,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,https://api.spotify.com/v1/artists/4lxfqrEsLX6N1N4OCSkILp,"mellow gold,rock drums,soft rock"
Terence Trent D'Arby,404687,57,spotify:artist:1JpHKf8Ztyd8HXU8p6m9cc,https://api.spotify.com/v1/artists/1JpHKf8Ztyd8HXU8p6m9cc,"dance rock,new romantic,new wave,new wave pop"
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
Chantoozies,5272,25,spotify:artist:27jbY7PPKoVMVzpMBTUsaN,https://api.spotify.com/v1/artists/27jbY7PPKoVMVzpMBTUsaN,australian rock
George Harrison,1644500,71,spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,https://api.spotify.com/v1/artists/7FIoB5PHdrMZVC3q2HE5MS,"album rock,beatlesque,classic rock,folk rock,mellow gold,psychedelic rock,rock,roots rock,soft rock"
Underworld,403824,61,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,https://api.spotify.com/v1/artists/1PXHzxRDiLnjqNrRn2Xbsa,"alternative dance,big beat,electronica"
Bananarama,443739,61,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,https://api.spotify.com/v1/artists/3sc7iUG1Wwpwx7bHeZolgx,"dance pop,dance rock,disco,europop,girl group,hi-nrg,new romantic,new wave,new wave pop,soft rock"
Michael Bolton,1046825,69,spotify:artist:6YHEMoNPbcheiWS2haGzkn,https://api.spotify.com/v1/artists/6YHEMoNPbcheiWS2haGzkn,"adult standards,soft rock"
Tiffany,215579,62,spotify:artist:4C3uGP8vRDzxrhJxZiOjTe,https://api.spotify.com/v1/artists/4C3uGP8vRDzxrhJxZiOjTe,"new wave pop,soft rock"
