name,followers,popularity,uri,link,genres
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
Gang of Youths,215919,62,spotify:artist:142YBUGmLWCJigFLzgguf8,https://api.spotify.com/v1/artists/142YBUGmLWCJigFLzgguf8,"australian hip hop,australian indie,australian pop,modern rock"
Angus & Julia Stone,1054519,72,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,https://api.spotify.com/v1/artists/4tvKz56Tr39bkhcQUTO0Xr,"australian indie folk,indie folk,stomp and holler"
Methyl Ethel,98277,53,spotify:artist:3I3Fz1DeUY0icXFvOjbXm7,https://api.spotify.com/v1/artists/3I3Fz1DeUY0icXFvOjbXm7,"australian garage punk,australian hip hop,australian indie,australian indie rock,australian pop"
Gang of Youths,215919,62,spotify:artist:142YBUGmLWCJigFLzgguf8,https://api.spotify.com/v1/artists/142YBUGmLWCJigFLzgguf8,"australian hip hop,australian indie,australian pop,modern rock"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
PNAU,140514,65,spotify:artist:6n28c9qs9hNGriNa72b26u,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,"alternative dance,aussietronica,australian dance,australian electropop,australian hip hop,australian indie,dance-punk,edm,new rave"
Thundamentals,106747,58,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,https://api.spotify.com/v1/artists/7ymhGfvQPQLHU20RovzLMJ,"australian hip hop,australian indie,australian pop"
Mataya,905,56,spotify:artist:6JW55AQgf9M9SZgzZou2NQ,https://api.spotify.com/v1/artists/6JW55AQgf9M9SZgzZou2NQ,
Vance Joy,2186121,78,spotify:artist:10exVja0key0uqUkk6LJRT,https://api.spotify.com/v1/artists/10exVja0key0uqUkk6LJRT,"folk-pop,modern rock,pop,pop rock"
Gang of Youths,215919,62,spotify:artist:142YBUGmLWCJigFLzgguf8,https://api.spotify.com/v1/artists/142YBUGmLWCJigFLzgguf8,"australian hip hop,australian indie,australian pop,modern rock"
BROCKHAMPTON,1597338,79,spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA,https://api.spotify.com/v1/artists/1Bl6wpkWCQ4KVgnASpvzzA,"boy band,hip hop,rap"
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
AlunaGeorge,397141,70,spotify:artist:2VAnyOxzJuSAj7XIuEOT38,https://api.spotify.com/v1/artists/2VAnyOxzJuSAj7XIuEOT38,"electropop,house,pop,tropical house"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
Vera Blue,139834,66,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,https://api.spotify.com/v1/artists/5ujrA1eZLDHR7yQ6FZa2qA,"australian hip hop,australian indie,australian pop"
The Jungle Giants,181784,64,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,"australian indie,australian pop"
Baker Boy,37584,52,spotify:artist:6Qpa8xhGsGitz4WBf4BkpK,https://api.spotify.com/v1/artists/6Qpa8xhGsGitz4WBf4BkpK,"australian hip hop,australian indigenous,australian pop"
Yirrmal,1522,30,spotify:artist:4rHLbr6edktdv6RnVrf0Y7,https://api.spotify.com/v1/artists/4rHLbr6edktdv6RnVrf0Y7,
Ball Park Music,105929,55,spotify:artist:1ououJVWgWsHWMYDLvT7sH,https://api.spotify.com/v1/artists/1ououJVWgWsHWMYDLvT7sH,"australian garage punk,australian indie,australian pop,brisbane indie"
The Killers,5604128,82,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,https://api.spotify.com/v1/artists/0C0XlULifJtAgn6ZNCW2eu,"modern rock,permanent wave,rock"
Peking Duk,201730,61,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,https://api.spotify.com/v1/artists/0UZ1nu3kcdNlCoiKRjmSSY,"aussietronica,australian electropop,australian indie,australian pop,edm"
Icona Pop,652862,72,spotify:artist:1VBflYyxBhnDc9uVib98rw,https://api.spotify.com/v1/artists/1VBflYyxBhnDc9uVib98rw,"candy pop,dance pop,electropop,metropopolis,pop,swedish electropop,swedish synthpop"
The Smith Street Band,79369,51,spotify:artist:6DW1Yqi5B34jRtn9hPLvFp,https://api.spotify.com/v1/artists/6DW1Yqi5B34jRtn9hPLvFp,"aussie emo,australian garage punk,australian indie"
The Wombats,816791,69,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,https://api.spotify.com/v1/artists/0Ya43ZKWHTKkAbkoJJkwIB,"indie pop,liverpool indie,modern alternative rock,modern rock,rock"
Alex the Astronaut,45227,47,spotify:artist:42NjRVKqEGe2DkGvlUd5qM,https://api.spotify.com/v1/artists/42NjRVKqEGe2DkGvlUd5qM,"australian hip hop,australian indie,australian pop"
Post Malone,28749781,94,spotify:artist:246dkjvS1zLTtiykXe5h60,https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60,"dfw rap,melodic rap,rap"
21 Savage,8624080,92,spotify:artist:1URnnhqYAYcrqrcwql10ft,https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft,"atl hip hop,rap,trap"
Amy Shark,280384,65,spotify:artist:2DORQjKJVYZMx9uu82UGtT,https://api.spotify.com/v1/artists/2DORQjKJVYZMx9uu82UGtT,australian pop
Portugal. The Man,1145437,72,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,https://api.spotify.com/v1/artists/4kI8Ie27vjvonwaB2ePh8T,"indie pop,indie rock,modern alternative rock,modern rock,rock"
Winston Surfshirt,70624,60,spotify:artist:61HS7DjYDQIkKSeGvpqmJh,https://api.spotify.com/v1/artists/61HS7DjYDQIkKSeGvpqmJh,"australian indie,australian pop,indie soul"
Tash Sultana,1175315,71,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,https://api.spotify.com/v1/artists/6zVFRTB0Y1whWyH7ZNmywf,australian reggae fusion
Vera Blue,139834,66,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,https://api.spotify.com/v1/artists/5ujrA1eZLDHR7yQ6FZa2qA,"australian hip hop,australian indie,australian pop"
Meg Mac,106755,53,spotify:artist:4faUajx9k93O56nlmpkOuz,https://api.spotify.com/v1/artists/4faUajx9k93O56nlmpkOuz,"australian hip hop,australian indie,australian pop"
Touch Sensitive,48897,54,spotify:artist:2OC53Inn0G9QwWM7CM0G5Z,https://api.spotify.com/v1/artists/2OC53Inn0G9QwWM7CM0G5Z,"alternative dance,aussietronica,australian indie,nu disco"
Hayden James,188255,67,spotify:artist:4csQIMQm6vI2A2SCVDuM2z,https://api.spotify.com/v1/artists/4csQIMQm6vI2A2SCVDuM2z,"aussietronica,edm,gauze pop,house,indie soul,tropical house"
GRAACE,22258,57,spotify:artist:4nqqGSsclFchZXaiafOYyV,https://api.spotify.com/v1/artists/4nqqGSsclFchZXaiafOYyV,"australian alternative pop,australian pop"
Angie McMahon,69156,56,spotify:artist:574ERIqzZ5yZU9JhIf3Ysf,https://api.spotify.com/v1/artists/574ERIqzZ5yZU9JhIf3Ysf,"australian indie,australian pop"
Kendrick Lamar,15643686,90,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,"conscious hip hop,hip hop,rap,west coast rap"
Drake,50161321,100,spotify:artist:3TVXtAsR1Inumwj472S9r4,https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap"
Alex Lahey,59023,48,spotify:artist:5kdYrM3h2sB1Eid5tDf6Hk,https://api.spotify.com/v1/artists/5kdYrM3h2sB1Eid5tDf6Hk,"australian garage punk,australian hip hop,australian indie,australian pop,indie rock,melbourne indie"
Calvin Harris,20730525,89,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,"dance pop,edm,electro house,house,pop,progressive house,uk dance"
Frank Ocean,6524633,86,spotify:artist:2h93pZq0e7k5yf4dywlkpM,https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop"
Migos,10865256,84,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,https://api.spotify.com/v1/artists/6oMuImdp5ZcFhWP0ESe6mG,"atl hip hop,hip hop,pop rap,rap,trap"
Billie Eilish,33838197,93,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH,"electropop,pop"
Skegss,147737,61,spotify:artist:3SGLeWc7J5Ve0CinAOrb3a,https://api.spotify.com/v1/artists/3SGLeWc7J5Ve0CinAOrb3a,"australian garage punk,australian hip hop,australian indie,indie surf"
Holy Holy,63897,56,spotify:artist:5KeQyt1QJBjcutJ2AuLNO2,https://api.spotify.com/v1/artists/5KeQyt1QJBjcutJ2AuLNO2,"australian hip hop,australian indie,australian pop"
CamelPhat,210518,71,spotify:artist:240wlM8vDrf6S4zCyzGj2W,https://api.spotify.com/v1/artists/240wlM8vDrf6S4zCyzGj2W,"deep tech house,disco house,edm,house,progressive house,tropical house"
Elderbrook,162174,75,spotify:artist:2vf4pRsEY6LpL5tKmqWb64,https://api.spotify.com/v1/artists/2vf4pRsEY6LpL5tKmqWb64,"deep house,house,new french touch,tropical house"
Tash Sultana,1175315,71,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,https://api.spotify.com/v1/artists/6zVFRTB0Y1whWyH7ZNmywf,australian reggae fusion
Allday,88394,60,spotify:artist:2Ltr0s15RyvsjqWzSmiSRs,https://api.spotify.com/v1/artists/2Ltr0s15RyvsjqWzSmiSRs,"australian hip hop,australian pop,australian trap"
Japanese Wallpaper,24630,53,spotify:artist:2xUsnfrcs3h2FzdRQvGmGM,https://api.spotify.com/v1/artists/2xUsnfrcs3h2FzdRQvGmGM,"australian indie,australian pop,indie dream pop,vapor soul"
Alex Lahey,59023,48,spotify:artist:5kdYrM3h2sB1Eid5tDf6Hk,https://api.spotify.com/v1/artists/5kdYrM3h2sB1Eid5tDf6Hk,"australian garage punk,australian hip hop,australian indie,australian pop,indie rock,melbourne indie"
Mallrat,132471,63,spotify:artist:4OSArit7O2Jaj4mgf3YN7A,https://api.spotify.com/v1/artists/4OSArit7O2Jaj4mgf3YN7A,"aussietronica,australian indie,australian pop,brisbane indie"
HAIM,975194,72,spotify:artist:4Ui2kfOqGujY81UcPrb5KE,https://api.spotify.com/v1/artists/4Ui2kfOqGujY81UcPrb5KE,"art pop,dance pop,indie pop,metropopolis,pop,pop rock,rock"
Ocean Alley,271279,67,spotify:artist:18lpwfiys4GtdHWNUu9qQr,https://api.spotify.com/v1/artists/18lpwfiys4GtdHWNUu9qQr,"australian hip hop,australian reggae fusion"
The Smith Street Band,79369,51,spotify:artist:6DW1Yqi5B34jRtn9hPLvFp,https://api.spotify.com/v1/artists/6DW1Yqi5B34jRtn9hPLvFp,"aussie emo,australian garage punk,australian indie"
The Jungle Giants,181784,64,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,"australian indie,australian pop"
Big Shaq,311143,55,spotify:artist:7mnAzEmgquhrVtGob81SmO,https://api.spotify.com/v1/artists/7mnAzEmgquhrVtGob81SmO,london rap
Macklemore,1616391,78,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,https://api.spotify.com/v1/artists/3JhNCzhSMTxs9WLGJJxWOY,"modern rock,pop rap,seattle hip hop"
Skylar Grey,414966,73,spotify:artist:4utLUGcTvOJFr6aqIJtYWV,https://api.spotify.com/v1/artists/4utLUGcTvOJFr6aqIJtYWV,"piano rock,viral pop"
Bliss n Eso,263755,62,spotify:artist:1xSSjJrKTO2ZNPU81uLtmI,https://api.spotify.com/v1/artists/1xSSjJrKTO2ZNPU81uLtmI,australian hip hop
Gavin James,481684,72,spotify:artist:25tMQOrIU4LlUo6Sv8v5SE,https://api.spotify.com/v1/artists/25tMQOrIU4LlUo6Sv8v5SE,"irish pop,neo mellow,pop,pop rock,viral pop"
Hockey Dad,110899,58,spotify:artist:1GJ1uwDfaA8GVVpVc2I2d2,https://api.spotify.com/v1/artists/1GJ1uwDfaA8GVVpVc2I2d2,"australian garage punk,australian hip hop,australian indie,indie surf"
Dune Rats,99570,51,spotify:artist:0KtaCKmTMIQZsxlOgyNa04,https://api.spotify.com/v1/artists/0KtaCKmTMIQZsxlOgyNa04,"australian garage punk,australian indie"
Odette,37693,49,spotify:artist:1iQVsRr2JalWIOLQa4T7O6,https://api.spotify.com/v1/artists/1iQVsRr2JalWIOLQa4T7O6,"australian hip hop,australian indie,australian pop"
The Jungle Giants,181784,64,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,"australian indie,australian pop"
Camp Cope,55722,42,spotify:artist:6OtUfATGYDnx5O23FP6C2s,https://api.spotify.com/v1/artists/6OtUfATGYDnx5O23FP6C2s,"aussie emo,australian indie,diy emo,indie punk,indie rock,melbourne indie"
The Jungle Giants,181784,64,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,https://api.spotify.com/v1/artists/6wFwvxJkurQPU2UdeD4qVt,"australian indie,australian pop"
Charli XCX,2131405,77,spotify:artist:25uiPmTg16RbhZWAqwLBy5,https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5,"art pop,candy pop,dance pop,electropop,escape room,metropopolis,pop,post-teen pop,uk pop"
Thundamentals,106747,58,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,https://api.spotify.com/v1/artists/7ymhGfvQPQLHU20RovzLMJ,"australian hip hop,australian indie,australian pop"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Khalid,12687043,93,spotify:artist:6LuN9FCkKOj5PcnpouEgny,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny,"alternative r&b,pop"
E^ST,51181,55,spotify:artist:7ASucWaI33cepJbo74Hlo0,https://api.spotify.com/v1/artists/7ASucWaI33cepJbo74Hlo0,"australian hip hop,australian indie,australian pop"
Jack River,56742,53,spotify:artist:4xrDCETyApzUQ6xzcc6QtS,https://api.spotify.com/v1/artists/4xrDCETyApzUQ6xzcc6QtS,"australian hip hop,australian indie,australian pop"
Arcade Fire,1823852,72,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,https://api.spotify.com/v1/artists/3kjuyTCjPG1WMFCiyc5IuB,"alternative dance,alternative rock,baroque pop,canadian indie,dance-punk,indie pop,indie rock,modern rock,new rave,permanent wave,quebec indie,rock"
N.E.R.D,608514,63,spotify:artist:5wPoxI5si3eJsYYwyXV4Wi,https://api.spotify.com/v1/artists/5wPoxI5si3eJsYYwyXV4Wi,"hip hop,virginia hip hop"
Rihanna,39462695,91,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,"barbadian pop,dance pop,pop,post-teen pop,r&b,urban contemporary"
Pharrell Williams,3300521,83,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,https://api.spotify.com/v1/artists/2RdwBSPQiwcmiDo9kixcl8,"pop,pop rap"
DZ Deathrays,54418,47,spotify:artist:0qGPycvPHafmEPTOm4M7Tu,https://api.spotify.com/v1/artists/0qGPycvPHafmEPTOm4M7Tu,"australian garage punk,australian hip hop,australian indie,brisbane indie,dance-punk,modern rock"
Kingswood,41812,44,spotify:artist:4zOw0E0NA7B4lIYyc3XNt5,https://api.spotify.com/v1/artists/4zOw0E0NA7B4lIYyc3XNt5,"australian hip hop,australian indie"
YUNGBLUD,1148217,80,spotify:artist:6Ad91Jof8Niiw0lGLLi3NW,https://api.spotify.com/v1/artists/6Ad91Jof8Niiw0lGLLi3NW,"british indie rock,modern rock,rock"
Nothing But Thieves,622751,71,spotify:artist:1kDGbuxWknIKx4FlgWxiSp,https://api.spotify.com/v1/artists/1kDGbuxWknIKx4FlgWxiSp,"alternative pop rock,modern alternative rock,modern rock,rock"
Lorde,6539186,81,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,https://api.spotify.com/v1/artists/163tK9Wjr9P9DmM0AVK7lm,"art pop,dance pop,metropopolis,nz pop,pop"
alt-J,2660335,75,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://api.spotify.com/v1/artists/3XHO7cRUPCLOr6jwp8vsx5,indie rock
King Gizzard & The Lizard Wizard,554729,68,spotify:artist:6XYvaoDGE0VmRt83Jss9Sn,https://api.spotify.com/v1/artists/6XYvaoDGE0VmRt83Jss9Sn,"australian indie,australian psych,double drumming,neo-psychedelic"
Lil Uzi Vert,9915172,92,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,https://api.spotify.com/v1/artists/4O15NlyKLIASxsJ0PrXPfz,"melodic rap,philly rap,rap,trap"
Dune Rats,99570,51,spotify:artist:0KtaCKmTMIQZsxlOgyNa04,https://api.spotify.com/v1/artists/0KtaCKmTMIQZsxlOgyNa04,"australian garage punk,australian indie"
Baker Boy,37584,52,spotify:artist:6Qpa8xhGsGitz4WBf4BkpK,https://api.spotify.com/v1/artists/6Qpa8xhGsGitz4WBf4BkpK,"australian hip hop,australian indigenous,australian pop"
KIAN,24770,53,spotify:artist:1TulCA2zO3YxAjQ7ZsvtDq,https://api.spotify.com/v1/artists/1TulCA2zO3YxAjQ7ZsvtDq,"australian hip hop,australian pop"
The Rubens,162567,62,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,https://api.spotify.com/v1/artists/2hrWpLNoJcs1EnWSXvB6JI,"australian hip hop,australian indie,australian pop"
Tash Sultana,1175315,71,spotify:artist:6zVFRTB0Y1whWyH7ZNmywf,https://api.spotify.com/v1/artists/6zVFRTB0Y1whWyH7ZNmywf,australian reggae fusion
San Cisco,222212,60,spotify:artist:0Ou0138wEd8XWebhc4j7O0,https://api.spotify.com/v1/artists/0Ou0138wEd8XWebhc4j7O0,"australian hip hop,australian indie,australian pop,fremantle indie,indie pop,metropopolis,perth indie"
The xx,3518514,72,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,https://api.spotify.com/v1/artists/3iOvXCl6edW5Um0fXEBRXy,"downtempo,dream pop,indietronica"
