name,followers,popularity,uri,link,genres
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
MGMT,1927562,78,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,https://api.spotify.com/v1/artists/0SwO7SWeDHJijQ3XNS7xEE,"alternative dance,indie pop,indie rock,indietronica,modern rock,rock"
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
Empire of the Sun,980066,71,spotify:artist:67hb7towEyKvt5Z8Bx306c,https://api.spotify.com/v1/artists/67hb7towEyKvt5Z8Bx306c,"alternative dance,australian dance,australian electropop,dance-punk,electropop,indie pop,indietronica,neo-synthpop,new rave,pop"
MGMT,1927562,78,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,https://api.spotify.com/v1/artists/0SwO7SWeDHJijQ3XNS7xEE,"alternative dance,indie pop,indie rock,indietronica,modern rock,rock"
The Presets,150580,58,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,https://api.spotify.com/v1/artists/1zTAQ6zkGz2L2i6lfR30EX,"alternative dance,australian dance,australian hip hop,australian indie,dance-punk,electronica,electropop,indietronica,new rave"
PEZ,21080,50,spotify:artist:0nqejKHUiWWMRltB0Cx5xq,https://api.spotify.com/v1/artists/0nqejKHUiWWMRltB0Cx5xq,"australian hip hop,australian trap,rock nacional"
360,147512,56,spotify:artist:3vn7rk7VNMfDhuZNB9sDYP,https://api.spotify.com/v1/artists/3vn7rk7VNMfDhuZNB9sDYP,"australian hip hop,australian pop,australian underground hip hop"
Hailey Cramer,444,41,spotify:artist:6NVS6uXm4d3mbKIniM6IfO,https://api.spotify.com/v1/artists/6NVS6uXm4d3mbKIniM6IfO,
The Presets,150580,58,spotify:artist:1zTAQ6zkGz2L2i6lfR30EX,https://api.spotify.com/v1/artists/1zTAQ6zkGz2L2i6lfR30EX,"alternative dance,australian dance,australian hip hop,australian indie,dance-punk,electronica,electropop,indietronica,new rave"
The Ting Tings,325613,57,spotify:artist:2wvUfjKGoXvcnDHq7GgMOa,https://api.spotify.com/v1/artists/2wvUfjKGoXvcnDHq7GgMOa,"alternative dance,dance pop,dance-punk,electropop,new rave"
Drapht,96350,55,spotify:artist:4Q6bcEc5YCypvMZ5kjaTMp,https://api.spotify.com/v1/artists/4Q6bcEc5YCypvMZ5kjaTMp,"australian hip hop,australian indie,australian underground hip hop,west australian hip hop"
Ladyhawke,129816,50,spotify:artist:5TfnQ0Ai1cEbKY5katFK14,https://api.spotify.com/v1/artists/5TfnQ0Ai1cEbKY5katFK14,"alternative dance,dance-punk,electroclash,electropop,metropopolis,neo-synthpop,new rave"
PNAU,140514,65,spotify:artist:6n28c9qs9hNGriNa72b26u,https://api.spotify.com/v1/artists/6n28c9qs9hNGriNa72b26u,"alternative dance,aussietronica,australian dance,australian electropop,australian hip hop,australian indie,dance-punk,edm,new rave"
The Herd,35968,45,spotify:artist:4pwFBExMdUoRMvOMD2ajBT,https://api.spotify.com/v1/artists/4pwFBExMdUoRMvOMD2ajBT,"australian alternative rock,australian hip hop,australian underground hip hop,conscious hip hop"
The Rapture,598,28,spotify:artist:2WN2XnIQ1I1wbidR9n2mdB,https://api.spotify.com/v1/artists/2WN2XnIQ1I1wbidR9n2mdB,
Cut Copy,275294,57,spotify:artist:4EENT7N7rCBwrddM3s0vFS,https://api.spotify.com/v1/artists/4EENT7N7rCBwrddM3s0vFS,"alternative dance,australian dance,australian electropop,chillwave,dance-punk,electronic rock,electronica,electropop,filter house,indie pop,indie rock,indietronica,modern rock,neo-synthpop,new rave,nu disco,nu gaze,shimmer pop"
Ben Folds,227529,57,spotify:artist:55tif8708yyDQlSjh3Trdu,https://api.spotify.com/v1/artists/55tif8708yyDQlSjh3Trdu,"indie pop,modern rock,permanent wave,piano rock,pop rock"
Regina Spektor,1117205,66,spotify:artist:3z6Gk257P9jNcZbBXJNX5i,https://api.spotify.com/v1/artists/3z6Gk257P9jNcZbBXJNX5i,"indie pop,lilith,piano rock,pop rock"
Dizzee Rascal,323971,68,spotify:artist:0gusqTJKxtU1UTmNRMHZcv,https://api.spotify.com/v1/artists/0gusqTJKxtU1UTmNRMHZcv,"bassline,grime,house,instrumental grime"
MGMT,1927562,78,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,https://api.spotify.com/v1/artists/0SwO7SWeDHJijQ3XNS7xEE,"alternative dance,indie pop,indie rock,indietronica,modern rock,rock"
Flight of the Conchords,285431,54,spotify:artist:2lRyvAihjwylPfhGqydQbC,https://api.spotify.com/v1/artists/2lRyvAihjwylPfhGqydQbC,"comic,parody"
Birds Of Tokyo,173598,59,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,https://api.spotify.com/v1/artists/25ou7Y6W7L1fcMoCZMbf86,"australian alternative rock,australian hip hop,australian indie,australian pop,australian rock,perth indie"
Bon Iver,2770825,81,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,https://api.spotify.com/v1/artists/4LEiUm1SRbFMgfqnQTwUbQ,"eau claire indie,indie folk,melancholia"
Birds Of Tokyo,173598,59,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,https://api.spotify.com/v1/artists/25ou7Y6W7L1fcMoCZMbf86,"australian alternative rock,australian hip hop,australian indie,australian pop,australian rock,perth indie"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
Kaiser Chiefs,1003735,64,spotify:artist:0LbLWjaweRbO4FDKYlbfNt,https://api.spotify.com/v1/artists/0LbLWjaweRbO4FDKYlbfNt,"alternative rock,dance-punk,modern rock,rock"
Ladyhawke,129816,50,spotify:artist:5TfnQ0Ai1cEbKY5katFK14,https://api.spotify.com/v1/artists/5TfnQ0Ai1cEbKY5katFK14,"alternative dance,dance-punk,electroclash,electropop,metropopolis,neo-synthpop,new rave"
Josh Pyke,60652,51,spotify:artist:4UzQ37Y0rzonVpsXpcNyFH,https://api.spotify.com/v1/artists/4UzQ37Y0rzonVpsXpcNyFH,"australian alternative rock,australian indie,australian pop,australian singer-songwriter"
Architecture In Helsinki,100064,44,spotify:artist:60eT7q88iLWKnuSXed1AGr,https://api.spotify.com/v1/artists/60eT7q88iLWKnuSXed1AGr,"alternative dance,australian indie,indie pop,indietronica"
Josh Pyke,60652,51,spotify:artist:4UzQ37Y0rzonVpsXpcNyFH,https://api.spotify.com/v1/artists/4UzQ37Y0rzonVpsXpcNyFH,"australian alternative rock,australian indie,australian pop,australian singer-songwriter"
Vampire Weekend,1625034,73,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,https://api.spotify.com/v1/artists/5BvJzeQpmsdsFp4HGUYUEx,"baroque pop,indie pop,indie rock,modern rock,rock"
Cog,29971,41,spotify:artist:6gD6Pm7jo3mmKgDtyMruA6,https://api.spotify.com/v1/artists/6gD6Pm7jo3mmKgDtyMruA6,australian alternative rock
Vampire Weekend,1625034,73,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,https://api.spotify.com/v1/artists/5BvJzeQpmsdsFp4HGUYUEx,"baroque pop,indie pop,indie rock,modern rock,rock"
