name,followers,popularity,uri,link,genres
Guy Sebastian,330076,69,spotify:artist:5PjekOABtfU2Kwo0AHVmci,https://api.spotify.com/v1/artists/5PjekOABtfU2Kwo0AHVmci,"australian pop,australian talent show"
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Black Eyed Peas,4829072,86,spotify:artist:1yxSLGMDHlW21z4YXirZDS,https://api.spotify.com/v1/artists/1yxSLGMDHlW21z4YXirZDS,"dance pop,pop,pop rap"
Delta Goodrem,167398,58,spotify:artist:2g6fa86fL6oLcoDqanBbuR,https://api.spotify.com/v1/artists/2g6fa86fL6oLcoDqanBbuR,"australian pop,australian talent show,dance pop,europop"
50 Cent,6391819,87,spotify:artist:3q7HBObVc0L8jNeTe5Gofh,https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap"
Evanescence,2809272,75,spotify:artist:5nGIFgo0shDenQYSE0Sn7c,https://api.spotify.com/v1/artists/5nGIFgo0shDenQYSE0Sn7c,alternative metal
Delta Goodrem,167398,58,spotify:artist:2g6fa86fL6oLcoDqanBbuR,https://api.spotify.com/v1/artists/2g6fa86fL6oLcoDqanBbuR,"australian pop,australian talent show,dance pop,europop"
Las Ketchup,27792,56,spotify:artist:1e8GEl48ktvfDpruMKB6Oe,https://api.spotify.com/v1/artists/1e8GEl48ktvfDpruMKB6Oe,
Big Brovaz,25306,44,spotify:artist:0tTPYQGpkJ49RMbtCOQfDY,https://api.spotify.com/v1/artists/0tTPYQGpkJ49RMbtCOQfDY,europop
R. Kelly,2146436,72,spotify:artist:2mxe0TnaNL039ysAj51xPQ,https://api.spotify.com/v1/artists/2mxe0TnaNL039ysAj51xPQ,
Jennifer Lopez,8771307,81,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,"dance pop,pop,pop rap,post-teen pop,urban contemporary"
LL Cool J,989358,67,spotify:artist:1P8IfcNKwrkQP5xJWuhaOC,https://api.spotify.com/v1/artists/1P8IfcNKwrkQP5xJWuhaOC,"east coast hip hop,hardcore hip hop,hip hop,hip pop,old school hip hop,pop rap,queens hip hop,r&b,rap,urban contemporary"
Kelly Rowland,2420367,72,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,https://api.spotify.com/v1/artists/3AuMNF8rQAKOzjYppFNAoB,"atl hip hop,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary"
Amanda Perez,311955,46,spotify:artist:5DqmNLPM1kAbSBQk2FMm6b,https://api.spotify.com/v1/artists/5DqmNLPM1kAbSBQk2FMm6b,"hip pop,pop r&b,r&b,urban contemporary"
t.A.T.u.,480806,65,spotify:artist:2Q3eZMfDQgT8MhPowKFXYO,https://api.spotify.com/v1/artists/2Q3eZMfDQgT8MhPowKFXYO,"dance pop,girl group"
Counting Crows,1159279,72,spotify:artist:0vEsuISMWAKNctLlUAhSZC,https://api.spotify.com/v1/artists/0vEsuISMWAKNctLlUAhSZC,"alternative rock,mellow gold,neo mellow,pop rock,rock"
Vanessa Carlton,426955,68,spotify:artist:5ILrArfIV0tMURcHJN8Q07,https://api.spotify.com/v1/artists/5ILrArfIV0tMURcHJN8Q07,"dance pop,lilith,neo mellow,piano rock,pop rock"
