name,followers,popularity,uri,link,genres
Jet,429037,66,spotify:artist:5ypxebeHEIXjMtJb17uJlI,https://api.spotify.com/v1/artists/5ypxebeHEIXjMtJb17uJlI,"alternative rock,garage rock,modern rock,rock"
OutKast,1464421,78,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,https://api.spotify.com/v1/artists/1G9G7WwrXka3Z1r7aIDjI7,"atl hip hop,dirty south rap,hip hop,rap,southern hip hop"
The White Stripes,2247412,74,spotify:artist:4F84IBURUo98rz4r61KF70,https://api.spotify.com/v1/artists/4F84IBURUo98rz4r61KF70,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Coldplay,27427378,89,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,"permanent wave,pop"
The Cat Empire,278809,59,spotify:artist:023YMawCG3OvACmRjWxLWC,https://api.spotify.com/v1/artists/023YMawCG3OvACmRjWxLWC,"australian reggae fusion,australian ska,ska jazz"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
John Butler Trio,402475,59,spotify:artist:6fBF4MULW5yMzyGaon1kUt,https://api.spotify.com/v1/artists/6fBF4MULW5yMzyGaon1kUt,"australian rock,banjo"
Hilltop Hoods,600856,70,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,https://api.spotify.com/v1/artists/7dlqUnjoF2U2DkNDMhcgG4,"australian hip hop,australian pop"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Something For Kate,59275,47,spotify:artist:47yawJswuSfSvizYhItoOP,https://api.spotify.com/v1/artists/47yawJswuSfSvizYhItoOP,"australian alternative rock,australian indie,australian rock"
The Waifs,76133,48,spotify:artist:5uKeKhwXi2w5cXdtoSaqjz,https://api.spotify.com/v1/artists/5uKeKhwXi2w5cXdtoSaqjz,"australian alternative rock,australian indie,australian rock,indie folk"
The Dandy Warhols,221980,59,spotify:artist:7siPLyFwRFYQkKgWKJ5Sod,https://api.spotify.com/v1/artists/7siPLyFwRFYQkKgWKJ5Sod,"alternative rock,dance-punk,indie rock,modern rock,rock"
The White Stripes,2247412,74,spotify:artist:4F84IBURUo98rz4r61KF70,https://api.spotify.com/v1/artists/4F84IBURUo98rz4r61KF70,"alternative rock,blues rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock"
Butterfingers,19091,41,spotify:artist:14ERybNQCYthuN4NHM5uVe,https://api.spotify.com/v1/artists/14ERybNQCYthuN4NHM5uVe,"australian alternative rock,australian hip hop,australian underground hip hop"
Little Birdy,31134,38,spotify:artist:3h18aXqdmm2F13t6LIbTpq,https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq,"australian alternative rock,australian indie,australian rock,perth indie"
Jack Johnson,2956583,81,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,https://api.spotify.com/v1/artists/3GBPw9NK25X1Wt2OUvOwY3,neo mellow
Ben Harper,753489,67,spotify:artist:45lorWzrKLxfKlWpV7r9CN,https://api.spotify.com/v1/artists/45lorWzrKLxfKlWpV7r9CN,"neo mellow,pop rock"
Jet,429037,66,spotify:artist:5ypxebeHEIXjMtJb17uJlI,https://api.spotify.com/v1/artists/5ypxebeHEIXjMtJb17uJlI,"alternative rock,garage rock,modern rock,rock"
Pete Murray,116865,54,spotify:artist:1qAMxE8YRo3KREMiKiyUkV,https://api.spotify.com/v1/artists/1qAMxE8YRo3KREMiKiyUkV,"australian alternative rock,australian pop,australian rock,pop rock"
Epicure,1995,18,spotify:artist:3SofahSfdxgkdID0zk3h3N,https://api.spotify.com/v1/artists/3SofahSfdxgkdID0zk3h3N,australian alternative rock
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Jack Johnson,2956583,81,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,https://api.spotify.com/v1/artists/3GBPw9NK25X1Wt2OUvOwY3,neo mellow
Little Birdy,31134,38,spotify:artist:3h18aXqdmm2F13t6LIbTpq,https://api.spotify.com/v1/artists/3h18aXqdmm2F13t6LIbTpq,"australian alternative rock,australian indie,australian rock,perth indie"
Frenzal Rhomb,38194,45,spotify:artist:4cxBQR2C44tnfQ74lpFN7N,https://api.spotify.com/v1/artists/4cxBQR2C44tnfQ74lpFN7N,"australian alternative rock,melodic hardcore,punk,skate punk"
Ben Folds,227529,57,spotify:artist:55tif8708yyDQlSjh3Trdu,https://api.spotify.com/v1/artists/55tif8708yyDQlSjh3Trdu,"indie pop,modern rock,permanent wave,piano rock,pop rock"
Electric Six,111485,54,spotify:artist:4xNadaO5ZZLVJdqDIVVIua,https://api.spotify.com/v1/artists/4xNadaO5ZZLVJdqDIVVIua,"alternative rock,dance-punk,garage rock"
Ben Harper,753489,67,spotify:artist:45lorWzrKLxfKlWpV7r9CN,https://api.spotify.com/v1/artists/45lorWzrKLxfKlWpV7r9CN,"neo mellow,pop rock"
Placebo,1306442,70,spotify:artist:6RZUqkomCmb8zCRqc9eznB,https://api.spotify.com/v1/artists/6RZUqkomCmb8zCRqc9eznB,"alternative rock,britpop,modern rock,permanent wave,rock"
Muse,6038094,80,spotify:artist:12Chz98pHFMPJEknJQMWvI,https://api.spotify.com/v1/artists/12Chz98pHFMPJEknJQMWvI,"modern rock,permanent wave,rock"
The Dandy Warhols,221980,59,spotify:artist:7siPLyFwRFYQkKgWKJ5Sod,https://api.spotify.com/v1/artists/7siPLyFwRFYQkKgWKJ5Sod,"alternative rock,dance-punk,indie rock,modern rock,rock"
Electric Six,111485,54,spotify:artist:4xNadaO5ZZLVJdqDIVVIua,https://api.spotify.com/v1/artists/4xNadaO5ZZLVJdqDIVVIua,"alternative rock,dance-punk,garage rock"
Michael Franti & Spearhead,148684,60,spotify:artist:1mHuZMOP8FG5ip4yAb1vrB,https://api.spotify.com/v1/artists/1mHuZMOP8FG5ip4yAb1vrB,reggae fusion
Magic Dirt,18141,35,spotify:artist:6OgAO7QYncP5feMijPxBxi,https://api.spotify.com/v1/artists/6OgAO7QYncP5feMijPxBxi,"australian alternative rock,australian rock"
