name,followers,popularity,uri,link,genres
Oasis,5579769,81,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4,"beatlesque,britpop,madchester,modern rock,permanent wave,rock"
The Smashing Pumpkins,2956197,75,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,https://api.spotify.com/v1/artists/40Yq4vzPs9VNUrIBG5Jr2i,"alternative metal,alternative rock,grunge,modern rock,permanent wave,pop rock,rock"
Coolio,406070,70,spotify:artist:3y24n3XhZ96wgwRXjvS17T,https://api.spotify.com/v1/artists/3y24n3XhZ96wgwRXjvS17T,"g funk,gangster rap,hip hop,rap,west coast rap"
L.V.,4022,69,spotify:artist:2LhsePRtgCo4THVKULQBL7,https://api.spotify.com/v1/artists/2LhsePRtgCo4THVKULQBL7,
The Presidents Of The United States Of America,378862,62,spotify:artist:1lZvg4fNAqHoj6I9N8naBM,https://api.spotify.com/v1/artists/1lZvg4fNAqHoj6I9N8naBM,"alternative metal,alternative rock,grunge,pop rock,rock"
Björk,1216059,66,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,"alternative dance,art pop,dance pop,electronica,electropop,experimental pop,experimental vocal,icelandic experimental,icelandic pop,metropopolis,permanent wave,pop rock,trip hop"
Everclear,599646,63,spotify:artist:694QW15WkebjcrWgQHzRYF,https://api.spotify.com/v1/artists/694QW15WkebjcrWgQHzRYF,"alternative metal,alternative rock,permanent wave,pop punk,pop rock,post-grunge,rock"
Custard,14995,36,spotify:artist:09NEIWHdaWneBWsjYdDnwz,https://api.spotify.com/v1/artists/09NEIWHdaWneBWsjYdDnwz,"australian alternative rock,australian rock"
Nick Cave & The Bad Seeds,932345,69,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,https://api.spotify.com/v1/artists/4UXJsSlnKd7ltsrHebV79Q,"art rock,permanent wave,rock"
Kylie Minogue,1111055,73,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,https://api.spotify.com/v1/artists/4RVnAU35WRWra6OZ3CbbMA,"australian dance,australian pop,dance pop,disco house,electropop,eurodance,europop,new wave pop,pop,pop rock"
