name,followers,popularity,uri,link,genres
Flo Rida,7769256,82,spotify:artist:0jnsk9HBra6NMjO2oANoPY,https://api.spotify.com/v1/artists/0jnsk9HBra6NMjO2oANoPY,"dance pop,miami hip hop,pop,pop rap"
T-Pain,2902656,82,spotify:artist:3aQeKQSyrW4qWr35idm0cy,https://api.spotify.com/v1/artists/3aQeKQSyrW4qWr35idm0cy,"dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary"
P!nk,9493906,84,spotify:artist:1KCSPY1glIKqW2TotWuXOR,https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR,"dance pop,pop,post-teen pop"
Gabriella Cilmi,61109,49,spotify:artist:5v2GEv1pQaCp6oeOQROdKE,https://api.spotify.com/v1/artists/5v2GEv1pQaCp6oeOQROdKE,"australian pop,australian r&b"
Leona Lewis,2483803,73,spotify:artist:5lKZWd6HiSCLfnDGrq9RAm,https://api.spotify.com/v1/artists/5lKZWd6HiSCLfnDGrq9RAm,"british soul,dance pop,europop,neo mellow,pop,post-teen pop,talent show"
Kings of Leon,4429917,78,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,https://api.spotify.com/v1/artists/2qk9voo8llSGYcZ6xrBzKx,"modern rock,rock"
Katy Perry,16447906,88,spotify:artist:6jJ0s89eD6GaHleKKya26X,https://api.spotify.com/v1/artists/6jJ0s89eD6GaHleKKya26X,"dance pop,pop,post-teen pop"
Lady Gaga,14098516,91,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,"dance pop,pop"
Colby O'Donis,101027,69,spotify:artist:7fObcBw9VM3x7ntWKCYl0z,https://api.spotify.com/v1/artists/7fObcBw9VM3x7ntWKCYl0z,"pop rap,urban contemporary"
Jordin Sparks,1564980,69,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,https://api.spotify.com/v1/artists/2AQjGvtT0pFYfxR3neFcvz,"dance pop,neo mellow,pop,pop rap,pop rock,post-teen pop,r&b,urban contemporary,viral pop"
Chris Brown,12397113,92,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,https://api.spotify.com/v1/artists/7bXgB6jMjp9ATFy66eO08Z,"dance pop,pop,pop rap,r&b,rap"
Jason Mraz,5615702,80,spotify:artist:4phGZZrJZRo4ElhRtViYdl,https://api.spotify.com/v1/artists/4phGZZrJZRo4ElhRtViYdl,"acoustic pop,neo mellow,pop,pop rock"
Kid Rock,1404150,73,spotify:artist:7dOBabd5O4CvKrg4iriHTM,https://api.spotify.com/v1/artists/7dOBabd5O4CvKrg4iriHTM,"alternative metal,nu metal,rock"
