name,followers,popularity,uri,link,genres
LMFAO,3540954,71,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,https://api.spotify.com/v1/artists/3sgFRtyBnxXD5ESfmbK4dl,"dance pop,edm,pop,pop rap"
Lauren Bennett,3369,64,spotify:artist:2jLE4BoXHriQ96JagEtiDP,https://api.spotify.com/v1/artists/2jLE4BoXHriQ96JagEtiDP,deep dance pop
GoonRock,2446,66,spotify:artist:53sIBaVjXQhfH89Vu6nEGh,https://api.spotify.com/v1/artists/53sIBaVjXQhfH89Vu6nEGh,
Gotye,2214163,71,spotify:artist:2AsusXITU8P25dlRNhcAbG,https://api.spotify.com/v1/artists/2AsusXITU8P25dlRNhcAbG,australian pop
Kimbra,345815,71,spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti,https://api.spotify.com/v1/artists/6hk7Yq1DU9QcCCrz9uc0Ti,"bergen indie,electropop,nz pop"
Maroon 5,27337001,90,spotify:artist:04gDigrS5kc9YWfZHwBETP,https://api.spotify.com/v1/artists/04gDigrS5kc9YWfZHwBETP,"pop,pop rock"
Christina Aguilera,5510189,82,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,"dance pop,pop,pop rap,post-teen pop"
Adele,23665704,85,spotify:artist:4dpARuHxo51G3z768sgnrY,https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,"british soul,pop,pop soul,uk pop"
Adele,23665704,85,spotify:artist:4dpARuHxo51G3z768sgnrY,https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,"british soul,pop,pop soul,uk pop"
LMFAO,3540954,71,spotify:artist:3sgFRtyBnxXD5ESfmbK4dl,https://api.spotify.com/v1/artists/3sgFRtyBnxXD5ESfmbK4dl,"dance pop,edm,pop,pop rap"
Pitbull,7965619,86,spotify:artist:0TnOYISbd1XYRBk9myaseg,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,"dance pop,latin,miami hip hop,pop,pop rap"
Ne-Yo,5567151,82,spotify:artist:21E3waRsmPlU7jZsS13rcj,https://api.spotify.com/v1/artists/21E3waRsmPlU7jZsS13rcj,"dance pop,pop,pop rap,r&b,urban contemporary"
Afrojack,3507458,78,spotify:artist:4D75GcNG95ebPtNvoNVXhz,https://api.spotify.com/v1/artists/4D75GcNG95ebPtNvoNVXhz,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house"
Nayer,23871,68,spotify:artist:1ruutHJcECI7cos2n5TqpO,https://api.spotify.com/v1/artists/1ruutHJcECI7cos2n5TqpO,deep dance pop
Lady Gaga,14098516,91,spotify:artist:1HY2Jd0NmPuamShAr6KMms,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,"dance pop,pop"
Jessie J,7876882,76,spotify:artist:2gsggkzM5R49q6jpPvazou,https://api.spotify.com/v1/artists/2gsggkzM5R49q6jpPvazou,"dance pop,pop,pop rap,post-teen pop,uk pop"
B.o.B,1782361,77,spotify:artist:5ndkK3dpZLKtBklKjxNQwT,https://api.spotify.com/v1/artists/5ndkK3dpZLKtBklKjxNQwT,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop"
Jennifer Lopez,8771307,81,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,"dance pop,pop,pop rap,post-teen pop,urban contemporary"
