name,followers,popularity,uri,link,genres
Eminem,38585039,94,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR,"detroit hip hop,hip hop,rap"
Shakira,19832221,86,spotify:artist:0EmeFodog0BfCgMzAIvKQp,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,"colombian pop,dance pop,latin,latin pop,pop"
Elvis Presley,4688355,81,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,https://api.spotify.com/v1/artists/43ZHCT0cAZBISjO8DG9PnE,"rock-and-roll,rockabilly"
Junkie XL,73518,66,spotify:artist:5svDnd8joFhbpbA3Ar0CfN,https://api.spotify.com/v1/artists/5svDnd8joFhbpbA3Ar0CfN,"big beat,soundtrack"
Nelly,1612720,79,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,https://api.spotify.com/v1/artists/2gBjLmx6zQnFGQJCAQpRgw,"dance pop,hip hop,pop,pop rap,rap,southern hip hop,st louis rap,urban contemporary"
Kelly Rowland,2420367,72,spotify:artist:3AuMNF8rQAKOzjYppFNAoB,https://api.spotify.com/v1/artists/3AuMNF8rQAKOzjYppFNAoB,"atl hip hop,dance pop,hip pop,neo soul,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary"
Las Ketchup,27792,56,spotify:artist:1e8GEl48ktvfDpruMKB6Oe,https://api.spotify.com/v1/artists/1e8GEl48ktvfDpruMKB6Oe,
Vanessa Carlton,426955,68,spotify:artist:5ILrArfIV0tMURcHJN8Q07,https://api.spotify.com/v1/artists/5ILrArfIV0tMURcHJN8Q07,"dance pop,lilith,neo mellow,piano rock,pop rock"
Kasey Chambers,82543,50,spotify:artist:6uATIQFyydDXPc2RlLzcUE,https://api.spotify.com/v1/artists/6uATIQFyydDXPc2RlLzcUE,"australian americana,australian country,australian pop,folk"
Avril Lavigne,6334260,80,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,https://api.spotify.com/v1/artists/0p4nmQO2msCgU4IF37Wi3j,"canadian pop,candy pop,dance pop,pop,post-teen pop"
Enrique Iglesias,9625799,81,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,https://api.spotify.com/v1/artists/7qG3b048QCHVRO5Pv1T5lw,"dance pop,latin,latin pop,mexican pop,pop,tropical"
Holly Valance,67720,43,spotify:artist:7gRmesSjINzb4xXApfMV5E,https://api.spotify.com/v1/artists/7gRmesSjINzb4xXApfMV5E,"australian pop,bubblegum dance,dance pop,electropop,europop"
Sophie Ellis-Bextor,276516,61,spotify:artist:2cBh5lVMg222FFuRU7EfDE,https://api.spotify.com/v1/artists/2cBh5lVMg222FFuRU7EfDE,"dance pop,disco house,europop,new wave pop,pop rock"
