name,followers,popularity,uri,link,genres
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Powderfinger,303334,63,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,https://api.spotify.com/v1/artists/6LBCQo20ri3tsvbsWWLmr6,"australian alternative rock,australian indie,australian pop,australian rock,pop rock"
Wheatus,87928,63,spotify:artist:4mYFgEjpQT4IKOrjOUKyXu,https://api.spotify.com/v1/artists/4mYFgEjpQT4IKOrjOUKyXu,pop rock
Coldplay,27427378,89,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,"permanent wave,pop"
The Avalanches,315887,63,spotify:artist:3C8RpaI3Go0yFF9whvKoED,https://api.spotify.com/v1/artists/3C8RpaI3Go0yFF9whvKoED,"alternative dance,australian alternative rock,australian dance,collage pop,electronica,new rave,psychedelic hip hop"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
Paul Kelly,255034,61,spotify:artist:0SNWoGaDlrCompmg9rXeNq,https://api.spotify.com/v1/artists/0SNWoGaDlrCompmg9rXeNq,"australian alternative rock,australian indigenous,australian pop,australian rock"
The Dandy Warhols,221980,59,spotify:artist:7siPLyFwRFYQkKgWKJ5Sod,https://api.spotify.com/v1/artists/7siPLyFwRFYQkKgWKJ5Sod,"alternative rock,dance-punk,indie rock,modern rock,rock"
28 Days,26498,42,spotify:artist:0NXVGrFkPu0Cohh3BJV5Wx,https://api.spotify.com/v1/artists/0NXVGrFkPu0Cohh3BJV5Wx,"australian alternative rock,australian hip hop,australian rock"
Magic Dirt,18141,35,spotify:artist:6OgAO7QYncP5feMijPxBxi,https://api.spotify.com/v1/artists/6OgAO7QYncP5feMijPxBxi,"australian alternative rock,australian rock"
Rage Against The Machine,3805588,76,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,https://api.spotify.com/v1/artists/2d0hyoQ5ynDBnkvAbJKORj,"alternative metal,alternative rock,conscious hip hop,funk metal,nu metal,political hip hop,rap metal,rap rock,rock"
Green Day,11223600,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,"permanent wave,pop punk,punk"
Lo-tel,604,22,spotify:artist:7BjfoAjF32l7yC1fVbuZVm,https://api.spotify.com/v1/artists/7BjfoAjF32l7yC1fVbuZVm,australian alternative rock
Machine Gun Fellatio,26783,41,spotify:artist:5aVKsCIE4jsTKODYwjVVLK,https://api.spotify.com/v1/artists/5aVKsCIE4jsTKODYwjVVLK,"australian alternative rock,australian rock"
The Superjesus,32498,43,spotify:artist:7o9kdTx6RmO12iAVVsNehd,https://api.spotify.com/v1/artists/7o9kdTx6RmO12iAVVsNehd,"australian alternative rock,australian rock"
Foo Fighters,8025267,81,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://api.spotify.com/v1/artists/7jy3rLJdDQY21OgRLCZ9sD,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Bodyjar,24751,44,spotify:artist:2LyXoG111QdqfI0HLYQgvS,https://api.spotify.com/v1/artists/2LyXoG111QdqfI0HLYQgvS,"australian alternative rock,skate punk"
Limp Bizkit,3521684,76,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,https://api.spotify.com/v1/artists/165ZgPlLkK7bf5bDoFc6Sb,"alternative metal,funk metal,nu metal,rap metal,wrestling"
Moby,1310607,73,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,https://api.spotify.com/v1/artists/3OsRAKCvk37zwYcnzRf5XF,"downtempo,electronica"
You Am I,41343,47,spotify:artist:7GvCdRq4iHNQDsGlPWOycw,https://api.spotify.com/v1/artists/7GvCdRq4iHNQDsGlPWOycw,"australian alternative rock,australian indie,australian rock"
Bomfunk MC's,52023,57,spotify:artist:0NeC6ploeJUq8oDwYQjNPS,https://api.spotify.com/v1/artists/0NeC6ploeJUq8oDwYQjNPS,"bubblegum dance,eurodance,europop"
