name,followers,popularity,uri,link,genres
Ricky Martin,5560712,79,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,https://api.spotify.com/v1/artists/7slfeZO9LsJbWgpkIoXBUJ,"dance pop,latin,latin pop,mexican pop,puerto rican pop"
Run–D.M.C.,827971,66,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,https://api.spotify.com/v1/artists/3CQIn7N5CuRDP8wEI7FiDA,"east coast hip hop,hardcore hip hop,hip hop,hip house,old school hip hop,queens hip hop,rap"
Jason Nevins,2202,58,spotify:artist:5w0ka9nPOmEH6CcZrutyP2,https://api.spotify.com/v1/artists/5w0ka9nPOmEH6CcZrutyP2,
The Goo Goo Dolls,1730156,73,spotify:artist:2sil8z5kiy4r76CRTXxBCA,https://api.spotify.com/v1/artists/2sil8z5kiy4r76CRTXxBCA,"alternative rock,neo mellow,permanent wave,pop rock,post-grunge"
Aerosmith,9210279,80,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,https://api.spotify.com/v1/artists/7Ey4PD4MYsKc5I2dolUwbH,"album rock,classic rock,hard rock,rock"
All Saints,333465,60,spotify:artist:5TDVKqW9uhqGjwwwKGuma4,https://api.spotify.com/v1/artists/5TDVKqW9uhqGjwwwKGuma4,"bubblegum dance,dance pop,europop,girl group,new wave pop,pop rock"
Unknown,168,50,spotify:artist:7CztClnGe7oHnn1ZUAJwf5,https://api.spotify.com/v1/artists/7CztClnGe7oHnn1ZUAJwf5,
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Jennifer Paige,66462,51,spotify:artist:26PDtWYDJ1KD0brukKsJH1,https://api.spotify.com/v1/artists/26PDtWYDJ1KD0brukKsJH1,"europop,pop rock"
Green Day,11223600,84,spotify:artist:7oPftvlwr6VrsViSDV7fJY,https://api.spotify.com/v1/artists/7oPftvlwr6VrsViSDV7fJY,"permanent wave,pop punk,punk"
Shania Twain,2047683,75,spotify:artist:5e4Dhzv426EvQe3aDb64jL,https://api.spotify.com/v1/artists/5e4Dhzv426EvQe3aDb64jL,"canadian country,canadian pop,country,country dawn,dance pop"
Shania Twain,2047683,75,spotify:artist:5e4Dhzv426EvQe3aDb64jL,https://api.spotify.com/v1/artists/5e4Dhzv426EvQe3aDb64jL,"canadian country,canadian pop,country,country dawn,dance pop"
Lighthouse Family,353092,63,spotify:artist:6edGSAX5dVpeJVwu1Q0NwJ,https://api.spotify.com/v1/artists/6edGSAX5dVpeJVwu1Q0NwJ,"europop,neo mellow,pop rock"
K-Ci & JoJo,979758,63,spotify:artist:05RZIdfz59ZW2FvFuwnmNK,https://api.spotify.com/v1/artists/05RZIdfz59ZW2FvFuwnmNK,"dance pop,hip pop,new jack swing,r&b,urban contemporary"
Pras,24301,55,spotify:artist:0kJMPTXq7h3ztpDukSx5iD,https://api.spotify.com/v1/artists/0kJMPTXq7h3ztpDukSx5iD,new jersey rap
