name,followers,popularity,uri,link,genres
John Travolta,73974,68,spotify:artist:4hKkEHkaqCsyxNxXEsszVH,https://api.spotify.com/v1/artists/4hKkEHkaqCsyxNxXEsszVH,hollywood
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
Wings,574519,69,spotify:artist:3sFhA6G1N0gG1pszb6kk1m,https://api.spotify.com/v1/artists/3sFhA6G1N0gG1pszb6kk1m,"album rock,art rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock"
Boney M.,776339,70,spotify:artist:54R6Y0I7jGUCveDTtI21nb,https://api.spotify.com/v1/artists/54R6Y0I7jGUCveDTtI21nb,"disco,europop"
Bee Gees,3691399,79,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,https://api.spotify.com/v1/artists/1LZEQNv7sE11VDY3SdxQeN,"adult standards,disco,mellow gold,soft rock"
Belle Epoque,2722,32,spotify:artist:29r633A8MJhwlkoljEf1L0,https://api.spotify.com/v1/artists/29r633A8MJhwlkoljEf1L0,"screamo,skramz"
Village People,316039,64,spotify:artist:0dCKce6tJJdHvlWnDMwzPW,https://api.spotify.com/v1/artists/0dCKce6tJJdHvlWnDMwzPW,"disco,europop"
Bonnie Tyler,983636,71,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,https://api.spotify.com/v1/artists/0SD4eZCN4Kr0wQk56hCdh2,"europop,new wave pop,soft rock"
Commodores,1065129,69,spotify:artist:6twIAGnYuIT1pncMAsXnEm,https://api.spotify.com/v1/artists/6twIAGnYuIT1pncMAsXnEm,"adult standards,disco,funk,mellow gold,motown,quiet storm,soft rock,soul"
Meat Loaf,578179,67,spotify:artist:7dnB1wSxbYa8CejeVg98hz,https://api.spotify.com/v1/artists/7dnB1wSxbYa8CejeVg98hz,"album rock,classic rock,mellow gold,rock,soft rock"
Gerry Rafferty,180470,62,spotify:artist:7tjbDPvrdvDshcpEMXKRVb,https://api.spotify.com/v1/artists/7tjbDPvrdvDshcpEMXKRVb,"album rock,art rock,classic rock,classic uk pop,country rock,folk,folk rock,mellow gold,soft rock"
Kate Bush,650128,68,spotify:artist:1aSxMhuvixZ8h9dK9jIDwL,https://api.spotify.com/v1/artists/1aSxMhuvixZ8h9dK9jIDwL,"art pop,art rock,baroque pop,dance rock,new wave pop,permanent wave,piano rock,singer-songwriter"
Leif Garrett,15425,38,spotify:artist:2MyNAoQL07EABerr6yhoT4,https://api.spotify.com/v1/artists/2MyNAoQL07EABerr6yhoT4,bubblegum pop
Samantha Sang,17195,42,spotify:artist:1IvJtmPLbzpxDxfrw4rMFa,https://api.spotify.com/v1/artists/1IvJtmPLbzpxDxfrw4rMFa,
Bee Gees,3691399,79,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,https://api.spotify.com/v1/artists/1LZEQNv7sE11VDY3SdxQeN,"adult standards,disco,mellow gold,soft rock"
Dragon,64823,58,spotify:artist:622HMYOaiqowUmcd5t3b7t,https://api.spotify.com/v1/artists/622HMYOaiqowUmcd5t3b7t,"australian rock,kiwi rock"
Eruption,31778,47,spotify:artist:3R6f1aBWwde7ZqGv7hf4dY,https://api.spotify.com/v1/artists/3R6f1aBWwde7ZqGv7hf4dY,"classic uk pop,disco,italian disco"
Smokie,279721,61,spotify:artist:5rIqOJspxDq89aBBCUda1X,https://api.spotify.com/v1/artists/5rIqOJspxDq89aBBCUda1X,"classic uk pop,europop,mellow gold,soft rock"
Bee Gees,3691399,79,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,https://api.spotify.com/v1/artists/1LZEQNv7sE11VDY3SdxQeN,"adult standards,disco,mellow gold,soft rock"
Frankie Valli,139748,66,spotify:artist:3CDKmzJu6uwEGnPLLZffpD,https://api.spotify.com/v1/artists/3CDKmzJu6uwEGnPLLZffpD,"adult standards,brill building pop,bubblegum pop,folk rock,lounge,mellow gold,soft rock"
Graham Bonnet,12039,34,spotify:artist:5eygg59PhcYgy4ekBgbDA1,https://api.spotify.com/v1/artists/5eygg59PhcYgy4ekBgbDA1,
