name,followers,popularity,uri,link,genres
The Beatles,17549894,89,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,https://api.spotify.com/v1/artists/3WrFJ7ztbogyGnTHbHJFl2,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
Carpenters,1530135,71,spotify:artist:1eEfMU2AhEo7XnKgL7c304,https://api.spotify.com/v1/artists/1eEfMU2AhEo7XnKgL7c304,"adult standards,mellow gold,soft rock"
The Mixtures,510,22,spotify:artist:3uPSzsWGSzQZfihkPkAvfN,https://api.spotify.com/v1/artists/3uPSzsWGSzQZfihkPkAvfN,
Norman Greenbaum,44933,62,spotify:artist:7f8LNBVXN0h35veHrpxQFL,https://api.spotify.com/v1/artists/7f8LNBVXN0h35veHrpxQFL,classic rock
Simon & Garfunkel,2988449,77,spotify:artist:70cRZdQywnSFp9pnc2WTCE,https://api.spotify.com/v1/artists/70cRZdQywnSFp9pnc2WTCE,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
Creedence Clearwater Revival,3784171,81,spotify:artist:3IYUhFvPQItj6xySrBmZkd,https://api.spotify.com/v1/artists/3IYUhFvPQItj6xySrBmZkd,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock"
Simon & Garfunkel,2988449,77,spotify:artist:70cRZdQywnSFp9pnc2WTCE,https://api.spotify.com/v1/artists/70cRZdQywnSFp9pnc2WTCE,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
Creedence Clearwater Revival,3784171,81,spotify:artist:3IYUhFvPQItj6xySrBmZkd,https://api.spotify.com/v1/artists/3IYUhFvPQItj6xySrBmZkd,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock"
Liv Maessen,139,9,spotify:artist:2dknbKktpuIxHJUkRjObuE,https://api.spotify.com/v1/artists/2dknbKktpuIxHJUkRjObuE,
John Farnham,185577,62,spotify:artist:1QxaPWG1POM8Ul6WwsHq4y,https://api.spotify.com/v1/artists/1QxaPWG1POM8Ul6WwsHq4y,"australian pop,australian rock"
Led Zeppelin,9657000,82,spotify:artist:36QJpDe2go2KgaRleHCDTp,https://api.spotify.com/v1/artists/36QJpDe2go2KgaRleHCDTp,"album rock,classic rock,hard rock,rock"
Edison Lighthouse,11830,45,spotify:artist:1NRzxuPpdGushT8YmF5NAa,https://api.spotify.com/v1/artists/1NRzxuPpdGushT8YmF5NAa,"bubblegum pop,classic uk pop"
The Beach Boys,2820099,76,spotify:artist:3oDbviiivRWhXwIE8hxkVV,https://api.spotify.com/v1/artists/3oDbviiivRWhXwIE8hxkVV,"baroque pop,brill building pop,classic rock,folk rock,psychedelic rock,rock,sunshine pop"
Creedence Clearwater Revival,3784171,81,spotify:artist:3IYUhFvPQItj6xySrBmZkd,https://api.spotify.com/v1/artists/3IYUhFvPQItj6xySrBmZkd,"album rock,classic rock,country rock,rock,roots rock,southern rock,swamp rock"
