name,followers,popularity,uri,link,genres
Bryan Adams,1807032,79,spotify:artist:3Z02hBLubJxuFJfhacLSDc,https://api.spotify.com/v1/artists/3Z02hBLubJxuFJfhacLSDc,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,pop rock,rock,soft rock"
Michael Jackson,16057649,85,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm,"pop,r&b,soul"
Right Said Fred,33725,55,spotify:artist:15ajdFAi5bjj5pS9laBfBL,https://api.spotify.com/v1/artists/15ajdFAi5bjj5pS9laBfBL,"dance pop,eurodance,europop,hip house"
Roxette,1229035,75,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,https://api.spotify.com/v1/artists/2SHhfs4BiDxGQ3oxqf0UHY,"dance pop,europop,new wave pop,pop rock,soft rock,swedish pop"
John Travolta,73974,68,spotify:artist:4hKkEHkaqCsyxNxXEsszVH,https://api.spotify.com/v1/artists/4hKkEHkaqCsyxNxXEsszVH,hollywood
Olivia Newton-John,758135,70,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,https://api.spotify.com/v1/artists/4BoRxUdrcgbbq1rxJvvhg9,"adult standards,australian dance,bubblegum pop,disco,mellow gold,new wave pop,soft rock"
Phil Harding,117,39,spotify:artist:3O24hFMrqM3JJHDwavPz8Y,https://api.spotify.com/v1/artists/3O24hFMrqM3JJHDwavPz8Y,
Ian Curnow,42,18,spotify:artist:6DcdoHUz893w7Cgojx8DeK,https://api.spotify.com/v1/artists/6DcdoHUz893w7Cgojx8DeK,
Melissa Tkautz,1180,16,spotify:artist:64fbN3FGr1FkRhFh1AoGQA,https://api.spotify.com/v1/artists/64fbN3FGr1FkRhFh1AoGQA,"australian dance,europop"
Ratcat,10734,36,spotify:artist:5ydii9WwX1NPG6k5lrAb6m,https://api.spotify.com/v1/artists/5ydii9WwX1NPG6k5lrAb6m,"australian alternative rock,australian rock"
Cher,1770127,73,spotify:artist:72OaDtakiy6yFqkt4TsiFt,https://api.spotify.com/v1/artists/72OaDtakiy6yFqkt4TsiFt,"dance pop,hollywood,new wave pop,pop"
The Righteous Brothers,318386,65,spotify:artist:4b0WsB47XCa9F83BmwQ7WX,https://api.spotify.com/v1/artists/4b0WsB47XCa9F83BmwQ7WX,"adult standards,brill building pop,bubblegum pop,folk rock,mellow gold,motown,rock-and-roll"
Extreme,341450,66,spotify:artist:6w7j5wQ5AI5OQYlcM15s2L,https://api.spotify.com/v1/artists/6w7j5wQ5AI5OQYlcM15s2L,"album rock,funk metal,glam metal,hard rock,rock"
Daryl Braithwaite,105425,60,spotify:artist:4t52ndk0OkAxtb4vMDLPhe,https://api.spotify.com/v1/artists/4t52ndk0OkAxtb4vMDLPhe,"australian pop,australian rock"
Martika,122028,50,spotify:artist:40enFxfEXXsEXKOt1vgx0k,https://api.spotify.com/v1/artists/40enFxfEXXsEXKOt1vgx0k,"minneapolis sound,new wave pop"
Londonbeat,15946,55,spotify:artist:0gcMPgunYh4rX1UOdvZKBn,https://api.spotify.com/v1/artists/0gcMPgunYh4rX1UOdvZKBn,"eurodance,europop,hip house"
Big Audio Dynamite,81644,48,spotify:artist:7hqZBHSgDs1odG9aupMzEI,https://api.spotify.com/v1/artists/7hqZBHSgDs1odG9aupMzEI,"dance rock,new romantic,new wave,new wave pop,synthpop"
U2,7380694,82,spotify:artist:51Blml2LZPmy7TTiAg47vQ,https://api.spotify.com/v1/artists/51Blml2LZPmy7TTiAg47vQ,"irish rock,permanent wave,rock"
Jimmy Barnes,197427,61,spotify:artist:1k5aZWIOUbUfKcnMxtEivJ,https://api.spotify.com/v1/artists/1k5aZWIOUbUfKcnMxtEivJ,"australian pop,australian rock"
Natalie Cole,378605,68,spotify:artist:5tTsrGPwQRWUsHR2Xf7Ke9,https://api.spotify.com/v1/artists/5tTsrGPwQRWUsHR2Xf7Ke9,"adult standards,lounge,mellow gold,motown,quiet storm,soft rock,soul,vocal jazz"
Guns N' Roses,18113667,83,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,"glam metal,hard rock,rock"
Paula Abdul,606258,58,spotify:artist:4PpmBoqphQusNFsxuVKb6j,https://api.spotify.com/v1/artists/4PpmBoqphQusNFsxuVKb6j,"dance pop,new wave pop,pop rock,urban contemporary"
Prince,4757272,77,spotify:artist:5a2EaR3hamoenG9rDuVn8j,https://api.spotify.com/v1/artists/5a2EaR3hamoenG9rDuVn8j,"funk,funk rock,minneapolis sound,synth funk"
Robbie Nevil,8001,37,spotify:artist:4NkLjsRsFnuPu9B4zqzBqq,https://api.spotify.com/v1/artists/4NkLjsRsFnuPu9B4zqzBqq,new wave pop
Rod Stewart,2371229,77,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,https://api.spotify.com/v1/artists/2y8Jo9CKhJvtfeKOsYzRdT,"adult standards,classic rock,mellow gold,soft rock"
UB40,1555333,73,spotify:artist:69MEO1AADKg1IZrq2XLzo5,https://api.spotify.com/v1/artists/69MEO1AADKg1IZrq2XLzo5,"reggae,reggae fusion,uk reggae"
The Simpsons,20724,35,spotify:artist:7r0Otd9dEStSVIxJ02ml5a,https://api.spotify.com/v1/artists/7r0Otd9dEStSVIxJ02ml5a,comic
Dimples D.,503,23,spotify:artist:0Nrb3fWvzVUUzfYiwyJFXD,https://api.spotify.com/v1/artists/0Nrb3fWvzVUUzfYiwyJFXD,"hip house,old school hip hop"
Ben Liebrand,6630,34,spotify:artist:00bFgWuCaaFrjC9xylIcMf,https://api.spotify.com/v1/artists/00bFgWuCaaFrjC9xylIcMf,
Divinyls,133668,54,spotify:artist:5t06MTkDD3yr5LVs3YFLQC,https://api.spotify.com/v1/artists/5t06MTkDD3yr5LVs3YFLQC,"australian alternative rock,australian rock,dance rock,new wave pop"
Black Box,73959,56,spotify:artist:6tsRo8ErXzpHk3tQeH6GBW,https://api.spotify.com/v1/artists/6tsRo8ErXzpHk3tQeH6GBW,"diva house,eurodance,europop,hip house,italo house,new wave pop,vocal house"
Melissa Tkautz,1180,16,spotify:artist:64fbN3FGr1FkRhFh1AoGQA,https://api.spotify.com/v1/artists/64fbN3FGr1FkRhFh1AoGQA,"australian dance,europop"
Color Me Badd,291079,55,spotify:artist:1QtIfAa6y7w2JhxYJhYeUG,https://api.spotify.com/v1/artists/1QtIfAa6y7w2JhxYJhYeUG,"boy band,new jack swing,r&b,urban contemporary"
The Screaming Jets,108791,52,spotify:artist:3vgQA38yGGMvn4DHjsVre5,https://api.spotify.com/v1/artists/3vgQA38yGGMvn4DHjsVre5,"australian alternative rock,australian rock"
Vanilla Ice,290184,61,spotify:artist:7GXXMm3DB1VswVcuGyInUd,https://api.spotify.com/v1/artists/7GXXMm3DB1VswVcuGyInUd,"hip house,miami hip hop"
Toni Childs,21940,42,spotify:artist:7lQC1mHpO4lvLpN9XYZlIH,https://api.spotify.com/v1/artists/7lQC1mHpO4lvLpN9XYZlIH,
Yothu Yindi,16210,41,spotify:artist:5sHPYevv4ykaH79HIHqBDP,https://api.spotify.com/v1/artists/5sHPYevv4ykaH79HIHqBDP,"australian indigenous,australian rock,didgeridoo"
Enigma,496696,65,spotify:artist:3DmG65yHQsMms7WAvrZOdt,https://api.spotify.com/v1/artists/3DmG65yHQsMms7WAvrZOdt,"downtempo,new age"
2 In A Room,1912,28,spotify:artist:2029eJThczywCgnjE33s33,https://api.spotify.com/v1/artists/2029eJThczywCgnjE33s33,"hip house,latin house,vogue"
Scorpions,3799494,76,spotify:artist:27T030eWyCQRmDyuvr1kxY,https://api.spotify.com/v1/artists/27T030eWyCQRmDyuvr1kxY,"album rock,german hard rock,german metal,german rock,hard rock,metal,rock"
Roxus Band,739,16,spotify:artist:6D4t2pYXV7dhdZ1NcZbMCF,https://api.spotify.com/v1/artists/6D4t2pYXV7dhdZ1NcZbMCF,
The KLF,37157,34,spotify:artist:6dYrdRlNZSKaVxYg5IrvCH,https://api.spotify.com/v1/artists/6dYrdRlNZSKaVxYg5IrvCH,"acid house,ambient house"
Color Me Badd,291079,55,spotify:artist:1QtIfAa6y7w2JhxYJhYeUG,https://api.spotify.com/v1/artists/1QtIfAa6y7w2JhxYJhYeUG,"boy band,new jack swing,r&b,urban contemporary"
Metallica,15458876,85,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,https://api.spotify.com/v1/artists/2ye2Wgw4gimLv2eAKyk1NB,"hard rock,metal,old school thrash,rock,thrash metal"
Amy Grant,140142,58,spotify:artist:72Nhcx7prNk2ZCxhx0Y5es,https://api.spotify.com/v1/artists/72Nhcx7prNk2ZCxhx0Y5es,"christian alternative rock,christian music"
Julee Cruise,43760,48,spotify:artist:4Pt1HZtuJwrQB8l0ES5iTX,https://api.spotify.com/v1/artists/4Pt1HZtuJwrQB8l0ES5iTX,"art pop,art rock"
