name,followers,popularity,uri,link,genres
Billy Ray Cyrus,172317,73,spotify:artist:60rpJ9SgigSd16DOAG7GSa,https://api.spotify.com/v1/artists/60rpJ9SgigSd16DOAG7GSa,country
Guns N' Roses,18113667,83,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,https://api.spotify.com/v1/artists/3qm84nBOXUEQ2vnTfUTTFC,"glam metal,hard rock,rock"
Boyz II Men,1908287,71,spotify:artist:6O74knDqdv3XaWtkII7Xjp,https://api.spotify.com/v1/artists/6O74knDqdv3XaWtkII7Xjp,"boy band,new jack swing,pop,quiet storm,r&b,urban contemporary"
Mr. Big,353946,64,spotify:artist:5OfhOoKunSnuubxxRML8J3,https://api.spotify.com/v1/artists/5OfhOoKunSnuubxxRML8J3,"glam metal,hard rock"
Andrew Lloyd Webber,198207,67,spotify:artist:4aP1lp10BRYZO658B2NwkG,https://api.spotify.com/v1/artists/4aP1lp10BRYZO658B2NwkG,"broadway,show tunes,west end"
José Carreras,89985,52,spotify:artist:1ahGKezyX9Rl7GuEF2tc15,https://api.spotify.com/v1/artists/1ahGKezyX9Rl7GuEF2tc15,"classical tenor,opera,operatic pop"
Sarah Brightman,311927,62,spotify:artist:7Ead768rc4ShGxnqtqccU5,https://api.spotify.com/v1/artists/7Ead768rc4ShGxnqtqccU5,operatic pop
K.W.S.,466,31,spotify:artist:188XxH8QLu4w8GW7cxSJe9,https://api.spotify.com/v1/artists/188XxH8QLu4w8GW7cxSJe9,
Wendy Matthews,39498,42,spotify:artist:67PiUcvCvLFNUNBiKagzQm,https://api.spotify.com/v1/artists/67PiUcvCvLFNUNBiKagzQm,"australian pop,australian rock"
Red Hot Chili Peppers,14485845,86,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,"alternative rock,funk metal,funk rock,permanent wave,rock"
Richard Marx,678318,67,spotify:artist:0grdhNhiRLFBaFVyybqsj6,https://api.spotify.com/v1/artists/0grdhNhiRLFBaFVyybqsj6,"album rock,mellow gold,new wave pop,soft rock"
Vanessa Williams,228331,57,spotify:artist:75L9s8KVrhCNtBUkZFnDFW,https://api.spotify.com/v1/artists/75L9s8KVrhCNtBUkZFnDFW,"quiet storm,urban contemporary"
Kris Kross,258874,55,spotify:artist:2zrZfs23sjuHDv4E6YRmNf,https://api.spotify.com/v1/artists/2zrZfs23sjuHDv4E6YRmNf,"hip hop,new jack swing,rap"
Ugly Kid Joe,128696,56,spotify:artist:3XsgWn63EnA4wYZBjVyxjf,https://api.spotify.com/v1/artists/3XsgWn63EnA4wYZBjVyxjf,"funk metal,funk rock,glam metal,hard rock,rock"
Julian Lennon,46341,44,spotify:artist:4Tvos0a5rRrBu4Oodu5f79,https://api.spotify.com/v1/artists/4Tvos0a5rRrBu4Oodu5f79,"beatlesque,new wave pop"
SNAP!,121636,63,spotify:artist:2FrKQPjJe4pVMZOgm0ESOx,https://api.spotify.com/v1/artists/2FrKQPjJe4pVMZOgm0ESOx,"diva house,eurodance,europop,german techno,hip house"
Girlfriend,1291,22,spotify:artist:5oWq8Uaq2CNDJng3wq8IFL,https://api.spotify.com/v1/artists/5oWq8Uaq2CNDJng3wq8IFL,
Whitney Houston,5907066,82,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,https://api.spotify.com/v1/artists/6XpaIBNiVzIetEPCWDvAFP,"dance pop,pop,urban contemporary"
Sophie B. Hawkins,67622,51,spotify:artist:3gdIwZY6Q3RXhDteYr4ZvC,https://api.spotify.com/v1/artists/3gdIwZY6Q3RXhDteYr4ZvC,"lilith,new wave pop,pop rock"
George Michael,2682981,76,spotify:artist:19ra5tSw0tWufvUp8GotLo,https://api.spotify.com/v1/artists/19ra5tSw0tWufvUp8GotLo,"dance rock,new wave pop,soft rock"
Frente!,18285,45,spotify:artist:2qgHV12WsnwzHZGUB9nd9U,https://api.spotify.com/v1/artists/2qgHV12WsnwzHZGUB9nd9U,australian alternative rock
Shakespears Sister,61073,46,spotify:artist:7ooOn6bokl4mGV4CEaUz6A,https://api.spotify.com/v1/artists/7ooOn6bokl4mGV4CEaUz6A,"candy pop,new wave pop"
James Blundell,15730,44,spotify:artist:0AluwN4mocA305JLqpZytD,https://api.spotify.com/v1/artists/0AluwN4mocA305JLqpZytD,"australian country,classic australian country"
James Reyne,64441,52,spotify:artist:4v0Hh2bdIAJnaUqAOipfYs,https://api.spotify.com/v1/artists/4v0Hh2bdIAJnaUqAOipfYs,"australian alternative rock,australian pop,australian rock"
Patty Smyth,31572,52,spotify:artist:2dgfCEMSVETFp29mRpiFpz,https://api.spotify.com/v1/artists/2dgfCEMSVETFp29mRpiFpz,new wave pop
Don Henley,875826,69,spotify:artist:5dbuFbrHa1SJlQhQX9OUJ2,https://api.spotify.com/v1/artists/5dbuFbrHa1SJlQhQX9OUJ2,"album rock,art rock,classic rock,country rock,folk,folk rock,heartland rock,mellow gold,pop rock,rock,roots rock,singer-songwriter,soft rock,yacht rock"
Bobby Brown,671870,61,spotify:artist:62sPt3fswraiEPnKQpAbdE,https://api.spotify.com/v1/artists/62sPt3fswraiEPnKQpAbdE,"dance pop,funk,hip hop,new jack swing,quiet storm,r&b,rap,urban contemporary"
Rockmelons,4268,32,spotify:artist:4a8lth8CeT9IQYFWAwXJCx,https://api.spotify.com/v1/artists/4a8lth8CeT9IQYFWAwXJCx,australian rock
Tom Cochrane,45380,55,spotify:artist:5Jj4mqGYiplyowPLKkJLHt,https://api.spotify.com/v1/artists/5Jj4mqGYiplyowPLKkJLHt,"canadian singer-songwriter,classic canadian rock,mellow gold"
2 Unlimited,137699,59,spotify:artist:18JD8DVlD1fakDAw7E9LFC,https://api.spotify.com/v1/artists/18JD8DVlD1fakDAw7E9LFC,"bubblegum dance,eurodance,europop,hip house"
