name,followers,popularity,uri,link,genres
Angus & Julia Stone,1054519,72,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr,https://api.spotify.com/v1/artists/4tvKz56Tr39bkhcQUTO0Xr,"australian indie folk,indie folk,stomp and holler"
Little Red,13166,44,spotify:artist:74WcfqC2hmUFHEJs0PDqYi,https://api.spotify.com/v1/artists/74WcfqC2hmUFHEJs0PDqYi,australian indie
Ou Est Le Swimming Pool,11146,40,spotify:artist:1m3jswEIBazYObuVL9NriQ,https://api.spotify.com/v1/artists/1m3jswEIBazYObuVL9NriQ,"australian dance,neo-synthpop"
Birds Of Tokyo,173598,59,spotify:artist:25ou7Y6W7L1fcMoCZMbf86,https://api.spotify.com/v1/artists/25ou7Y6W7L1fcMoCZMbf86,"australian alternative rock,australian hip hop,australian indie,australian pop,australian rock,perth indie"
Boy & Bear,215036,60,spotify:artist:2NqgE99Ll5vOTvmbN7O2R6,https://api.spotify.com/v1/artists/2NqgE99Ll5vOTvmbN7O2R6,"australian indie,australian indie folk,australian pop,indie folk"
Adrian Lux,121603,51,spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh,https://api.spotify.com/v1/artists/5kp9Qhzri9LrDkzrtjt5Sh,"big room,edm,progressive electro house"
CeeLo Green,451551,69,spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8,https://api.spotify.com/v1/artists/5nLYd9ST4Cnwy6NHaCxbj8,atl hip hop
The Wombats,816791,69,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,https://api.spotify.com/v1/artists/0Ya43ZKWHTKkAbkoJJkwIB,"indie pop,liverpool indie,modern alternative rock,modern rock,rock"
Art vs Science,35018,42,spotify:artist:4MlrZKzgi3UuZi2iDKjOar,https://api.spotify.com/v1/artists/4MlrZKzgi3UuZi2iDKjOar,"australian alternative rock,australian dance,australian indie"
Mark Ronson,849349,79,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://api.spotify.com/v1/artists/3hv9jJF3adDNsBSIQDqcjp,"dance pop,pop"
The Business Intl,1609,46,spotify:artist:5D19FUPuoRUpCBtWoY14C4,https://api.spotify.com/v1/artists/5D19FUPuoRUpCBtWoY14C4,
Australian Broadcasting Corporation Philharmonic Orchestra,207,29,spotify:artist:3O5O4CE9FvxPnNWBgfamvV,https://api.spotify.com/v1/artists/3O5O4CE9FvxPnNWBgfamvV,
Pendulum,746909,68,spotify:artist:7MqnCTCAX6SsIYYdJCQj9B,https://api.spotify.com/v1/artists/7MqnCTCAX6SsIYYdJCQj9B,"australian dance,drum and bass,edm"
