name,followers,popularity,uri,link,genres
The Whitlams,54091,46,spotify:artist:2fczAptz6g62e12F9LxYI6,https://api.spotify.com/v1/artists/2fczAptz6g62e12F9LxYI6,"australian alternative rock,australian rock,piano rock"
Blur,1930932,73,spotify:artist:7MhMgCo0Bl0Kukl93PZbYS,https://api.spotify.com/v1/artists/7MhMgCo0Bl0Kukl93PZbYS,"alternative rock,britpop,dance rock,madchester,modern rock,permanent wave,pop rock,rock"
Chumbawamba,63276,58,spotify:artist:0TcYeHEK9sBtv7xPbKhzHz,https://api.spotify.com/v1/artists/0TcYeHEK9sBtv7xPbKhzHz,anarcho-punk
The Verve,1463901,70,spotify:artist:2cGwlqi3k18jFpUyTrsR84,https://api.spotify.com/v1/artists/2cGwlqi3k18jFpUyTrsR84,"alternative rock,britpop,modern rock,neo mellow,permanent wave,pop rock,rock,shoegaze"
blink-182,6094546,81,spotify:artist:6FBDaR13swtiWwGhX1WQsP,https://api.spotify.com/v1/artists/6FBDaR13swtiWwGhX1WQsP,"pop punk,punk,socal pop punk"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
Marilyn Manson,2924609,77,spotify:artist:2VYQTNDsvvKN9wmU5W7xpj,https://api.spotify.com/v1/artists/2VYQTNDsvvKN9wmU5W7xpj,"alternative metal,industrial,industrial metal,industrial rock,nu metal,wrestling"
Radiohead,5546301,81,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
Jebediah,49919,45,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,https://api.spotify.com/v1/artists/6L9bfTvOEA9BOJEIBhU4ln,"aussie emo,australian alternative rock,australian rock,perth indie"
Smash Mouth,657349,70,spotify:artist:2iEvnFsWxR0Syqu2JNopAd,https://api.spotify.com/v1/artists/2iEvnFsWxR0Syqu2JNopAd,"alternative rock,pop punk,pop rock"
Ben Folds Five,194733,52,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,https://api.spotify.com/v1/artists/44gRHbEm4Uqa0ykW0rDTNk,"alternative rock,indie pop,permanent wave,piano rock,pop rock"
Silverchair,802179,64,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,https://api.spotify.com/v1/artists/4iudEcmuPlYNdbP3e1bdn1,"alternative metal,alternative rock,australian alternative rock,australian psych,grunge,nu metal,pop rock,post-grunge,rock"
The Superjesus,32498,43,spotify:artist:7o9kdTx6RmO12iAVVsNehd,https://api.spotify.com/v1/artists/7o9kdTx6RmO12iAVVsNehd,"australian alternative rock,australian rock"
The Living End,96310,54,spotify:artist:3ExT45ORJ8pT516HRZbr7G,https://api.spotify.com/v1/artists/3ExT45ORJ8pT516HRZbr7G,"australian alternative rock,australian rock,australian ska,punk,skate punk"
Quindon Tarver,3363,39,spotify:artist:0dfkF1i9s8ZyOAKbV572T7,https://api.spotify.com/v1/artists/0dfkF1i9s8ZyOAKbV572T7,
Josh Abrahams,482,40,spotify:artist:2C18qcP3k1dkMJpByV6rZX,https://api.spotify.com/v1/artists/2C18qcP3k1dkMJpByV6rZX,
Cordrazine,1517,20,spotify:artist:7H3NXY4n3p7BwmOL3zIeUK,https://api.spotify.com/v1/artists/7H3NXY4n3p7BwmOL3zIeUK,australian alternative rock
Nick Cave & The Bad Seeds,932345,69,spotify:artist:4UXJsSlnKd7ltsrHebV79Q,https://api.spotify.com/v1/artists/4UXJsSlnKd7ltsrHebV79Q,"art rock,permanent wave,rock"
Regurgitator,51313,46,spotify:artist:6n3YUZcayLRuAunJUUelvz,https://api.spotify.com/v1/artists/6n3YUZcayLRuAunJUUelvz,"australian alternative rock,australian rock"
Cake,785503,67,spotify:artist:6A43Djmhbe9100UwnI7epV,https://api.spotify.com/v1/artists/6A43Djmhbe9100UwnI7epV,"alternative rock,modern rock,pop rock,rock,sacramento indie"
